timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.01017000,0.01090000,0.00930000,0.00961000,0.01017000,0.01090000,0.00930000,0.00961000,178695680.80000001,178695680.80000001
2023-04-30,0.01139000,0.01307000,0.00953000,0.01016000,0.01139000,0.01307000,0.00953000,0.01016000,1201369205.00000024,1201369205.00000024
2023-03-31,0.01125000,0.01363000,0.00923000,0.01139000,0.01125000,0.01363000,0.00923000,0.01139000,2276419649.50000000,2276419649.50000000
2023-02-28,0.01134000,0.01573000,0.01001000,0.01123000,0.01134000,0.01573000,0.01001000,0.01123000,2153137006.80000019,2153137006.80000019
2023-01-31,0.00838000,0.01663000,0.00826000,0.01134000,0.00838000,0.01663000,0.00826000,0.01134000,2560342915.59999990,2560342915.59999990
2022-12-31,0.00908000,0.01535000,0.00800000,0.00838000,0.00908000,0.01535000,0.00800000,0.00838000,4409969739.90000057,4409969739.90000057
2022-11-30,0.01043000,0.01263000,0.00691000,0.00913000,0.01043000,0.01263000,0.00691000,0.00913000,1705814878.29999948,1705814878.29999948
2022-10-31,0.01055000,0.01189000,0.00861000,0.01043000,0.01055000,0.01189000,0.00861000,0.01043000,918735242.00000024,918735242.00000024
2022-09-30,0.01024000,0.01683000,0.00923000,0.01055000,0.01024000,0.01683000,0.00923000,0.01055000,3324494595.60000038,3324494595.60000038
2022-08-31,0.01231000,0.01750000,0.00966000,0.01019000,0.01231000,0.01750000,0.00966000,0.01019000,3100299309.40000010,3100299309.40000010
2022-07-31,0.00958000,0.01600000,0.00869000,0.01230000,0.00958000,0.01600000,0.00869000,0.01230000,3443804596.69999933,3443804596.69999933
2022-06-30,0.01424000,0.01465000,0.00763000,0.00956000,0.01424000,0.01465000,0.00763000,0.00956000,2963218092.30000019,2963218092.30000019
2022-05-31,0.01890000,0.02063000,0.01000000,0.01424000,0.01890000,0.02063000,0.01000000,0.01424000,2456389164.70000076,2456389164.70000076
2022-04-30,0.02774000,0.03120000,0.01808000,0.01893000,0.02774000,0.03120000,0.01808000,0.01893000,1780320161.89999986,1780320161.89999986
2022-03-31,0.02216000,0.03062000,0.01888000,0.02775000,0.02216000,0.03062000,0.01888000,0.02775000,2085215887.99999976,2085215887.99999976
2022-02-28,0.02394000,0.02871000,0.01705000,0.02211000,0.02394000,0.02871000,0.01705000,0.02211000,1783098973.40000033,1783098973.40000033
2022-01-31,0.03370000,0.04043000,0.01990000,0.02400000,0.03370000,0.04043000,0.01990000,0.02400000,2373402953.39999962,2373402953.39999962
2021-12-31,0.04743000,0.05858000,0.03049000,0.03358000,0.04743000,0.05858000,0.03049000,0.03358000,3208763732.59999943,3208763732.59999943
2021-11-30,0.05092000,0.06260000,0.04385000,0.04740000,0.05092000,0.06260000,0.04385000,0.04740000,3256456077.00000000,3256456077.00000000
2021-10-31,0.03951000,0.05894000,0.03892000,0.05091000,0.03951000,0.05894000,0.03892000,0.05091000,2811273212.40000010,2811273212.40000010
2021-09-30,0.05866000,0.06850000,0.03621000,0.03954000,0.05866000,0.06850000,0.03621000,0.03954000,2659004535.79999924,2659004535.79999924
2021-08-31,0.04246000,0.06448000,0.04030000,0.05867000,0.04246000,0.06448000,0.04030000,0.05867000,2710697546.59999943,2710697546.59999943
2021-07-31,0.04487000,0.04736000,0.03321000,0.04246000,0.04487000,0.04736000,0.03321000,0.04246000,1869800717.09999990,1869800717.09999990
2021-06-30,0.05973000,0.06379000,0.03518000,0.04475000,0.05973000,0.06379000,0.03518000,0.04475000,1901331301.89999938,1901331301.89999938
2021-05-31,0.13078000,0.15800000,0.03461000,0.05990000,0.13078000,0.15800000,0.03461000,0.05990000,4064968501.19999933,4064968501.19999933
2021-04-30,0.09861000,0.17458000,0.08040000,0.13078000,0.09861000,0.17458000,0.08040000,0.13078000,5094558318.40000057,5094558318.40000057
2021-03-31,0.04341000,0.10264000,0.04283000,0.09858000,0.04341000,0.10264000,0.04283000,0.09858000,3928422901.69999981,3928422901.69999981
2021-02-28,0.03631000,0.08168000,0.03428000,0.04341000,0.03631000,0.08168000,0.03428000,0.04341000,3479910550.00000000,3479910550.00000000
2021-01-31,0.02066000,0.07500000,0.02060000,0.03621000,0.02066000,0.07500000,0.02060000,0.03621000,2887289504.29999971,2887289504.29999971
2020-12-31,0.02388000,0.03952000,0.01948000,0.02066000,0.02388000,0.03952000,0.01948000,0.02066000,676074439.29999983,676074439.29999983
2020-11-30,0.01675000,0.02784000,0.01407000,0.02391000,0.01675000,0.02784000,0.01407000,0.02391000,542109362.40000010,542109362.40000010
2020-10-31,0.02308000,0.02349000,0.01648000,0.01678000,0.02308000,0.02349000,0.01648000,0.01678000,358254841.40000004,358254841.40000004
2020-09-30,0.05143000,0.06235000,0.02236000,0.02306000,0.05143000,0.06235000,0.02236000,0.02306000,1879338468.89999986,1879338468.89999986
