timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-01-17,0.00272200,0.00319000,0.00229000,0.00277700,0.00272200,0.00319000,0.00229000,0.00277700,195626490611.00000000,195626490611.00000000
2021-12-31,0.00316100,0.00419800,0.00200200,0.00272200,0.00316100,0.00419800,0.00200200,0.00272200,750449900259.00000000,750449900259.00000000
2021-11-30,0.00413400,0.00425000,0.00295500,0.00316000,0.00413400,0.00425000,0.00295500,0.00316000,464796822070.00000000,464796822070.00000000
2021-10-31,0.00318000,0.00456700,0.00304200,0.00413400,0.00318000,0.00456700,0.00304200,0.00413400,507322434804.00000000,507322434804.00000000
2021-09-30,0.00421500,0.00535000,0.00293000,0.00318000,0.00421500,0.00535000,0.00293000,0.00318000,377253073011.00000000,377253073011.00000000
2021-08-31,0.00284300,0.00502900,0.00278000,0.00421500,0.00284300,0.00502900,0.00278000,0.00421500,495072108145.00000000,495072108145.00000000
2021-07-31,0.00278610,0.00304450,0.00188690,0.00284560,0.00278610,0.00304450,0.00188690,0.00284560,253868926759.00000000,253868926759.00000000
2021-06-30,0.00384350,0.00458170,0.00177500,0.00278490,0.00384350,0.00458170,0.00177500,0.00278490,459470837918.00000000,459470837918.00000000
2021-05-31,0.00724240,0.00922000,0.00256060,0.00384180,0.00724240,0.00922000,0.00256060,0.00384180,1166077035266.00000000,1166077035266.00000000
2021-04-30,0.00506300,0.01357760,0.00423460,0.00724260,0.00506300,0.01357760,0.00423460,0.00724260,2411380013743.00000000,2411380013743.00000000
2021-03-31,0.00114320,0.00545000,0.00113090,0.00506280,0.00114320,0.00545000,0.00113090,0.00506280,2068995030729.00000000,2068995030729.00000000
2021-02-28,0.00038180,0.00202000,0.00037220,0.00114220,0.00038180,0.00202000,0.00037220,0.00114220,1595011123173.00000000,1595011123173.00000000
2021-01-31,0.00028820,0.00053470,0.00028720,0.00038180,0.00028820,0.00053470,0.00028720,0.00038180,464244029910.00000000,464244029910.00000000
2020-12-31,0.00037950,0.00039000,0.00027000,0.00028800,0.00037950,0.00039000,0.00027000,0.00028800,376875464684.00000000,376875464684.00000000
2020-11-30,0.00030100,0.00041570,0.00026920,0.00037940,0.00030100,0.00041570,0.00026920,0.00037940,402555408173.00000000,402555408173.00000000
2020-10-31,0.00033490,0.00036680,0.00027960,0.00030120,0.00033490,0.00036680,0.00027960,0.00030120,514295030104.00000000,514295030104.00000000
2020-09-30,0.00044850,0.00051630,0.00028400,0.00033500,0.00044850,0.00051630,0.00028400,0.00033500,624148968789.00000000,624148968789.00000000
2020-08-31,0.00038410,0.00055350,0.00037660,0.00044820,0.00038410,0.00055350,0.00037660,0.00044820,243841906842.00000000,243841906842.00000000
2020-07-31,0.00029460,0.00048680,0.00029250,0.00038420,0.00029460,0.00048680,0.00029250,0.00038420,177043039056.00000000,177043039056.00000000
2020-06-30,0.00029850,0.00033990,0.00028070,0.00029460,0.00029850,0.00033990,0.00028070,0.00029460,145672018608.00000000,145672018608.00000000
2020-05-31,0.00025660,0.00031490,0.00024260,0.00029850,0.00025660,0.00031490,0.00024260,0.00029850,182086845314.00000000,182086845314.00000000
2020-04-30,0.00022180,0.00028330,0.00021120,0.00025660,0.00022180,0.00028330,0.00021120,0.00025660,177459031991.00000000,177459031991.00000000
2020-03-31,0.00035710,0.00039640,0.00012480,0.00022180,0.00035710,0.00039640,0.00012480,0.00022180,198794714606.00000000,198794714606.00000000
2020-02-29,0.00037350,0.00063000,0.00034290,0.00035780,0.00037350,0.00063000,0.00034290,0.00035780,218492524861.00000000,218492524861.00000000
2020-01-31,0.00028720,0.00040000,0.00027100,0.00037280,0.00028720,0.00040000,0.00027100,0.00037280,520154019258.00000000,520154019258.00000000
2019-12-31,0.00030910,0.00033960,0.00026170,0.00028720,0.00030910,0.00033960,0.00026170,0.00028720,544612211856.00000000,544612211856.00000000
2019-11-30,0.00046100,0.00047980,0.00026210,0.00030910,0.00046100,0.00047980,0.00026210,0.00030910,226842341413.00000000,226842341413.00000000
2019-10-31,0.00041010,0.00051000,0.00035860,0.00046130,0.00041010,0.00051000,0.00035860,0.00046130,314070711330.00000000,314070711330.00000000
2019-09-30,0.00052350,0.00064990,0.00038510,0.00041040,0.00052350,0.00064990,0.00038510,0.00041040,482857581992.00000000,482857581992.00000000
2019-08-31,0.00080850,0.00081270,0.00050830,0.00052300,0.00080850,0.00081270,0.00050830,0.00052300,179328726615.00000000,179328726615.00000000
2019-07-31,0.00132990,0.00155590,0.00076000,0.00080860,0.00132990,0.00155590,0.00076000,0.00080860,193894779421.00000000,193894779421.00000000
2019-06-30,0.00159200,0.00172400,0.00113000,0.00132970,0.00159200,0.00172400,0.00113000,0.00132970,335110293805.00000000,335110293805.00000000
2019-05-31,0.00064420,0.00186500,0.00059670,0.00159190,0.00064420,0.00186500,0.00059670,0.00159190,890714502899.00000000,890714502899.00000000
