timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.99980000,1.00010000,0.99920000,0.99950000,0.99980000,1.00010000,0.99920000,0.99950000,1704664255.00000000,1704664255.00000000
2023-04-30,0.99960000,1.00010000,0.99880000,0.99970000,0.99960000,1.00010000,0.99880000,0.99970000,9263337920.00000000,9263337920.00000000
2023-03-31,0.99990000,1.00030000,0.98730000,0.99970000,0.99990000,1.00030000,0.98730000,0.99970000,17970194135.00000000,17970194135.00000000
2023-02-28,1.00000000,1.00010000,0.99500000,0.99980000,1.00000000,1.00010000,0.99500000,0.99980000,24935380232.00000000,24935380232.00000000
2023-01-31,1.00050000,1.00060000,0.99950000,0.99990000,1.00050000,1.00060000,0.99950000,0.99990000,23463083844.00000000,23463083844.00000000
2022-12-31,0.99990000,1.00060000,0.99890000,1.00040000,0.99990000,1.00060000,0.99890000,1.00040000,18088126617.00000000,18088126617.00000000
2022-11-30,1.00010000,1.03200000,0.99930000,1.00000000,1.00010000,1.03200000,0.99930000,1.00000000,35333950114.00000000,35333950114.00000000
2022-10-31,1.00000000,1.00040000,0.99960000,1.00010000,1.00000000,1.00040000,0.99960000,1.00010000,17151896834.00000000,17151896834.00000000
2022-09-30,1.00010000,1.00020000,0.99950000,1.00000000,1.00010000,1.00020000,0.99950000,1.00000000,17254238888.00000000,17254238888.00000000
2022-08-31,0.99960000,1.00020000,0.99930000,1.00000000,0.99960000,1.00020000,0.99930000,1.00000000,15597184958.00000000,15597184958.00000000
2022-07-31,1.00130000,1.00140000,0.99960000,0.99960000,1.00130000,1.00140000,0.99960000,0.99960000,16935194970.00000000,16935194970.00000000
2022-06-30,1.00080000,1.00420000,1.00050000,1.00130000,1.00080000,1.00420000,1.00050000,1.00130000,23027402987.00000000,23027402987.00000000
2022-05-31,0.99990000,1.10000000,0.99970000,1.00070000,0.99990000,1.10000000,0.99970000,1.00070000,36069878677.25000000,36069878677.25000000
2022-04-30,0.99980000,1.00030000,0.99950000,0.99980000,0.99980000,1.00030000,0.99950000,0.99980000,16841197407.00000000,16841197407.00000000
2022-03-31,0.99960000,1.00020000,0.99920000,0.99970000,0.99960000,1.00020000,0.99920000,0.99970000,17930761667.00000000,17930761667.00000000
2022-02-28,0.99960000,0.99980000,0.99910000,0.99960000,0.99960000,0.99980000,0.99910000,0.99960000,14663228481.00000000,14663228481.00000000
2022-01-31,1.00000000,1.00040000,0.99930000,0.99970000,1.00000000,1.00040000,0.99930000,0.99970000,20660543015.00000000,20660543015.00000000
2021-12-31,0.99920000,1.00030000,0.98880000,1.00000000,0.99920000,1.00030000,0.98880000,1.00000000,26043460838.56000137,26043460838.56000137
2021-11-30,0.99930000,1.00010000,0.99860000,0.99930000,0.99930000,1.00010000,0.99860000,0.99930000,36125345652.00000000,36125345652.00000000
2021-10-31,1.00000000,1.00100000,0.99790000,0.99930000,1.00000000,1.00100000,0.99790000,0.99930000,31026394212.47000122,31026394212.47000122
2021-09-30,0.99970000,1.00050000,0.99880000,0.99990000,0.99970000,1.00050000,0.99880000,0.99990000,31210288368.41999817,31210288368.41999817
2021-08-31,0.99930000,1.00030000,0.99900000,0.99970000,0.99930000,1.00030000,0.99900000,0.99970000,27441042009.25999832,27441042009.25999832
2021-07-31,0.99980000,1.00060000,0.99920000,0.99940000,0.99980000,1.00060000,0.99920000,0.99940000,20806575515.67999649,20806575515.67999649
2021-06-30,0.99970000,1.00130000,0.99900000,0.99980000,0.99970000,1.00130000,0.99900000,0.99980000,28267319957.04999924,28267319957.04999924
2021-05-31,0.99890000,1.00290000,0.98830000,0.99970000,0.99890000,1.00290000,0.98830000,0.99970000,57930116765.19999695,57930116765.19999695
2021-04-30,0.99960000,1.00400000,0.97000000,0.99900000,0.99960000,1.00400000,0.97000000,0.99900000,43408065465.97000122,43408065465.97000122
2021-03-31,0.99820000,1.00140000,0.99800000,0.99970000,0.99820000,1.00140000,0.99800000,0.99970000,23334446716.45000076,23334446716.45000076
2021-02-28,0.99910000,1.00270000,0.99670000,0.99820000,0.99910000,1.00270000,0.99670000,0.99820000,24084670166.18000031,24084670166.18000031
2021-01-31,0.99870000,1.00460000,0.99140000,0.99920000,0.99870000,1.00460000,0.99140000,0.99920000,13857317255.76999664,13857317255.76999664
2020-12-31,0.99960000,1.00200000,0.99860000,0.99870000,0.99960000,1.00200000,0.99860000,0.99870000,5293238474.61999893,5293238474.61999893
2020-11-30,0.99910000,1.00090000,0.99810000,0.99970000,0.99910000,1.00090000,0.99810000,0.99970000,3866125820.78000116,3866125820.78000116
2020-10-31,1.00000000,1.00080000,0.99690000,0.99910000,1.00000000,1.00080000,0.99690000,0.99910000,1951121308.36999965,1951121308.36999965
2020-09-30,0.99960000,1.00080000,0.99820000,1.00000000,0.99960000,1.00080000,0.99820000,1.00000000,2222765696.17999983,2222765696.17999983
