timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.67200000,2.68100000,2.00800000,2.02900000,2.67200000,2.68100000,2.00800000,2.02900000,29285733.46000000,29285733.46000000
2023-04-30,3.70400000,4.00000000,2.54500000,2.67200000,3.70400000,4.00000000,2.54500000,2.67200000,90590962.81000002,90590962.81000002
2023-03-31,3.92200000,4.00000000,3.41400000,3.70400000,3.92200000,4.00000000,3.41400000,3.70400000,28855667.92000000,28855667.92000000
2023-02-28,4.03600000,4.73800000,3.79300000,3.92200000,4.03600000,4.73800000,3.79300000,3.92200000,44411437.57000001,44411437.57000001
2023-01-31,3.17500000,4.20200000,3.12800000,4.03900000,3.17500000,4.20200000,3.12800000,4.03900000,34649762.22000000,34649762.22000000
2022-12-31,3.97300000,4.08800000,3.11500000,3.17500000,3.97300000,4.08800000,3.11500000,3.17500000,19914474.31000000,19914474.31000000
2022-11-30,4.73300000,5.47600000,3.57200000,3.97400000,4.73300000,5.47600000,3.57200000,3.97400000,47289441.03000000,47289441.03000000
2022-10-31,4.76500000,4.90000000,4.10000000,4.73400000,4.76500000,4.90000000,4.10000000,4.73400000,29112396.39000000,29112396.39000000
2022-09-30,3.91600000,5.08900000,3.84500000,4.76500000,3.91600000,5.08900000,3.84500000,4.76500000,43716044.67000000,43716044.67000000
2022-08-31,3.96000000,4.68400000,3.53000000,3.91500000,3.96000000,4.68400000,3.53000000,3.91500000,44617524.45000000,44617524.45000000
2022-07-31,3.04500000,4.23000000,2.84300000,3.96100000,3.04500000,4.23000000,2.84300000,3.96100000,57243224.36999999,57243224.36999999
2022-06-30,4.64500000,4.96700000,2.48600000,3.04600000,4.64500000,4.96700000,2.48600000,3.04600000,74802739.94900000,74802739.94900000
2022-05-31,7.22200000,7.94400000,3.28800000,4.64500000,7.22200000,7.94400000,3.28800000,4.64500000,87876938.80300000,87876938.80300000
2022-04-30,8.78000000,10.99000000,7.21900000,7.22200000,8.78000000,10.99000000,7.21900000,7.22200000,108969114.50000001,108969114.50000001
2022-03-31,6.85000000,9.53000000,5.30000000,8.78000000,6.85000000,9.53000000,5.30000000,8.78000000,108721126.18100001,108721126.18100001
2022-02-28,7.39000000,8.72000000,5.57000000,6.85000000,7.39000000,8.72000000,5.57000000,6.85000000,63622771.78500001,63622771.78500001
2022-01-31,11.74000000,12.60000000,6.81000000,7.39000000,11.74000000,12.60000000,6.81000000,7.39000000,83400524.45400003,83400524.45400003
2021-12-31,14.03000000,14.67000000,10.00000000,11.74000000,14.03000000,14.67000000,10.00000000,11.74000000,86145324.20299999,86145324.20299999
2021-11-30,17.66000000,20.52000000,12.00000000,14.01000000,17.66000000,20.52000000,12.00000000,14.01000000,100519561.19499998,100519561.19499998
2021-10-31,18.91000000,21.29000000,17.27000000,17.65000000,18.91000000,21.29000000,17.27000000,17.65000000,96643523.45999998,96643523.45999998
2021-09-30,22.89000000,25.37000000,16.89000000,18.91000000,22.89000000,25.37000000,16.89000000,18.91000000,109812370.97000001,109812370.97000001
2021-08-31,15.98700000,26.60000000,15.40000000,22.89000000,15.98700000,26.60000000,15.40000000,22.89000000,118004895.99799998,118004895.99799998
2021-07-31,13.84600000,16.31700000,10.85000000,15.95700000,13.84600000,16.31700000,10.85000000,15.95700000,101710463.56000000,101710463.56000000
2021-06-30,17.92600000,21.52800000,9.64400000,13.83600000,17.92600000,21.52800000,9.64400000,13.83600000,162792298.95800000,162792298.95800000
2021-05-31,40.81200000,42.98000000,9.44700000,17.92600000,40.81200000,42.98000000,9.44700000,17.92600000,274003003.63199997,274003003.63199997
2021-04-30,18.05800000,44.27800000,15.20000000,40.79400000,18.05800000,44.27800000,15.20000000,40.79400000,251387877.79599997,251387877.79599997
2021-03-31,9.37900000,19.71100000,9.32000000,18.06000000,9.37900000,19.71100000,9.32000000,18.06000000,219577571.55400002,219577571.55400002
