timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,41.55000000,41.77000000,38.15000000,38.98000000,41.55000000,41.77000000,38.15000000,38.98000000,194011.64200000,194011.64200000
2023-04-30,43.14000000,46.90000000,37.48000000,41.50000000,43.14000000,46.90000000,37.48000000,41.50000000,1561395.89600000,1561395.89600000
2023-03-31,48.83000000,51.92000000,35.61000000,43.13000000,48.83000000,51.92000000,35.61000000,43.13000000,1996136.51300000,1996136.51300000
2023-02-28,51.99000000,64.10000000,46.57000000,48.85000000,51.99000000,64.10000000,46.57000000,48.85000000,2797898.73600000,2797898.73600000
2023-01-31,31.21000000,61.87000000,30.77000000,52.02000000,31.21000000,61.87000000,30.77000000,52.02000000,3859143.53000000,3859143.53000000
2022-12-31,38.53000000,40.49000000,29.86000000,31.20000000,38.53000000,40.49000000,29.86000000,31.20000000,1751565.86700000,1751565.86700000
2022-11-30,50.20000000,53.31000000,32.56000000,38.54000000,50.20000000,53.31000000,32.56000000,38.54000000,2942044.10800000,2942044.10800000
2022-10-31,60.92000000,63.38000000,47.40000000,50.19000000,60.92000000,63.38000000,47.40000000,50.19000000,2296285.48300000,2296285.48300000
2022-09-30,46.42000000,70.00000000,43.90000000,60.94000000,46.42000000,70.00000000,43.90000000,60.94000000,4045548.97900000,4045548.97900000
2022-08-31,57.00000000,71.50000000,43.32000000,46.47000000,57.00000000,71.50000000,43.32000000,46.47000000,3926246.67800000,3926246.67800000
2022-07-31,47.58000000,63.88000000,43.75000000,57.00000000,47.58000000,63.88000000,43.75000000,57.00000000,5277081.98900000,5277081.98900000
2022-06-30,63.80000000,70.10000000,26.20000000,47.48000000,63.80000000,70.10000000,26.20000000,47.48000000,5258418.67700000,5258418.67700000
2022-05-31,103.60000000,117.20000000,53.60000000,63.70000000,103.60000000,117.20000000,53.60000000,63.70000000,3176899.78370000,3176899.78370000
2022-04-30,149.20000000,174.80000000,102.10000000,103.70000000,149.20000000,174.80000000,102.10000000,103.70000000,2539629.20200000,2539629.20200000
2022-03-31,121.10000000,164.50000000,97.60000000,149.20000000,121.10000000,164.50000000,97.60000000,149.20000000,2647798.40200000,2647798.40200000
2022-02-28,121.70000000,153.00000000,93.30000000,121.00000000,121.70000000,153.00000000,93.30000000,121.00000000,1349873.10300000,1349873.10300000
2022-01-31,199.90000000,244.80000000,109.30000000,121.80000000,199.90000000,244.80000000,109.30000000,121.80000000,1670265.77891000,1670265.77891000
2021-12-31,278.50000000,286.50000000,174.70000000,199.70000000,278.50000000,286.50000000,174.70000000,199.70000000,1825617.15336000,1825617.15336000
2021-11-30,346.30000000,400.00000000,242.00000000,278.00000000,346.30000000,400.00000000,242.00000000,278.00000000,1979858.88993000,1979858.88993000
2021-10-31,317.70000000,361.40000000,286.30000000,346.20000000,317.70000000,361.40000000,286.30000000,346.20000000,2546804.57900000,2546804.57900000
2021-09-30,441.90000000,528.60000000,279.90000000,317.90000000,441.90000000,528.60000000,279.90000000,317.90000000,1912952.49974000,1912952.49974000
2021-08-31,405.74000000,529.53000000,385.23000000,442.20000000,405.74000000,529.53000000,385.23000000,442.20000000,2142303.87360000,2142303.87360000
2021-07-31,338.19000000,530.98000000,307.00000000,405.81000000,338.19000000,530.98000000,307.00000000,405.81000000,3265392.58091000,3265392.58091000
2021-06-30,435.65000000,459.64000000,196.46000000,338.19000000,435.65000000,459.64000000,196.46000000,338.19000000,1577006.99670000,1577006.99670000
2021-05-31,741.66000000,911.00000000,267.55000000,435.51000000,741.66000000,911.00000000,267.55000000,435.51000000,2329932.22798000,2329932.22798000
2021-04-30,399.44000000,743.44000000,399.44000000,741.65000000,399.44000000,743.44000000,399.44000000,741.65000000,2385324.65543000,2385324.65543000
2021-03-31,404.86000000,536.20000000,330.00000000,399.12000000,404.86000000,536.20000000,330.00000000,399.12000000,971953.17435000,971953.17435000
2021-02-28,347.46000000,573.00000000,322.15000000,405.12000000,347.46000000,573.00000000,322.15000000,405.12000000,1879628.31326000,1879628.31326000
2021-01-31,149.03000000,349.00000000,134.48000000,347.19000000,149.03000000,349.00000000,134.48000000,347.19000000,1813736.26412000,1813736.26412000
2020-12-31,112.16000000,179.48000000,100.32000000,149.02000000,112.16000000,179.48000000,100.32000000,149.02000000,2048340.91616000,2048340.91616000
2020-11-30,90.76000000,139.78000000,80.62000000,111.96000000,90.76000000,139.78000000,80.62000000,111.96000000,1387206.49144000,1387206.49144000
2020-10-31,133.80000000,140.11000000,88.29000000,90.83000000,133.80000000,140.11000000,88.29000000,90.83000000,1046146.83602000,1046146.83602000
2020-09-30,242.81000000,272.61000000,124.15000000,133.43000000,242.81000000,272.61000000,124.15000000,133.43000000,1212479.25119000,1212479.25119000
