timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.19760000,0.19830000,0.17800000,0.18040000,0.19760000,0.19830000,0.17800000,0.18040000,15791919.00000000,15791919.00000000
2023-04-30,0.22990000,0.25000000,0.19360000,0.19750000,0.22990000,0.25000000,0.19360000,0.19750000,182398649.00000000,182398649.00000000
2023-03-31,0.26450000,0.29610000,0.17000000,0.22960000,0.26450000,0.29610000,0.17000000,0.22960000,418095911.00000000,418095911.00000000
2023-02-28,0.21410000,0.37870000,0.20310000,0.26410000,0.21410000,0.37870000,0.20310000,0.26410000,896065174.00000000,896065174.00000000
2023-01-31,0.15940000,0.30340000,0.15500000,0.21420000,0.15940000,0.30340000,0.15500000,0.21420000,1051481744.00000000,1051481744.00000000
2022-12-31,0.09070000,0.24970000,0.08670000,0.15930000,0.09070000,0.24970000,0.08670000,0.15930000,1392570637.00000000,1392570637.00000000
2022-11-30,0.10790000,0.11860000,0.06960000,0.09080000,0.10790000,0.11860000,0.06960000,0.09080000,188782053.00000000,188782053.00000000
2022-10-31,0.11020000,0.13600000,0.09000000,0.10780000,0.11020000,0.13600000,0.09000000,0.10780000,339232413.00000000,339232413.00000000
2022-09-30,0.12080000,0.15320000,0.10380000,0.11020000,0.12080000,0.15320000,0.10380000,0.11020000,240636981.00000000,240636981.00000000
2022-08-31,0.15160000,0.17170000,0.11670000,0.12040000,0.15160000,0.17170000,0.11670000,0.12040000,227958647.00000000,227958647.00000000
2022-07-31,0.11090000,0.18900000,0.10500000,0.15160000,0.11090000,0.18900000,0.10500000,0.15160000,726780492.00000000,726780492.00000000
2022-06-30,0.14670000,0.15480000,0.09040000,0.11080000,0.14670000,0.15480000,0.09040000,0.11080000,632896143.00000000,632896143.00000000
2022-05-31,0.20530000,0.23660000,0.07720000,0.14650000,0.20530000,0.23660000,0.07720000,0.14650000,553790219.00000000,553790219.00000000
2022-04-30,0.26030000,0.45000000,0.20380000,0.20560000,0.26030000,0.45000000,0.20380000,0.20560000,1006782705.00000000,1006782705.00000000
2022-03-31,0.25670000,0.30930000,0.22310000,0.26020000,0.25670000,0.30930000,0.22310000,0.26020000,508299671.00000000,508299671.00000000
2022-02-28,0.31080000,0.38730000,0.19800000,0.25690000,0.31080000,0.38730000,0.19800000,0.25690000,434397538.00000000,434397538.00000000
2022-01-31,0.50290000,0.53340000,0.22970000,0.31080000,0.50290000,0.53340000,0.22970000,0.31080000,824678209.00000000,824678209.00000000
2021-12-31,0.20670000,1.38010000,0.20240000,0.50300000,0.20670000,1.38010000,0.20240000,0.50300000,5123680579.10999966,5123680579.10999966
2021-11-30,0.21030000,0.29300000,0.16980000,0.20660000,0.21030000,0.29300000,0.16980000,0.20660000,369788507.80000001,369788507.80000001
2021-10-31,0.19000000,0.26140000,0.18610000,0.21030000,0.19000000,0.26140000,0.18610000,0.21030000,411224671.00000000,411224671.00000000
2021-09-30,0.20080000,0.36320000,0.17590000,0.19000000,0.20080000,0.36320000,0.17590000,0.19000000,839859651.21000004,839859651.21000004
2021-08-31,0.14350000,0.23440000,0.13570000,0.20200000,0.14350000,0.23440000,0.13570000,0.20200000,507491454.47999996,507491454.47999996
2021-07-31,0.15580000,0.16440000,0.11040000,0.14350000,0.15580000,0.16440000,0.11040000,0.14350000,390701730.94999993,390701730.94999993
2021-06-30,0.18620000,0.27000000,0.12750000,0.15530000,0.18620000,0.27000000,0.12750000,0.15530000,818893750.05999982,818893750.05999982
2021-05-31,0.36990000,0.59350000,0.12310000,0.18710000,0.36990000,0.59350000,0.12310000,0.18710000,566196718.98000014,566196718.98000014
2021-04-30,0.33630000,0.74040000,0.24990000,0.36980000,0.33630000,0.74040000,0.24990000,0.36980000,678055057.26999986,678055057.26999986
2021-03-31,0.18870000,0.44440000,0.15940000,0.33630000,0.18870000,0.44440000,0.15940000,0.33630000,532865452.06000006,532865452.06000006
2021-02-28,0.12900000,0.38330000,0.11700000,0.18850000,0.12900000,0.38330000,0.11700000,0.18850000,625465261.78999972,625465261.78999972
2021-01-31,0.07870000,0.30000000,0.07120000,0.12840000,0.07870000,0.30000000,0.07120000,0.12840000,628276147.57000005,628276147.57000005
2020-12-31,0.08570000,0.11000000,0.06120000,0.07890000,0.08570000,0.11000000,0.06120000,0.07890000,71040281.72000000,71040281.72000000
2020-11-30,0.07650000,0.10000000,0.07200000,0.08590000,0.07650000,0.10000000,0.07200000,0.08590000,57501597.23000001,57501597.23000001
2020-10-31,0.09500000,0.10310000,0.07030000,0.07690000,0.09500000,0.10310000,0.07030000,0.07690000,25762696.75000000,25762696.75000000
2020-09-30,0.14890000,0.16980000,0.08600000,0.09470000,0.14890000,0.16980000,0.08600000,0.09470000,72431214.61000001,72431214.61000001
