timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.16776000,0.16915000,0.15345000,0.15502000,0.16776000,0.16915000,0.15345000,0.15502000,60907671.00000000,60907671.00000000
2023-04-30,0.17350000,0.21209000,0.15656000,0.16757000,0.17350000,0.21209000,0.15656000,0.16757000,641195704.00000000,641195704.00000000
2023-03-31,0.20307000,0.22500000,0.14268000,0.17348000,0.20307000,0.22500000,0.14268000,0.17348000,804705511.00000000,804705511.00000000
2023-02-28,0.26856000,0.28528000,0.19786000,0.20301000,0.26856000,0.28528000,0.19786000,0.20301000,581274349.00000000,581274349.00000000
2023-01-31,0.11524000,0.32900000,0.11454000,0.26850000,0.11524000,0.32900000,0.11454000,0.26850000,1206073402.00000000,1206073402.00000000
2022-12-31,0.14168000,0.18273000,0.11144000,0.11524000,0.14168000,0.18273000,0.11144000,0.11524000,534834425.00000000,534834425.00000000
2022-11-30,0.20552000,0.24500000,0.11821000,0.14165000,0.20552000,0.24500000,0.11821000,0.14165000,635903768.00000000,635903768.00000000
2022-10-31,0.20591000,0.22858000,0.17652000,0.20538000,0.20591000,0.22858000,0.17652000,0.20538000,399173139.00000000,399173139.00000000
2022-09-30,0.24575000,0.26196000,0.19355000,0.20591000,0.24575000,0.26196000,0.19355000,0.20591000,385219983.00000000,385219983.00000000
2022-08-31,0.33849000,0.36235000,0.23250000,0.24589000,0.33849000,0.36235000,0.23250000,0.24589000,599163546.00000000,599163546.00000000
2022-07-31,0.29015000,0.38278000,0.25566000,0.33848000,0.29015000,0.38278000,0.25566000,0.33848000,657355218.00000000,657355218.00000000
2022-06-30,0.47110000,0.48921000,0.25382000,0.29025000,0.47110000,0.48921000,0.25382000,0.29025000,934161869.00000000,934161869.00000000
2022-05-31,1.13048000,1.63610000,0.28380000,0.47105000,1.13048000,1.63610000,0.28380000,0.47105000,2636865376.00000000,2636865376.00000000
2022-04-30,1.02694000,2.22200000,0.90800000,1.13145000,1.02694000,2.22200000,0.90800000,1.13145000,1902665942.00000000,1902665942.00000000
2022-03-31,0.86930000,1.28600000,0.61084000,1.02800000,0.86930000,1.28600000,0.61084000,1.02800000,960793412.00000000,960793412.00000000
2022-02-28,0.72582000,1.34300000,0.63000000,0.86850000,0.72582000,1.34300000,0.63000000,0.86850000,818235253.00000000,818235253.00000000
2022-01-31,2.09568000,2.17621000,0.63129000,0.72585000,2.09568000,2.17621000,0.63129000,0.72585000,277940792.00000000,277940792.00000000
2021-12-31,3.62407000,3.89100000,1.81677000,2.09633000,3.62407000,3.89100000,1.81677000,2.09633000,538210811.00000000,538210811.00000000
