timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,49.58000000,49.96000000,45.05000000,45.70000000,49.58000000,49.96000000,45.05000000,45.70000000,373232.40400000,373232.40400000
2023-04-30,58.54000000,61.99000000,47.00000000,49.59000000,58.54000000,61.99000000,47.00000000,49.59000000,2549418.36000000,2549418.36000000
2023-03-31,71.72000000,74.38000000,43.53000000,58.54000000,71.72000000,74.38000000,43.53000000,58.54000000,5044759.12000000,5044759.12000000
2023-02-28,60.23000000,77.90000000,55.26000000,71.59000000,60.23000000,77.90000000,55.26000000,71.59000000,4216933.70800000,4216933.70800000
2023-01-31,42.05000000,62.55000000,41.11000000,60.23000000,42.05000000,62.55000000,41.11000000,60.23000000,4038704.10100000,4038704.10100000
2022-12-31,43.22000000,50.46000000,40.31000000,42.01000000,43.22000000,50.46000000,40.31000000,42.01000000,3541601.15500000,3541601.15500000
2022-11-30,41.85000000,47.47000000,30.60000000,43.22000000,41.85000000,47.47000000,30.60000000,43.22000000,3946467.00300000,3946467.00300000
2022-10-31,41.93000000,44.02000000,38.00000000,41.86000000,41.93000000,44.02000000,38.00000000,41.86000000,1711288.71300000,1711288.71300000
2022-09-30,44.50000000,50.18000000,39.01000000,41.95000000,44.50000000,50.18000000,39.01000000,41.95000000,3235384.96700000,3235384.96700000
2022-08-31,51.10000000,58.60000000,43.60000000,44.50000000,51.10000000,58.60000000,43.60000000,44.50000000,2407347.58400000,2407347.58400000
2022-07-31,42.30000000,54.70000000,39.30000000,51.10000000,42.30000000,54.70000000,39.30000000,51.10000000,2588016.31800000,2588016.31800000
2022-06-30,64.70000000,68.00000000,38.60000000,42.30000000,64.70000000,68.00000000,38.60000000,42.30000000,2972881.74458000,2972881.74458000
2022-05-31,84.70000000,97.60000000,45.00000000,64.60000000,84.70000000,97.60000000,45.00000000,64.60000000,4899054.49936000,4899054.49936000
2022-04-30,127.10000000,136.50000000,80.60000000,84.70000000,127.10000000,136.50000000,80.60000000,84.70000000,3552492.24600000,3552492.24600000
2022-03-31,100.40000000,138.80000000,83.50000000,127.20000000,100.40000000,138.80000000,83.50000000,127.20000000,6370697.04700000,6370697.04700000
2022-02-28,94.20000000,119.50000000,77.00000000,100.50000000,94.20000000,119.50000000,77.00000000,100.50000000,3495758.75717000,3495758.75717000
2022-01-31,133.70000000,157.80000000,80.50000000,94.10000000,133.70000000,157.80000000,80.50000000,94.10000000,5278494.16439000,5278494.16439000
2021-12-31,180.00000000,185.50000000,110.20000000,133.60000000,180.00000000,185.50000000,110.20000000,133.60000000,4065816.68577000,4065816.68577000
2021-11-30,192.70000000,247.80000000,164.00000000,180.00000000,192.70000000,247.80000000,164.00000000,180.00000000,5477424.04600000,5477424.04600000
2021-10-31,166.20000000,214.10000000,163.30000000,192.70000000,166.20000000,214.10000000,163.30000000,192.70000000,3970566.92500000,3970566.92500000
2021-09-30,223.60000000,268.90000000,146.30000000,166.00000000,223.60000000,268.90000000,146.30000000,166.00000000,4182096.78806000,4182096.78806000
2021-08-31,163.72000000,284.98000000,151.08000000,223.70000000,163.72000000,284.98000000,151.08000000,223.70000000,4699123.57423000,4699123.57423000
2021-07-31,145.67000000,188.00000000,109.52000000,163.77000000,145.67000000,188.00000000,109.52000000,163.77000000,5666514.17367000,5666514.17367000
2021-06-30,197.60000000,218.95000000,101.70000000,145.62000000,197.60000000,218.95000000,101.70000000,145.62000000,4616509.62141000,4616509.62141000
2021-05-31,319.70000000,478.00000000,122.51000000,197.42000000,319.70000000,478.00000000,122.51000000,197.42000000,10521229.12532000,10521229.12532000
2021-04-30,222.27000000,411.60000000,220.34000000,319.62000000,222.27000000,411.60000000,220.34000000,319.62000000,8012186.38723000,8012186.38723000
2021-03-31,196.82000000,250.20000000,181.98000000,222.44000000,196.82000000,250.20000000,181.98000000,222.44000000,4301349.69703000,4301349.69703000
2021-02-28,102.39000000,336.65000000,100.20000000,196.77000000,102.39000000,336.65000000,100.20000000,196.77000000,11654771.71741000,11654771.71741000
2021-01-31,99.48000000,158.50000000,84.63000000,102.42000000,99.48000000,158.50000000,84.63000000,102.42000000,10109185.02235000,10109185.02235000
2020-12-31,112.83000000,119.53000000,86.99000000,99.45000000,112.83000000,119.53000000,86.99000000,99.45000000,4509715.17534000,4509715.17534000
2020-11-30,70.10000000,123.06000000,62.21000000,112.83000000,70.10000000,123.06000000,62.21000000,112.83000000,6245575.78783000,6245575.78783000
2020-10-31,69.18000000,78.57000000,63.86000000,70.08000000,69.18000000,78.57000000,63.86000000,70.08000000,2618131.81041000,2618131.81041000
2020-09-30,86.13000000,90.72000000,62.00000000,69.17000000,86.13000000,90.72000000,62.00000000,69.17000000,2193738.74652000,2193738.74652000
