timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.03411000,0.03424000,0.03019000,0.03028000,0.03411000,0.03424000,0.03019000,0.03028000,43987230.00000000,43987230.00000000
2023-04-30,0.03882000,0.04213000,0.03407000,0.03412000,0.03882000,0.04213000,0.03407000,0.03412000,300874530.50000000,300874530.50000000
2023-03-31,0.04062000,0.04400000,0.03083000,0.03883000,0.04062000,0.04400000,0.03083000,0.03883000,471764479.80000001,471764479.80000001
2023-02-28,0.03509000,0.05419000,0.03263000,0.04057000,0.03509000,0.05419000,0.03263000,0.04057000,1856429437.60000014,1856429437.60000014
2023-01-31,0.02261000,0.04597000,0.02235000,0.03513000,0.02261000,0.04597000,0.02235000,0.03513000,1748168777.60000014,1748168777.60000014
2022-12-31,0.02781000,0.03163000,0.02161000,0.02271000,0.02781000,0.03163000,0.02161000,0.02271000,390999166.00000000,390999166.00000000
2022-11-30,0.03152000,0.03529000,0.02212000,0.02780000,0.03152000,0.03529000,0.02212000,0.02780000,481449741.60000002,481449741.60000002
2022-10-31,0.03207000,0.04445000,0.02678000,0.03151000,0.03207000,0.04445000,0.02678000,0.03151000,695099922.39999998,695099922.39999998
2022-09-30,0.03082000,0.03766000,0.02823000,0.03207000,0.03082000,0.03766000,0.02823000,0.03207000,751637868.00000000,751637868.00000000
2022-08-31,0.03733000,0.04206000,0.02889000,0.03066000,0.03733000,0.04206000,0.02889000,0.03066000,583835514.20000005,583835514.20000005
2022-07-31,0.02730000,0.04089000,0.02609000,0.03729000,0.02730000,0.04089000,0.02609000,0.03729000,1386366115.50000024,1386366115.50000024
2022-06-30,0.03566000,0.03920000,0.02190000,0.02734000,0.03566000,0.03920000,0.02190000,0.02734000,1041648147.09999990,1041648147.09999990
2022-05-31,0.06287000,0.06750000,0.02232000,0.03567000,0.06287000,0.06750000,0.02232000,0.03567000,1375667218.89999986,1375667218.89999986
2022-04-30,0.08091000,0.13380000,0.06160000,0.06287000,0.08091000,0.13380000,0.06160000,0.06287000,2666730062.59999990,2666730062.59999990
2022-03-31,0.07512000,0.09266000,0.06768000,0.08087000,0.07512000,0.09266000,0.06768000,0.08087000,1060170176.39999986,1060170176.39999986
2022-02-28,0.07327000,0.10000000,0.06617000,0.07525000,0.07327000,0.10000000,0.06617000,0.07525000,1368181540.19999981,1368181540.19999981
2022-01-31,0.11599000,0.12500000,0.06270000,0.07330000,0.11599000,0.12500000,0.06270000,0.07330000,488073808.29999995,488073808.29999995
2021-12-31,0.15006000,0.21812000,0.10811000,0.11598000,0.15006000,0.21812000,0.10811000,0.11598000,1708509989.29999995,1708509989.29999995
2021-11-30,0.13791000,0.19000000,0.12275000,0.15010000,0.13791000,0.19000000,0.12275000,0.15010000,2036607111.70000005,2036607111.70000005
2021-10-31,0.11388000,0.22300000,0.11101000,0.13791000,0.11388000,0.22300000,0.11101000,0.13791000,3670958273.50000000,3670958273.50000000
2021-09-30,0.14667000,0.16700000,0.10591000,0.11384000,0.14667000,0.16700000,0.10591000,0.11384000,1412386561.80000043,1412386561.80000043
2021-08-31,0.10002000,0.18279000,0.09115000,0.14674000,0.10002000,0.18279000,0.09115000,0.14674000,3363644010.20000029,3363644010.20000029
2021-07-31,0.11823000,0.13000000,0.07310000,0.10002000,0.11823000,0.13000000,0.07310000,0.10002000,3327856790.50000048,3327856790.50000048
2021-06-30,0.08592000,0.25863000,0.06599000,0.11824000,0.08592000,0.25863000,0.06599000,0.11824000,12011185736.19999886,12011185736.19999886
2021-05-31,0.16949000,0.20850000,0.04859000,0.08585000,0.16949000,0.20850000,0.04859000,0.08585000,1296034185.60000014,1296034185.60000014
2021-04-30,0.17986000,0.32000000,0.10564000,0.16937000,0.17986000,0.32000000,0.10564000,0.16937000,1779177622.09999990,1779177622.09999990
2021-03-31,0.08015000,0.20775000,0.07999000,0.17933000,0.08015000,0.20775000,0.07999000,0.17933000,1436304670.29999948,1436304670.29999948
2021-02-28,0.05901000,0.19000000,0.05700000,0.07973000,0.05901000,0.19000000,0.05700000,0.07973000,1487809957.10000014,1487809957.10000014
2021-01-31,0.03680000,0.07387000,0.03653000,0.05910000,0.03680000,0.07387000,0.03653000,0.05910000,795641335.90000010,795641335.90000010
2020-12-31,0.04140000,0.06989000,0.03396000,0.03680000,0.04140000,0.06989000,0.03396000,0.03680000,647074277.90000033,647074277.90000033
2020-11-30,0.03477000,0.05000000,0.03100000,0.04129000,0.03477000,0.05000000,0.03100000,0.04129000,141108017.80000004,141108017.80000004
2020-10-31,0.04083000,0.05559000,0.03409000,0.03493000,0.04083000,0.05559000,0.03409000,0.03493000,544295066.00000000,544295066.00000000
2020-09-30,0.06089000,0.06141000,0.03240000,0.04083000,0.06089000,0.06141000,0.03240000,0.04083000,95697701.50000001,95697701.50000001
