timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,18.18000000,20.59000000,16.91000000,17.87000000,18.18000000,20.59000000,16.91000000,17.87000000,425528.02600000,425528.02600000
2023-04-30,20.40000000,25.18000000,17.91000000,18.19000000,20.40000000,25.18000000,17.91000000,18.19000000,1258190.55000000,1258190.55000000
2023-03-31,23.40000000,25.90000000,17.53000000,20.39000000,23.40000000,25.90000000,17.53000000,20.39000000,801795.10700000,801795.10700000
2023-02-28,22.90000000,28.52000000,21.71000000,23.40000000,22.90000000,28.52000000,21.71000000,23.40000000,711443.78900000,711443.78900000
2023-01-31,18.50000000,24.90000000,18.30000000,22.80000000,18.50000000,24.90000000,18.30000000,22.80000000,485428.90600000,485428.90600000
2022-12-31,20.70000000,24.80000000,18.20000000,18.40000000,20.70000000,24.80000000,18.20000000,18.40000000,513917.56800000,513917.56800000
2022-11-30,27.20000000,28.80000000,18.30000000,20.70000000,27.20000000,28.80000000,18.30000000,20.70000000,521890.50000000,521890.50000000
2022-10-31,25.10000000,29.90000000,23.50000000,27.20000000,25.10000000,29.90000000,23.50000000,27.20000000,485729.58700000,485729.58700000
2022-09-30,28.30000000,34.70000000,23.30000000,25.00000000,28.30000000,34.70000000,23.30000000,25.00000000,698958.27100000,698958.27100000
2022-08-31,27.30000000,70.40000000,25.60000000,28.30000000,27.30000000,70.40000000,25.60000000,28.30000000,3206521.75900000,3206521.75900000
2022-07-31,22.50000000,33.00000000,20.50000000,27.30000000,22.50000000,33.00000000,20.50000000,27.30000000,568289.80800000,568289.80800000
2022-06-30,36.40000000,40.00000000,19.80000000,22.60000000,36.40000000,40.00000000,19.80000000,22.60000000,384122.74700000,384122.74700000
2022-05-31,55.50000000,59.10000000,29.00000000,36.40000000,55.50000000,59.10000000,29.00000000,36.40000000,465803.68100000,465803.68100000
2022-04-30,62.20000000,86.20000000,52.40000000,55.50000000,62.20000000,86.20000000,52.40000000,55.50000000,1291727.09700000,1291727.09700000
2022-03-31,61.70000000,75.60000000,49.10000000,62.00000000,61.70000000,75.60000000,49.10000000,62.00000000,476150.89300000,476150.89300000
2022-02-28,63.70000000,72.30000000,46.30000000,61.70000000,63.70000000,72.30000000,46.30000000,61.70000000,320113.08400000,320113.08400000
2022-01-31,70.10000000,93.00000000,50.00000000,63.80000000,70.10000000,93.00000000,50.00000000,63.80000000,818491.16720000,818491.16720000
2021-12-31,104.30000000,114.20000000,59.20000000,69.90000000,104.30000000,114.20000000,59.20000000,69.90000000,983872.88760000,983872.88760000
2021-11-30,114.80000000,122.60000000,90.60000000,105.00000000,114.80000000,122.60000000,90.60000000,105.00000000,422136.71400000,422136.71400000
2021-10-31,105.90000000,141.20000000,98.30000000,114.60000000,105.90000000,141.20000000,98.30000000,114.60000000,326877.55700000,326877.55700000
2021-09-30,174.90000000,186.10000000,95.50000000,105.90000000,174.90000000,186.10000000,95.50000000,105.90000000,337012.49030000,337012.49030000
2021-08-31,155.72000000,182.30000000,125.00000000,174.90000000,155.72000000,182.30000000,125.00000000,174.90000000,318908.66650000,318908.66650000
2021-07-31,143.18000000,158.00000000,90.98000000,155.69000000,143.18000000,158.00000000,90.98000000,155.69000000,231964.95320000,231964.95320000
2021-06-30,170.88000000,177.08000000,85.86000000,142.70000000,170.88000000,177.08000000,85.86000000,142.70000000,391010.98220000,391010.98220000
2021-05-31,206.01000000,229.98000000,87.57000000,170.87000000,206.01000000,229.98000000,87.57000000,170.87000000,586132.88960000,586132.88960000
2021-04-30,179.95200000,249.99900000,164.35700000,206.02000000,179.95200000,249.99900000,164.35700000,206.02000000,490062.31120000,490062.31120000
2021-03-31,134.80400000,184.00000000,131.95000000,179.48300000,134.80400000,184.00000000,131.95000000,179.48300000,446357.00300000,446357.00300000
2021-02-28,66.02100000,172.00000000,63.83200000,134.67000000,66.02100000,172.00000000,63.83200000,134.67000000,1110176.21200000,1110176.21200000
2021-01-31,40.72700000,71.06000000,39.27500000,65.75800000,40.72700000,71.06000000,39.27500000,65.75800000,848758.42500000,848758.42500000
2020-12-31,24.68300000,43.38400000,23.23000000,40.72900000,24.68300000,43.38400000,23.23000000,40.72900000,1181923.23700000,1181923.23700000
2020-11-30,12.38000000,24.98900000,11.56800000,24.68400000,12.38000000,24.98900000,11.56800000,24.68400000,644582.45700000,644582.45700000
2020-10-31,11.69200000,14.26300000,11.04000000,12.26200000,11.69200000,14.26300000,11.04000000,12.26200000,247566.67200000,247566.67200000
2020-09-30,17.06200000,17.46400000,10.99800000,11.67300000,17.06200000,17.46400000,10.99800000,11.67300000,258684.28500000,258684.28500000
