timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00094600,0.00096100,0.00087700,0.00088100,0.00094600,0.00096100,0.00087700,0.00088100,8202366482.00000000,8202366482.00000000
2023-04-30,0.00110400,0.00121800,0.00092500,0.00094500,0.00110400,0.00121800,0.00092500,0.00094500,53092343716.00000000,53092343716.00000000
2023-03-31,0.00113900,0.00121200,0.00081100,0.00110400,0.00113900,0.00121200,0.00081100,0.00110400,83331730738.00000000,83331730738.00000000
2023-02-28,0.00093800,0.00153400,0.00083500,0.00113900,0.00093800,0.00153400,0.00083500,0.00113900,139518218325.00000000,139518218325.00000000
2023-01-31,0.00068400,0.00102700,0.00066300,0.00093800,0.00068400,0.00102700,0.00066300,0.00093800,90697036570.00000000,90697036570.00000000
2022-12-31,0.00071900,0.00133000,0.00056700,0.00068400,0.00071900,0.00133000,0.00056700,0.00068400,97131443497.00000000,97131443497.00000000
2022-11-30,0.00087800,0.00098600,0.00059400,0.00072000,0.00087800,0.00098600,0.00059400,0.00072000,62467446104.00000000,62467446104.00000000
2022-10-31,0.00094600,0.00097400,0.00077200,0.00088000,0.00094600,0.00097400,0.00077200,0.00088000,37579528770.00000000,37579528770.00000000
2022-09-30,0.00094700,0.00112100,0.00085800,0.00094700,0.00094700,0.00112100,0.00085800,0.00094700,62334826313.00000000,62334826313.00000000
2022-08-31,0.00108500,0.00139100,0.00090000,0.00094800,0.00108500,0.00139100,0.00090000,0.00094800,90893290059.00000000,90893290059.00000000
2022-07-31,0.00087100,0.00120000,0.00077100,0.00108600,0.00087100,0.00120000,0.00077100,0.00108600,135464952119.00000000,135464952119.00000000
2022-06-30,0.00140800,0.00153800,0.00074900,0.00087200,0.00140800,0.00153800,0.00074900,0.00087200,133865713423.00000000,133865713423.00000000
2022-05-31,0.00202700,0.00230400,0.00083700,0.00140500,0.00202700,0.00230400,0.00083700,0.00140500,218903770749.00000000,218903770749.00000000
2022-04-30,0.00324800,0.00398900,0.00195000,0.00203000,0.00324800,0.00398900,0.00195000,0.00203000,115054888909.00000000,115054888909.00000000
2022-03-31,0.00264600,0.00365300,0.00218800,0.00325000,0.00264600,0.00365300,0.00218800,0.00325000,152501930602.00000000,152501930602.00000000
2022-02-28,0.00262200,0.00353100,0.00193400,0.00264800,0.00262200,0.00353100,0.00193400,0.00264800,134790481670.00000000,134790481670.00000000
2022-01-31,0.00386900,0.00419000,0.00218700,0.00262200,0.00386900,0.00419000,0.00218700,0.00262200,133327092891.00000000,133327092891.00000000
2021-12-31,0.00494200,0.00550900,0.00297200,0.00386800,0.00494200,0.00550900,0.00297200,0.00386800,183661670962.00000000,183661670962.00000000
2021-11-30,0.00705600,0.00846300,0.00440700,0.00493900,0.00705600,0.00846300,0.00440700,0.00493900,217695288976.00000000,217695288976.00000000
2021-10-31,0.00439900,0.00745000,0.00436400,0.00704500,0.00439900,0.00745000,0.00436400,0.00704500,271385557843.00000000,271385557843.00000000
2021-09-30,0.00578000,0.00742800,0.00350200,0.00439900,0.00578000,0.00742800,0.00350200,0.00439900,262646881971.00000000,262646881971.00000000
2021-08-31,0.00249580,0.00890000,0.00228450,0.00578400,0.00249580,0.00890000,0.00228450,0.00578400,463116998847.00000000,463116998847.00000000
2021-07-31,0.00263660,0.00288700,0.00156060,0.00249620,0.00263660,0.00288700,0.00156060,0.00249620,191349534074.00000000,191349534074.00000000
2021-06-30,0.00390430,0.00430000,0.00178350,0.00263470,0.00390430,0.00430000,0.00178350,0.00263470,236095997426.00000000,236095997426.00000000
2021-05-31,0.01143450,0.01197510,0.00245430,0.00391820,0.01143450,0.01197510,0.00245430,0.00391820,386468675113.00000000,386468675113.00000000
2021-04-30,0.01232990,0.02270000,0.00500000,0.01143450,0.01232990,0.02270000,0.00500000,0.01143450,604262189073.00000000,604262189073.00000000
2021-03-31,0.00149010,0.01499400,0.00148340,0.01232320,0.00149010,0.01499400,0.00148340,0.01232320,482995017961.00000000,482995017961.00000000
2021-02-28,0.00036110,0.00278470,0.00033380,0.00148600,0.00036110,0.00278470,0.00033380,0.00148600,311514605724.00000000,311514605724.00000000
2021-01-31,0.00018760,0.00059990,0.00018360,0.00036130,0.00018760,0.00059990,0.00018360,0.00036130,83671452752.00000000,83671452752.00000000
2020-12-31,0.00022420,0.00030880,0.00018260,0.00018900,0.00022420,0.00030880,0.00018260,0.00018900,30444935627.00000000,30444935627.00000000
2020-11-30,0.00018620,0.00023120,0.00015800,0.00022460,0.00018620,0.00023120,0.00015800,0.00022460,16313081857.00000000,16313081857.00000000
2020-10-31,0.00021780,0.00025000,0.00018300,0.00018620,0.00021780,0.00025000,0.00018300,0.00018620,7196458721.00000000,7196458721.00000000
2020-09-30,0.00030960,0.00032500,0.00019500,0.00021770,0.00030960,0.00032500,0.00019500,0.00021770,14637802266.00000000,14637802266.00000000
