timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00923000,0.00927000,0.00861000,0.00872000,0.00923000,0.00927000,0.00861000,0.00872000,337069574.90000004,337069574.90000004
2023-04-30,0.00961000,0.01072000,0.00883000,0.00923000,0.00961000,0.01072000,0.00883000,0.00923000,3236872173.50000000,3236872173.50000000
2023-03-31,0.01097000,0.01153000,0.00836000,0.00961000,0.01097000,0.01153000,0.00836000,0.00961000,3822465478.50000000,3822465478.50000000
2023-02-28,0.01044000,0.01366000,0.00930000,0.01096000,0.01044000,0.01366000,0.00930000,0.01096000,5046869479.20000076,5046869479.20000076
2023-01-31,0.00769000,0.01126000,0.00766000,0.01046000,0.00769000,0.01126000,0.00766000,0.01046000,3443458865.39999962,3443458865.39999962
2022-12-31,0.00769000,0.01085000,0.00720000,0.00770000,0.00769000,0.01085000,0.00720000,0.00770000,5002422490.59999943,5002422490.59999943
2022-11-30,0.00899000,0.01100000,0.00600000,0.00770000,0.00899000,0.01100000,0.00600000,0.00770000,3173246770.50000000,3173246770.50000000
2022-10-31,0.00950000,0.00984000,0.00788000,0.00899000,0.00950000,0.00984000,0.00788000,0.00899000,2262745092.80000019,2262745092.80000019
2022-09-30,0.01055000,0.01122000,0.00882000,0.00948000,0.01055000,0.01122000,0.00882000,0.00948000,3010620375.80000067,3010620375.80000067
2022-08-31,0.01226000,0.01831000,0.00975000,0.01056000,0.01226000,0.01831000,0.00975000,0.01056000,6990292134.89999866,6990292134.89999866
2022-07-31,0.00937000,0.01337000,0.00841000,0.01228000,0.00937000,0.01337000,0.00841000,0.01228000,5055224249.89999962,5055224249.89999962
2022-06-30,0.01268000,0.01364000,0.00801000,0.00936000,0.01268000,0.01364000,0.00801000,0.00936000,4797950963.19999886,4797950963.19999886
2022-05-31,0.01842000,0.02149000,0.00855000,0.01268000,0.01842000,0.02149000,0.00855000,0.01268000,7180944478.60000038,7180944478.60000038
2022-04-30,0.03271000,0.03800000,0.01770000,0.01843000,0.03271000,0.03800000,0.01770000,0.01843000,6112589606.49999809,6112589606.49999809
2022-03-31,0.02187000,0.04380000,0.01738000,0.03269000,0.02187000,0.04380000,0.01738000,0.03269000,11218206201.59999275,11218206201.59999275
2022-02-28,0.02145000,0.02849000,0.01610000,0.02185000,0.02145000,0.02849000,0.01610000,0.02185000,3769627732.80000019,3769627732.80000019
2022-01-31,0.03322000,0.03494000,0.01747000,0.02146000,0.03322000,0.03494000,0.01747000,0.02146000,4116692478.10000038,4116692478.10000038
2021-12-31,0.04796000,0.05145000,0.02576000,0.03320000,0.04796000,0.05145000,0.02576000,0.03320000,3966899838.59999943,3966899838.59999943
2021-11-30,0.05750000,0.07009000,0.04268000,0.04792000,0.05750000,0.07009000,0.04268000,0.04792000,6184550811.40000153,6184550811.40000153
2021-10-31,0.04474000,0.07400000,0.04333000,0.05749000,0.04474000,0.07400000,0.04333000,0.05749000,6603866585.49999714,6603866585.49999714
2021-09-30,0.06538000,0.08000000,0.04128000,0.04472000,0.06538000,0.08000000,0.04128000,0.04472000,3666914685.09999990,3666914685.09999990
2021-08-31,0.04598000,0.07800000,0.04562000,0.06543000,0.04598000,0.07800000,0.04562000,0.06543000,4138267414.90000057,4138267414.90000057
2021-07-31,0.04859000,0.04871000,0.03240000,0.04590000,0.04859000,0.04871000,0.03240000,0.04590000,2809379097.49999952,2809379097.49999952
2021-06-30,0.06631000,0.07896000,0.03184000,0.04865000,0.06631000,0.07896000,0.03184000,0.04865000,4846037550.50000191,4846037550.50000191
2021-05-31,0.15114000,0.18400000,0.04982000,0.06629000,0.15114000,0.18400000,0.04982000,0.06629000,7436550310.30000114,7436550310.30000114
2021-04-30,0.07419000,0.17462000,0.07201000,0.15071000,0.07419000,0.17462000,0.07201000,0.15071000,11101003211.50000381,11101003211.50000381
2021-03-31,0.05104000,0.08038000,0.05062000,0.07411000,0.05104000,0.08038000,0.05062000,0.07411000,4229566754.10000038,4229566754.10000038
2021-02-28,0.02838000,0.09000000,0.02716000,0.05108000,0.02838000,0.09000000,0.02716000,0.05108000,4649593757.99999905,4649593757.99999905
2021-01-31,0.02490000,0.03440000,0.02129000,0.02838000,0.02490000,0.03440000,0.02129000,0.02838000,3500140790.30000067,3500140790.30000067
2020-12-31,0.02383000,0.03254000,0.01717000,0.02493000,0.02383000,0.03254000,0.01717000,0.02493000,2162293971.59999990,2162293971.59999990
2020-11-30,0.01974000,0.03015000,0.01800000,0.02384000,0.01974000,0.03015000,0.01800000,0.02384000,1192796885.59999967,1192796885.59999967
2020-10-31,0.02657000,0.02996000,0.01856000,0.01976000,0.02657000,0.02996000,0.01856000,0.01976000,691416545.99999988,691416545.99999988
2020-09-30,0.02689000,0.03214000,0.02020000,0.02657000,0.02689000,0.03214000,0.02020000,0.02657000,1372066719.09999990,1372066719.09999990
