timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-24,0.04280000,0.05520000,0.02580000,0.03600000,0.04280000,0.05520000,0.02580000,0.03600000,984894316.00000000,984894316.00000000
2022-09-30,0.04390000,0.05100000,0.03960000,0.04290000,0.04390000,0.05100000,0.03960000,0.04290000,285587199.00000000,285587199.00000000
2022-08-31,0.05400000,0.05940000,0.04180000,0.04380000,0.05400000,0.05940000,0.04180000,0.04380000,379742998.00000000,379742998.00000000
2022-07-31,0.04580000,0.06100000,0.04260000,0.05400000,0.04580000,0.06100000,0.04260000,0.05400000,657652874.00000000,657652874.00000000
2022-06-30,0.05590000,0.06500000,0.03120000,0.04590000,0.05590000,0.06500000,0.03120000,0.04590000,1088743820.00000000,1088743820.00000000
2022-05-31,0.10690000,0.12420000,0.03360000,0.05580000,0.10690000,0.12420000,0.03360000,0.05580000,1645213713.59999990,1645213713.59999990
2022-04-30,0.08350000,0.20850000,0.08220000,0.10670000,0.08350000,0.20850000,0.08220000,0.10670000,6258042185.00000000,6258042185.00000000
2022-03-31,0.07340000,0.09400000,0.06470000,0.08340000,0.07340000,0.09400000,0.06470000,0.08340000,540349952.00000000,540349952.00000000
2022-02-28,0.08120000,0.10260000,0.05850000,0.07330000,0.08120000,0.10260000,0.05850000,0.07330000,394960898.00000000,394960898.00000000
2022-01-31,0.12840000,0.14280000,0.06580000,0.08160000,0.12840000,0.14280000,0.06580000,0.08160000,330255528.19999999,330255528.19999999
2021-12-31,0.16490000,0.22000000,0.12010000,0.12840000,0.16490000,0.22000000,0.12010000,0.12840000,723459117.60000002,723459117.60000002
2021-11-30,0.17140000,0.21240000,0.14350000,0.16460000,0.17140000,0.21240000,0.14350000,0.16460000,922337969.00000000,922337969.00000000
2021-10-31,0.14650000,0.24500000,0.13780000,0.17170000,0.14650000,0.24500000,0.13780000,0.17170000,1379980278.00000000,1379980278.00000000
2021-09-30,0.18600000,0.25000000,0.13400000,0.14640000,0.18600000,0.25000000,0.13400000,0.14640000,451690075.00000000,451690075.00000000
2021-08-31,0.14776000,0.22869000,0.13623000,0.18590000,0.14776000,0.22869000,0.13623000,0.18590000,714633064.29999995,714633064.29999995
2021-07-31,0.13399000,0.19333000,0.09801000,0.14715000,0.13399000,0.19333000,0.09801000,0.14715000,739291110.10000002,739291110.10000002
2021-06-30,0.18907000,0.22397000,0.10739000,0.13422000,0.18907000,0.22397000,0.10739000,0.13422000,870287376.40000010,870287376.40000010
2021-05-31,0.32905000,0.49000000,0.12253000,0.18913000,0.32905000,0.49000000,0.12253000,0.18913000,736915946.29999995,736915946.29999995
2021-04-30,0.29178000,0.51000000,0.21980000,0.32940000,0.29178000,0.51000000,0.21980000,0.32940000,1231083600.70000029,1231083600.70000029
2021-03-31,0.23890000,0.40000000,0.23186000,0.29204000,0.23890000,0.40000000,0.23186000,0.29204000,478497853.50000000,478497853.50000000
2021-02-28,0.12494000,0.42208000,0.12100000,0.23863000,0.12494000,0.42208000,0.12100000,0.23863000,938914250.80000007,938914250.80000007
2021-01-31,0.04514000,0.21966000,0.04318000,0.12526000,0.04514000,0.21966000,0.04318000,0.12526000,1723774473.80000019,1723774473.80000019
2020-12-31,0.05097000,0.09191000,0.03864000,0.04514000,0.05097000,0.09191000,0.03864000,0.04514000,1042169657.89999998,1042169657.89999998
