timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.07950000,0.08147000,0.07566000,0.07686000,0.07950000,0.08147000,0.07566000,0.07686000,4392047006.00000000,4392047006.00000000
2023-04-30,0.07695000,0.10500000,0.07480000,0.07951000,0.07695000,0.10500000,0.07480000,0.07951000,62701979620.00000000,62701979620.00000000
2023-03-31,0.08085000,0.08284000,0.06253000,0.07695000,0.08085000,0.08284000,0.06253000,0.07695000,31390076138.00000000,31390076138.00000000
2023-02-28,0.09613000,0.09980000,0.07836000,0.08085000,0.09613000,0.09980000,0.07836000,0.08085000,32150070041.00000000,32150070041.00000000
2023-01-31,0.07024000,0.09867000,0.06906000,0.09612000,0.07024000,0.09867000,0.06906000,0.09612000,40965904947.00000000,40965904947.00000000
2022-12-31,0.10676000,0.11192000,0.06581000,0.07025000,0.10676000,0.11192000,0.06581000,0.07025000,36816850421.00000000,36816850421.00000000
2022-11-30,0.12685000,0.15893000,0.07053000,0.10677000,0.12685000,0.15893000,0.07053000,0.10677000,89412897896.00000000,89412897896.00000000
2022-10-31,0.06168000,0.15150000,0.05509000,0.12686000,0.06168000,0.15150000,0.05509000,0.12686000,58655081657.00000000,58655081657.00000000
2022-09-30,0.06134000,0.06831000,0.05588000,0.06167000,0.06134000,0.06831000,0.05588000,0.06167000,21563950374.00000000,21563950374.00000000
2022-08-31,0.06809000,0.08962000,0.06007000,0.06135000,0.06809000,0.08962000,0.06007000,0.06135000,33334639056.00000000,33334639056.00000000
2022-07-31,0.06642000,0.07695000,0.05754000,0.06807000,0.06642000,0.07695000,0.05754000,0.06807000,22814182887.00000000,22814182887.00000000
2022-06-30,0.08590000,0.08952000,0.04914000,0.06644000,0.08590000,0.08952000,0.04914000,0.06644000,37558501303.90000153,37558501303.90000153
2022-05-31,0.12730000,0.13780000,0.06890000,0.08591000,0.12730000,0.13780000,0.06890000,0.08591000,36172963403.69999695,36172963403.69999695
2022-04-30,0.13810000,0.17960000,0.12240000,0.12740000,0.13810000,0.17960000,0.12240000,0.12740000,61849207271.00000000,61849207271.00000000
2022-03-31,0.13340000,0.15370000,0.10990000,0.13810000,0.13340000,0.15370000,0.10990000,0.13810000,24425819025.00000000,24425819025.00000000
2022-02-28,0.14160000,0.17310000,0.10650000,0.13350000,0.14160000,0.17310000,0.10650000,0.13350000,22572607553.90000153,22572607553.90000153
2022-01-31,0.17030000,0.21480000,0.12000000,0.14150000,0.17030000,0.21480000,0.12000000,0.14150000,34121846694.59999847,34121846694.59999847
2021-12-31,0.21470000,0.22330000,0.13100000,0.17030000,0.21470000,0.22330000,0.13100000,0.17030000,39661761563.19999695,39661761563.19999695
2021-11-30,0.28000000,0.29730000,0.18600000,0.21470000,0.28000000,0.29730000,0.18600000,0.21470000,42644903820.30000305,42644903820.30000305
2021-10-31,0.20430000,0.34000000,0.20180000,0.28000000,0.20430000,0.34000000,0.20180000,0.28000000,84054119630.00000000,84054119630.00000000
2021-09-30,0.27820000,0.31990000,0.19400000,0.20420000,0.27820000,0.31990000,0.19400000,0.20420000,33751726730.59999847,33751726730.59999847
2021-08-31,0.20764000,0.35170000,0.19310000,0.27810000,0.20764000,0.35170000,0.19310000,0.27810000,73225694347.30000305,73225694347.30000305
2021-07-31,0.25390000,0.26140000,0.15988000,0.20765000,0.25390000,0.26140000,0.15988000,0.20765000,46857132169.80000305,46857132169.80000305
2021-06-30,0.32558000,0.44834000,0.16322000,0.25391000,0.32558000,0.44834000,0.16322000,0.25391000,84555408983.59999084,84555408983.59999084
2021-05-31,0.33746000,0.73995000,0.21111000,0.32557000,0.33746000,0.73995000,0.21111000,0.32557000,234613266539.80001831,234613266539.80001831
2021-04-30,0.05378350,0.45000000,0.05349990,0.33746000,0.05378350,0.45000000,0.05349990,0.33746000,362005872473.09997559,362005872473.09997559
2021-03-31,0.04814470,0.06367890,0.04765000,0.05376990,0.04814470,0.06367890,0.04765000,0.05376990,65472046697.00000000,65472046697.00000000
2021-02-28,0.03696230,0.08729700,0.02877000,0.04815820,0.03696230,0.08729700,0.02877000,0.04815820,345635710197.00000000,345635710197.00000000
2021-01-31,0.00467160,0.08750000,0.00460100,0.03700000,0.00467160,0.08750000,0.00460100,0.03700000,460821375888.00000000,460821375888.00000000
2020-12-31,0.00355970,0.00550000,0.00299690,0.00467090,0.00355970,0.00550000,0.00299690,0.00467090,50541315403.00000000,50541315403.00000000
2020-11-30,0.00256760,0.00429780,0.00245190,0.00356100,0.00256760,0.00429780,0.00245190,0.00356100,33563867021.00000000,33563867021.00000000
2020-10-31,0.00263610,0.00291150,0.00250100,0.00256660,0.00263610,0.00291150,0.00250100,0.00256660,14064315569.00000000,14064315569.00000000
2020-09-30,0.00320610,0.00327840,0.00252770,0.00263500,0.00320610,0.00327840,0.00252770,0.00263500,21089318024.00000000,21089318024.00000000
