timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,5.87700000,5.90900000,5.55000000,5.63900000,5.87700000,5.90900000,5.55000000,5.63900000,16535829.78000000,16535829.78000000
2023-04-30,6.34300000,7.00000000,5.60000000,5.87700000,6.34300000,7.00000000,5.60000000,5.87700000,111218497.57999998,111218497.57999998
2023-03-31,6.34900000,6.69900000,5.15000000,6.34300000,6.34900000,6.69900000,5.15000000,6.34300000,166235571.40999997,166235571.40999997
2023-02-28,6.26000000,7.90000000,5.87800000,6.34700000,6.26000000,7.90000000,5.87800000,6.34700000,187466876.53999999,187466876.53999999
2023-01-31,4.30800000,6.84000000,4.27500000,6.26000000,4.30800000,6.84000000,4.27500000,6.26000000,168705917.86000004,168705917.86000004
2022-12-31,5.46000000,5.73000000,4.22400000,4.30900000,5.46000000,5.73000000,4.22400000,4.30900000,108929528.59999998,108929528.59999998
2022-11-30,6.62000000,7.42000000,5.00000000,5.46000000,6.62000000,7.42000000,5.00000000,5.46000000,174660339.00000000,174660339.00000000
2022-10-31,6.33000000,6.84000000,5.68000000,6.62000000,6.33000000,6.84000000,5.68000000,6.62000000,133932985.18400000,133932985.18400000
2022-09-30,7.03000000,8.05000000,5.97000000,6.32000000,7.03000000,8.05000000,5.97000000,6.32000000,193008236.21200004,193008236.21200004
2022-08-31,8.63000000,9.68000000,6.79000000,7.03000000,8.63000000,9.68000000,6.79000000,7.03000000,192768427.08000001,192768427.08000001
2022-07-31,7.06000000,9.21000000,6.00000000,8.62000000,7.06000000,9.21000000,6.00000000,8.62000000,226004126.46000001,226004126.46000001
2022-06-30,10.36000000,10.75000000,6.36000000,7.06000000,10.36000000,10.75000000,6.36000000,7.06000000,218609888.07099998,218609888.07099998
2022-05-31,14.50000000,16.45000000,7.30000000,10.35000000,14.50000000,16.45000000,7.30000000,10.35000000,334542404.11300004,334542404.11300004
2022-04-30,21.33000000,23.85000000,14.18000000,14.50000000,21.33000000,23.85000000,14.18000000,14.50000000,148817518.93000001,148817518.93000001
2022-03-31,18.94000000,23.33000000,16.00000000,21.33000000,18.94000000,23.33000000,16.00000000,21.33000000,203395790.72999999,203395790.72999999
2022-02-28,19.38000000,23.19000000,14.05000000,18.94000000,19.38000000,23.19000000,14.05000000,18.94000000,238996780.74800000,238996780.74800000
2022-01-31,26.67000000,30.88000000,15.83000000,19.37000000,26.67000000,30.88000000,15.83000000,19.37000000,313188670.55300003,313188670.55300003
2021-12-31,37.96000000,38.78000000,23.27000000,26.66000000,37.96000000,38.78000000,23.27000000,26.66000000,312312316.20000005,312312316.20000005
2021-11-30,42.78000000,55.09000000,32.21000000,37.95000000,42.78000000,55.09000000,32.21000000,37.95000000,322155563.48900002,322155563.48900002
2021-10-31,28.61000000,46.39000000,28.50000000,42.77000000,28.61000000,46.39000000,28.50000000,42.77000000,390162018.21699995,390162018.21699995
2021-09-30,31.34000000,38.77000000,22.66000000,28.62000000,31.34000000,38.77000000,22.66000000,28.62000000,556145972.10400009,556145972.10400009
2021-08-31,16.77900000,31.95000000,16.53900000,31.35000000,16.77900000,31.95000000,16.53900000,31.35000000,505905938.11500001,505905938.11500001
2021-07-31,16.40000000,17.66800000,10.37300000,16.78400000,16.40000000,17.66800000,10.37300000,16.78400000,381665563.86800003,381665563.86800003
2021-06-30,23.27300000,28.60000000,13.00000000,16.40200000,23.27300000,28.60000000,13.00000000,16.40200000,506119390.90299982,506119390.90299982
2021-05-31,36.51100000,49.78000000,13.63800000,23.26400000,36.51100000,49.78000000,13.63800000,23.26400000,792868441.91100001,792868441.91100001
2021-04-30,37.07840000,48.36000000,26.63550000,36.52200000,37.07840000,48.36000000,26.63550000,36.52200000,335727098.25399995,335727098.25399995
2021-03-31,33.79640000,40.10000000,27.45860000,37.07650000,33.79640000,40.10000000,27.45860000,37.07650000,284242872.53999996,284242872.53999996
2021-02-28,16.11530000,42.28480000,15.58070000,33.80000000,16.11530000,42.28480000,15.58070000,33.80000000,532078044.03000003,532078044.03000003
2021-01-31,9.26200000,19.40000000,7.16420000,16.11280000,9.26200000,19.40000000,7.16420000,16.11280000,908906634.92000031,908906634.92000031
2020-12-31,5.37800000,9.51000000,4.54000000,9.26190000,5.37800000,9.51000000,4.54000000,9.26190000,302844432.31999993,302844432.31999993
2020-11-30,4.18330000,6.08570000,3.88420000,5.37670000,4.18330000,6.08570000,3.88420000,5.37670000,268356318.29000002,268356318.29000002
2020-10-31,4.34590000,4.95000000,3.60000000,4.18540000,4.34590000,4.95000000,3.60000000,4.18540000,187625469.88999996,187625469.88999996
2020-09-30,6.27120000,6.86190000,3.53210000,4.34580000,6.27120000,6.86190000,3.53210000,4.34580000,372190799.53999996,372190799.53999996
