timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.38550000,0.38820000,0.36270000,0.36550000,0.38550000,0.38820000,0.36270000,0.36550000,25460954.70000000,25460954.70000000
2023-04-30,0.40650000,0.50200000,0.36820000,0.38560000,0.40650000,0.50200000,0.36820000,0.38560000,447058947.59999996,447058947.59999996
2023-03-31,0.46220000,0.48730000,0.33080000,0.40630000,0.46220000,0.48730000,0.33080000,0.40630000,323433262.40000004,323433262.40000004
2023-02-28,0.45780000,0.56800000,0.41150000,0.46220000,0.45780000,0.56800000,0.41150000,0.46220000,372856954.10000008,372856954.10000008
2023-01-31,0.24070000,0.50270000,0.23700000,0.45760000,0.24070000,0.50270000,0.23700000,0.45760000,551903964.79999995,551903964.79999995
2022-12-31,0.31260000,0.37290000,0.23000000,0.24080000,0.31260000,0.37290000,0.23000000,0.24080000,240817476.21000004,240817476.21000004
2022-11-30,0.45360000,0.51000000,0.27540000,0.31280000,0.45360000,0.51000000,0.27540000,0.31280000,325589781.19999999,325589781.19999999
2022-10-31,0.45240000,0.48580000,0.38710000,0.45330000,0.45240000,0.48580000,0.38710000,0.45330000,165649233.30000001,165649233.30000001
2022-09-30,0.51700000,0.56740000,0.44190000,0.45270000,0.51700000,0.56740000,0.44190000,0.45270000,357363656.09999990,357363656.09999990
2022-08-31,0.61200000,0.75100000,0.48500000,0.51700000,0.61200000,0.75100000,0.48500000,0.51700000,299868660.80000007,299868660.80000007
2022-07-31,0.50800000,0.70800000,0.44200000,0.61300000,0.50800000,0.70800000,0.44200000,0.61300000,370169764.00000000,370169764.00000000
2022-06-30,0.69700000,0.71000000,0.37800000,0.50800000,0.69700000,0.71000000,0.37800000,0.50800000,464601621.59999996,464601621.59999996
2022-05-31,1.05800000,1.20600000,0.48500000,0.69900000,1.05800000,1.20600000,0.48500000,0.69900000,486433485.81999999,486433485.81999999
2022-04-30,1.79500000,1.92900000,1.00400000,1.05700000,1.79500000,1.92900000,1.00400000,1.05700000,324664589.77999997,324664589.77999997
2022-03-31,1.56400000,1.97300000,1.27700000,1.79700000,1.56400000,1.97300000,1.27700000,1.79700000,350047009.59999990,350047009.59999990
2022-02-28,1.88500000,2.19000000,1.15500000,1.56500000,1.88500000,2.19000000,1.15500000,1.56500000,396317568.08000004,396317568.08000004
2022-01-31,2.57600000,2.95100000,1.32600000,1.88400000,2.57600000,2.95100000,1.32600000,1.88400000,463867502.20000005,463867502.20000005
2021-12-31,3.50400000,3.68900000,2.00000000,2.57500000,3.50400000,3.68900000,2.00000000,2.57500000,515294852.30000001,515294852.30000001
2021-11-30,2.58100000,4.84500000,2.37400000,3.50100000,2.58100000,4.84500000,2.37400000,3.50100000,1359727648.25000024,1359727648.25000024
2021-10-31,1.30900000,3.50000000,1.29000000,2.58100000,1.30900000,3.50000000,1.29000000,2.58100000,746783268.21000004,746783268.21000004
2021-09-30,2.01900000,2.26200000,1.18600000,1.30800000,2.01900000,2.26200000,1.18600000,1.30800000,375447095.88999999,375447095.88999999
2021-08-31,1.44210000,2.31800000,1.28000000,2.01900000,1.44210000,2.31800000,1.28000000,2.01900000,824536464.88999999,824536464.88999999
2021-07-31,1.16370000,1.53000000,0.92400000,1.44130000,1.16370000,1.53000000,0.92400000,1.44130000,1077662298.19000006,1077662298.19000006
2021-06-30,1.62510000,1.72000000,0.76510000,1.16310000,1.62510000,1.72000000,0.76510000,1.16310000,777705690.77999985,777705690.77999985
2021-05-31,2.76520000,2.82800000,0.73470000,1.62580000,2.76520000,2.82800000,0.73470000,1.62580000,1321924445.72000003,1321924445.72000003
2021-04-30,2.55227000,4.00000000,1.69341000,2.76520000,2.55227000,4.00000000,1.69341000,2.76520000,1663255853.94000006,1663255853.94000006
2021-03-31,0.57542000,3.08459000,0.56264000,2.55048000,0.57542000,3.08459000,0.56264000,2.55048000,4213650880.60000038,4213650880.60000038
2021-02-28,0.34293000,0.67490000,0.31426000,0.57548000,0.34293000,0.67490000,0.31426000,0.57548000,1652681213.00000048,1652681213.00000048
2021-01-31,0.12994000,0.49500000,0.12701000,0.34366000,0.12994000,0.49500000,0.12701000,0.34366000,2780270454.60000038,2780270454.60000038
2020-12-31,0.14881000,0.16673000,0.11523000,0.12977000,0.14881000,0.16673000,0.11523000,0.12977000,445503911.80000001,445503911.80000001
2020-11-30,0.12704000,0.17844000,0.11118000,0.14889000,0.12704000,0.17844000,0.11118000,0.14889000,326222167.10000002,326222167.10000002
2020-10-31,0.16111000,0.17255000,0.12486000,0.12736000,0.16111000,0.17255000,0.12486000,0.12736000,202477832.19999999,202477832.19999999
2020-09-30,0.21422000,0.21508000,0.13757000,0.16054000,0.21422000,0.21508000,0.13757000,0.16054000,257261762.69999999,257261762.69999999
