timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.02200000,1.03900000,0.95800000,0.97200000,1.02200000,1.03900000,0.95800000,0.97200000,52531954.20000000,52531954.20000000
2023-04-30,1.19600000,1.29700000,0.97400000,1.02200000,1.19600000,1.29700000,0.97400000,1.02200000,335141587.09999996,335141587.09999996
2023-03-31,1.14500000,1.34100000,0.95500000,1.19600000,1.14500000,1.34100000,0.95500000,1.19600000,627598315.80000007,627598315.80000007
2023-02-28,1.06300000,1.31200000,0.99800000,1.14600000,1.06300000,1.31200000,0.99800000,1.14600000,421497310.49999994,421497310.49999994
2023-01-31,0.86200000,1.14400000,0.85600000,1.06300000,0.86200000,1.14400000,0.85600000,1.06300000,254096183.69999996,254096183.69999996
2022-12-31,0.95000000,1.06700000,0.83000000,0.86200000,0.95000000,1.06700000,0.83000000,0.86200000,279488220.30000001,279488220.30000001
2022-11-30,1.14900000,1.21900000,0.78800000,0.95100000,1.14900000,1.21900000,0.78800000,0.95100000,351821941.92000008,351821941.92000008
2022-10-31,1.18300000,1.23500000,0.93700000,1.14800000,1.18300000,1.23500000,0.93700000,1.14800000,299842326.19999999,299842326.19999999
2022-09-30,1.37200000,1.86800000,1.10200000,1.18300000,1.37200000,1.86800000,1.10200000,1.18300000,614872262.69999993,614872262.69999993
2022-08-31,1.33200000,1.94800000,1.14800000,1.37300000,1.33200000,1.94800000,1.14800000,1.37300000,759494885.00000000,759494885.00000000
2022-07-31,0.92600000,1.44900000,0.88700000,1.33100000,0.92600000,1.44900000,0.88700000,1.33100000,389101652.99999988,389101652.99999988
2022-06-30,1.38100000,1.40700000,0.81500000,0.92600000,1.38100000,1.40700000,0.81500000,0.92600000,416038879.05999994,416038879.05999994
2022-05-31,2.01300000,2.25100000,1.11000000,1.38000000,2.01300000,2.25100000,1.11000000,1.38000000,638551145.27999985,638551145.27999985
2022-04-30,2.82600000,2.94300000,1.91300000,2.01200000,2.82600000,2.94300000,1.91300000,2.01200000,579230956.20000005,579230956.20000005
2022-03-31,2.28200000,3.22000000,1.87000000,2.82600000,2.28200000,3.22000000,1.87000000,2.82600000,522028426.69999999,522028426.69999999
2022-02-28,2.33700000,2.76800000,1.86000000,2.28200000,2.33700000,2.76800000,1.86000000,2.28200000,393709978.50999993,393709978.50999993
2022-01-31,3.03300000,3.27400000,1.99000000,2.33700000,3.03300000,3.27400000,1.99000000,2.33700000,467990371.37000006,467990371.37000006
2021-12-31,4.00400000,4.16900000,2.39110000,3.03400000,4.00400000,4.16900000,2.39110000,3.03400000,800638066.23000002,800638066.23000002
2021-11-30,4.63700000,5.44000000,3.66000000,4.00400000,4.63700000,5.44000000,3.66000000,4.00400000,639209944.69999993,639209944.69999993
2021-10-31,3.93800000,5.08600000,3.85000000,4.63700000,3.93800000,5.08600000,3.85000000,4.63700000,674450984.60000002,674450984.60000002
2021-09-30,5.03600000,6.42400000,3.63600000,3.93800000,5.03600000,6.42400000,3.63600000,3.93800000,938860179.93999994,938860179.93999994
2021-08-31,4.06760000,5.94000000,3.85020000,5.03700000,4.06760000,5.94000000,3.85020000,5.03700000,795149557.30999994,795149557.30999994
2021-07-31,4.13810000,4.42000000,3.15220000,4.06800000,4.13810000,4.42000000,3.15220000,4.06800000,640800825.64999998,640800825.64999998
2021-06-30,6.63220000,6.76060000,3.03920000,4.13830000,6.63220000,6.76060000,3.03920000,4.13830000,717806052.25999999,717806052.25999999
2021-05-31,6.44990000,14.90000000,3.57100000,6.62970000,6.44990000,14.90000000,3.57100000,6.62970000,2796189061.05000019,2796189061.05000019
2021-04-30,4.80180000,8.84650000,4.47000000,6.44910000,4.80180000,8.84650000,4.47000000,6.44910000,1597454493.79000020,1597454493.79000020
2021-03-31,3.47450000,4.90850000,3.44860000,4.80210000,3.47450000,4.90850000,3.44860000,4.80210000,791740333.03999996,791740333.03999996
2021-02-28,2.92980000,5.60280000,2.89300000,3.47650000,2.92980000,5.60280000,2.89300000,3.47650000,1423262313.01000047,1423262313.01000047
2021-01-31,2.59060000,3.92200000,2.38590000,2.92970000,2.59060000,3.92200000,2.38590000,2.92970000,1196306516.34000015,1196306516.34000015
2020-12-31,3.25990000,3.34000000,1.99640000,2.59110000,3.25990000,3.34000000,1.99640000,2.59110000,569808444.96999991,569808444.96999991
2020-11-30,2.52790000,3.88020000,2.22590000,3.26150000,2.52790000,3.88020000,2.22590000,3.26150000,565481916.80000007,565481916.80000007
2020-10-31,2.57760000,2.97110000,2.40350000,2.52800000,2.57760000,2.97110000,2.40350000,2.52800000,282436811.49999994,282436811.49999994
2020-09-30,3.20810000,3.54970000,2.39070000,2.57770000,3.20810000,3.54970000,2.39070000,2.57770000,452988745.59000009,452988745.59000009
