timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1870.08000000,2019.00000000,1806.12000000,1879.69000000,1870.08000000,2019.00000000,1806.12000000,1879.69000000,3241472.97500000,3241472.97500000
2023-04-30,1821.52000000,2141.54000000,1762.77000000,1870.09000000,1821.52000000,2141.54000000,1762.77000000,1870.09000000,14307106.26080000,14307106.26080000
2023-03-31,1605.24000000,1857.16000000,1368.39000000,1821.52000000,1605.24000000,1857.16000000,1368.39000000,1821.52000000,20803771.43630000,20803771.43630000
2023-02-28,1585.32000000,1742.97000000,1461.93000000,1605.23000000,1585.32000000,1742.97000000,1461.93000000,1605.23000000,13176410.48410000,13176410.48410000
2023-01-31,1196.13000000,1679.26000000,1190.57000000,1585.33000000,1196.13000000,1679.26000000,1190.57000000,1585.33000000,14091007.08280000,14091007.08280000
2022-12-31,1294.46000000,1352.72000000,1150.51000000,1196.13000000,1294.46000000,1352.72000000,1150.51000000,1196.13000000,10466310.27870000,10466310.27870000
2022-11-30,1572.69000000,1680.00000000,1073.53000000,1294.46000000,1572.69000000,1680.00000000,1073.53000000,1294.46000000,23158646.74420000,23158646.74420000
2022-10-31,1328.71000000,1663.06000000,1190.00000000,1572.69000000,1328.71000000,1663.06000000,1190.00000000,1572.69000000,16768090.41410000,16768090.41410000
2022-09-30,1554.11000000,1789.00000000,1220.00000000,1328.72000000,1554.11000000,1789.00000000,1220.00000000,1328.72000000,22545307.09920000,22545307.09920000
2022-08-31,1678.12000000,2030.00000000,1422.08000000,1554.10000000,1678.12000000,2030.00000000,1422.08000000,1554.10000000,26075507.31570001,26075507.31570001
2022-07-31,1071.02000000,1784.79000000,1006.32000000,1678.12000000,1071.02000000,1784.79000000,1006.32000000,1678.12000000,38630369.93046001,38630369.93046001
2022-06-30,1941.90000000,1972.58000000,881.56000000,1071.01000000,1941.90000000,1972.58000000,881.56000000,1071.01000000,40584115.82385000,40584115.82385000
2022-05-31,2726.67000000,2965.85000000,1703.00000000,1941.90000000,2726.67000000,2965.85000000,1703.00000000,1941.90000000,24777431.00913000,24777431.00913000
2022-04-30,3281.51000000,3580.34000000,2709.26000000,2726.66000000,3281.51000000,3580.34000000,2709.26000000,2726.66000000,12949941.31200000,12949941.31200000
2022-03-31,2920.83000000,3481.87000000,2445.00000000,3281.51000000,2920.83000000,3481.87000000,2445.00000000,3281.51000000,14266235.71330000,14266235.71330000
2022-02-28,2686.94000000,3283.66000000,2300.00000000,2920.95000000,2686.94000000,3283.66000000,2300.00000000,2920.95000000,14131677.98022000,14131677.98022000
2022-01-31,3676.22000000,3900.73000000,2159.00000000,2686.94000000,3676.22000000,3900.73000000,2159.00000000,2686.94000000,13966551.02275000,13966551.02275000
2021-12-31,4630.25000000,4778.75000000,3503.68000000,3676.23000000,4630.25000000,4778.75000000,3503.68000000,3676.23000000,12944994.67310000,12944994.67310000
2021-11-30,4287.48000000,4868.00000000,3913.00000000,4630.26000000,4287.48000000,4868.00000000,3913.00000000,4630.26000000,12756119.36968000,12756119.36968000
2021-10-31,3000.62000000,4460.47000000,2969.07000000,4287.21000000,3000.62000000,4460.47000000,2969.07000000,4287.21000000,14410441.89498000,14410441.89498000
2021-09-30,3429.19000000,4027.88000000,2652.00000000,3000.61000000,3429.19000000,4027.88000000,2652.00000000,3000.61000000,17261458.33690999,17261458.33690999
2021-08-31,2531.10000000,3476.00000000,2442.32000000,3429.20000000,2531.10000000,3476.00000000,2442.32000000,3429.20000000,21436438.89134000,21436438.89134000
2021-07-31,2275.68000000,2553.86000000,1706.00000000,2531.05000000,2275.68000000,2553.86000000,1706.00000000,2531.05000000,21263142.44243999,21263142.44243999
2021-06-30,2706.15000000,2891.95000000,1700.48000000,2275.68000000,2706.15000000,2891.95000000,1700.48000000,2275.68000000,27539800.65397999,27539800.65397999
2021-05-31,2772.42000000,4372.72000000,1728.74000000,2706.15000000,2772.42000000,4372.72000000,1728.74000000,2706.15000000,49340730.68019999,49340730.68019999
2021-04-30,1919.37000000,2798.30000000,1885.02000000,2772.42000000,1919.37000000,2798.30000000,1885.02000000,2772.42000000,27220161.75533000,27220161.75533000
2021-03-31,1418.67000000,1947.29000000,1409.91000000,1919.37000000,1418.67000000,1947.29000000,1409.91000000,1919.37000000,23574009.12632000,23574009.12632000
2021-02-28,1312.45000000,2042.34000000,1269.99000000,1419.18000000,1312.45000000,2042.34000000,1269.99000000,1419.18000000,33561918.29258000,33561918.29258000
2021-01-31,736.42000000,1475.00000000,714.29000000,1312.55000000,736.42000000,1475.00000000,714.29000000,1312.55000000,59589754.02553000,59589754.02553000
2020-12-31,616.65000000,758.74000000,530.43000000,736.42000000,616.65000000,758.74000000,530.43000000,736.42000000,30451194.43342000,30451194.43342000
2020-11-30,386.44000000,623.00000000,370.23000000,616.66000000,386.44000000,623.00000000,370.23000000,616.66000000,36426105.33250000,36426105.33250000
2020-10-31,359.83000000,420.73000000,332.18000000,386.46000000,359.83000000,420.73000000,332.18000000,386.46000000,19292775.62694000,19292775.62694000
2020-09-30,433.80000000,488.84000000,308.42000000,359.83000000,433.80000000,488.84000000,308.42000000,359.83000000,34431117.99327000,34431117.99327000
