timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-11-15,26.10000000,26.43000000,1.23000000,1.43220000,26.10000000,26.43000000,1.23000000,1.43220000,689862283.61600006,689862283.61600006
2022-10-31,24.25000000,26.83000000,21.95000000,26.09000000,24.25000000,26.83000000,21.95000000,26.09000000,7342352.53000000,7342352.53000000
2022-09-30,26.72000000,29.23000000,22.37000000,24.25000000,26.72000000,29.23000000,22.37000000,24.25000000,9951420.58000000,9951420.58000000
2022-08-31,30.37000000,32.64000000,25.14000000,26.73000000,30.37000000,32.64000000,25.14000000,26.73000000,8557334.70000000,8557334.70000000
2022-07-31,24.59000000,32.44000000,23.25000000,30.39000000,24.59000000,32.44000000,23.25000000,30.39000000,12289606.99000000,12289606.99000000
2022-06-30,28.96000000,29.32000000,21.03000000,24.59000000,28.96000000,29.32000000,21.03000000,24.59000000,15469088.80800000,15469088.80800000
2022-05-31,37.94000000,39.94000000,26.18000000,28.94000000,37.94000000,39.94000000,26.18000000,28.94000000,14760502.39000000,14760502.39000000
2022-04-30,48.82000000,51.28000000,37.86000000,37.95000000,48.82000000,51.28000000,37.86000000,37.95000000,12286418.96000000,12286418.96000000
2022-03-31,45.96000000,53.28000000,38.52000000,48.83000000,45.96000000,53.28000000,38.52000000,48.83000000,10804328.38000000,10804328.38000000
2022-02-28,43.60000000,50.08000000,37.29000000,45.95000000,43.60000000,50.08000000,37.29000000,45.95000000,15160199.79000000,15160199.79000000
2022-01-31,38.23000000,49.95000000,31.18000000,43.58000000,38.23000000,49.95000000,31.18000000,43.58000000,30190074.55300001,30190074.55300001
2021-12-31,50.67000000,51.65000000,35.96000000,38.25000000,50.67000000,51.65000000,35.96000000,38.25000000,16127789.66800000,16127789.66800000
2021-11-30,59.38000000,65.73000000,46.02000000,50.65000000,59.38000000,65.73000000,46.02000000,50.65000000,29433556.18000000,29433556.18000000
2021-10-31,51.69000000,75.00000000,51.01000000,59.36000000,51.69000000,75.00000000,51.01000000,59.36000000,55334312.36000000,55334312.36000000
2021-09-30,48.49000000,85.74000000,47.12000000,51.68000000,48.49000000,85.74000000,47.12000000,51.68000000,143442289.40300000,143442289.40300000
2021-08-31,35.24100000,54.16000000,34.33500000,48.47000000,35.24100000,54.16000000,34.33500000,48.47000000,59689493.68500002,59689493.68500002
2021-07-31,27.53500000,35.60900000,23.31000000,35.14800000,27.53500000,35.60900000,23.31000000,35.14800000,21119609.57900000,21119609.57900000
2021-06-30,34.00000000,36.84100000,21.91900000,27.48100000,34.00000000,36.84100000,21.91900000,27.48100000,10961253.72900000,10961253.72900000
2021-05-31,54.71900000,63.13000000,22.73400000,34.02600000,54.71900000,63.13000000,22.73400000,34.02600000,17532854.18400000,17532854.18400000
2021-04-30,39.95600000,59.57200000,39.33000000,54.71900000,39.95600000,59.57200000,39.33000000,54.71900000,30632212.80600000,30632212.80600000
2021-03-31,25.92400000,43.47800000,25.83300000,39.90100000,25.92400000,43.47800000,25.83300000,39.90100000,12479384.22900000,12479384.22900000
2021-02-28,11.10100000,36.85300000,10.78800000,25.91500000,11.10100000,36.85300000,10.78800000,25.91500000,20849721.07400000,20849721.07400000
2021-01-31,5.76200000,12.93600000,5.69800000,11.09000000,5.76200000,12.93600000,5.69800000,11.09000000,11448936.91500000,11448936.91500000
2020-12-31,4.69600000,5.83200000,4.04700000,5.75800000,4.69600000,5.83200000,4.04700000,5.75800000,7167387.61400000,7167387.61400000
2020-11-30,3.69600000,4.69000000,3.32900000,4.68100000,3.69600000,4.69000000,3.32900000,4.68100000,8743620.67400000,8743620.67400000
2020-10-31,3.65800000,4.21700000,3.32600000,3.70500000,3.65800000,4.21700000,3.32600000,3.70500000,6908374.67900000,6908374.67900000
2020-09-30,4.20800000,4.51900000,3.16800000,3.65400000,4.20800000,4.51900000,3.16800000,3.65400000,14912502.78600000,14912502.78600000
2020-08-31,3.41700000,4.23700000,3.20500000,4.20800000,3.41700000,4.23700000,3.20500000,4.20800000,14399125.67300000,14399125.67300000
2020-07-31,2.87900000,3.50000000,2.80800000,3.41700000,2.87900000,3.50000000,2.80800000,3.41700000,10311288.29200000,10311288.29200000
2020-06-30,2.93400000,3.17500000,2.73900000,2.89100000,2.93400000,3.17500000,2.73900000,2.89100000,1761165.92900000,1761165.92900000
2020-05-31,3.10000000,3.26600000,2.58700000,2.94700000,3.10000000,3.26600000,2.58700000,2.94700000,3431266.44100000,3431266.44100000
2020-04-30,2.41100000,3.35400000,2.29200000,3.09300000,2.41100000,3.35400000,2.29200000,3.09300000,2870177.94200000,2870177.94200000
2020-03-31,2.57300000,2.81000000,1.76000000,2.40200000,2.57300000,2.81000000,1.76000000,2.40200000,24214737.62300000,24214737.62300000
