timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00580800,0.00583400,0.00541300,0.00549500,0.00580800,0.00583400,0.00541300,0.00549500,168173705.00000000,168173705.00000000
2023-04-30,0.00648600,0.00689400,0.00576600,0.00580500,0.00648600,0.00689400,0.00576600,0.00580500,1048723535.00000000,1048723535.00000000
2023-03-31,0.00699000,0.00719000,0.00608000,0.00648000,0.00699000,0.00719000,0.00608000,0.00648000,1106935476.00000000,1106935476.00000000
2023-02-28,0.00705000,0.00744000,0.00629000,0.00699000,0.00705000,0.00744000,0.00629000,0.00699000,1118790787.00000000,1118790787.00000000
2023-01-31,0.00600000,0.00908000,0.00597000,0.00705000,0.00600000,0.00908000,0.00597000,0.00705000,2529469857.00000000,2529469857.00000000
2022-12-31,0.00673000,0.00945000,0.00596000,0.00600000,0.00673000,0.00945000,0.00596000,0.00600000,1818987417.00000000,1818987417.00000000
2022-11-30,0.00753000,0.00771000,0.00604000,0.00675000,0.00753000,0.00771000,0.00604000,0.00675000,1436448555.00000000,1436448555.00000000
2022-10-31,0.00733000,0.00767000,0.00706000,0.00753000,0.00733000,0.00767000,0.00706000,0.00753000,609208462.00000000,609208462.00000000
2022-09-30,0.00780000,0.00812000,0.00712000,0.00734000,0.00780000,0.00812000,0.00712000,0.00734000,718278035.00000000,718278035.00000000
2022-08-31,0.00827000,0.00995000,0.00757000,0.00780000,0.00827000,0.00995000,0.00757000,0.00780000,1835146621.00000000,1835146621.00000000
2022-07-31,0.00737000,0.00953000,0.00720000,0.00828000,0.00737000,0.00953000,0.00720000,0.00828000,1953906378.00000000,1953906378.00000000
2022-06-30,0.00924000,0.00927000,0.00710000,0.00738000,0.00924000,0.00927000,0.00710000,0.00738000,783347697.00000000,783347697.00000000
2022-05-31,0.01028000,0.01073000,0.00807000,0.00922000,0.01028000,0.01073000,0.00807000,0.00922000,1650259738.00000000,1650259738.00000000
2022-04-30,0.01139000,0.01220000,0.01019000,0.01026000,0.01139000,0.01220000,0.01019000,0.01026000,1822046747.00000000,1822046747.00000000
2022-03-31,0.00964000,0.01330000,0.00957000,0.01136000,0.00964000,0.01330000,0.00957000,0.01136000,3006762994.00000000,3006762994.00000000
2022-02-28,0.00974000,0.01200000,0.00767000,0.00964000,0.00974000,0.01200000,0.00767000,0.00964000,3330158395.00000000,3330158395.00000000
2022-01-31,0.01470000,0.01539000,0.00900000,0.00974000,0.01470000,0.01539000,0.00900000,0.00974000,6586477436.00000000,6586477436.00000000
2021-12-31,0.01930000,0.02053000,0.00977000,0.01471000,0.01930000,0.02053000,0.00977000,0.01471000,7907229504.00000000,7907229504.00000000
2021-11-30,0.01935000,0.02400000,0.01783000,0.01933000,0.01935000,0.02400000,0.01783000,0.01933000,14811780380.00000000,14811780380.00000000
2021-10-31,0.01792000,0.02295000,0.01762000,0.01933000,0.01792000,0.02295000,0.01762000,0.01933000,24736323693.00000000,24736323693.00000000
2021-09-30,0.02953000,0.02996000,0.01720000,0.01790000,0.02953000,0.02996000,0.01720000,0.01790000,27321559239.00000000,27321559239.00000000
2021-08-31,0.01735100,0.03829900,0.01700100,0.02953000,0.01735100,0.03829900,0.01700100,0.02953000,18087417991.00000000,18087417991.00000000
2021-07-31,0.01694400,0.01769200,0.01333600,0.01734100,0.01694400,0.01769200,0.01333600,0.01734100,4740148078.00000000,4740148078.00000000
2021-06-30,0.02275000,0.02695100,0.01526600,0.01696500,0.02275000,0.02695100,0.01526600,0.01696500,5222842231.00000000,5222842231.00000000
2021-05-31,0.03932100,0.05450000,0.01807500,0.02272700,0.03932100,0.05450000,0.01807500,0.02272700,14508870773.00000000,14508870773.00000000
2021-04-30,0.03912200,0.06865500,0.02677800,0.03934400,0.03912200,0.06865500,0.02677800,0.03934400,18171254547.00000000,18171254547.00000000
2021-03-31,0.02688400,0.04290300,0.02504200,0.03911300,0.02688400,0.04290300,0.02504200,0.03911300,5841563756.00000000,5841563756.00000000
2021-02-28,0.02796500,0.05890000,0.02220000,0.02686400,0.02796500,0.05890000,0.02220000,0.02686400,4721530571.00000000,4721530571.00000000
2021-01-31,0.00493100,0.04230000,0.00493000,0.02808100,0.00493100,0.04230000,0.00493000,0.02808100,21076197894.00000000,21076197894.00000000
2020-12-31,0.00416200,0.00630000,0.00326100,0.00496400,0.00416200,0.00630000,0.00326100,0.00496400,2360180218.00000000,2360180218.00000000
2020-11-30,0.00324200,0.00499600,0.00308700,0.00420000,0.00324200,0.00499600,0.00308700,0.00420000,766595450.00000000,766595450.00000000
2020-10-31,0.00306400,0.00404000,0.00268400,0.00318800,0.00306400,0.00404000,0.00268400,0.00318800,472086189.00000000,472086189.00000000
2020-09-30,0.00499600,0.00535000,0.00280600,0.00306000,0.00499600,0.00535000,0.00280600,0.00306000,649892371.00000000,649892371.00000000
