timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,107.60000000,122.90000000,102.90000000,116.80000000,107.60000000,122.90000000,102.90000000,116.80000000,13354.13600000,13354.13600000
2023-04-30,113.90000000,146.60000000,104.00000000,107.70000000,113.90000000,146.60000000,104.00000000,107.70000000,29438.85900000,29438.85900000
2023-03-31,105.80000000,122.10000000,91.70000000,113.80000000,105.80000000,122.10000000,91.70000000,113.80000000,47561.18700000,47561.18700000
2023-02-28,113.90000000,125.00000000,101.60000000,106.00000000,113.90000000,125.00000000,101.60000000,106.00000000,51455.16500000,51455.16500000
2023-01-31,83.10000000,121.80000000,82.40000000,114.20000000,83.10000000,121.80000000,82.40000000,114.20000000,57015.51200000,57015.51200000
2022-12-31,91.80000000,124.00000000,81.10000000,83.20000000,91.80000000,124.00000000,81.10000000,83.20000000,67916.31200000,67916.31200000
2022-11-30,127.00000000,131.00000000,76.40000000,91.70000000,127.00000000,131.00000000,76.40000000,91.70000000,66745.27300000,66745.27300000
2022-10-31,120.10000000,134.90000000,102.30000000,127.20000000,120.10000000,134.90000000,102.30000000,127.20000000,41057.58100000,41057.58100000
2022-09-30,154.30000000,176.80000000,115.50000000,120.00000000,154.30000000,176.80000000,115.50000000,120.00000000,60299.47100000,60299.47100000
2022-08-31,160.90000000,205.50000000,146.00000000,154.90000000,160.90000000,205.50000000,146.00000000,154.90000000,76854.86900000,76854.86900000
2022-07-31,110.00000000,194.70000000,101.00000000,160.90000000,110.00000000,194.70000000,101.00000000,160.90000000,107487.27900000,107487.27900000
2022-06-30,204.70000000,205.90000000,95.00000000,111.60000000,204.70000000,205.90000000,95.00000000,111.60000000,78225.33400000,78225.33400000
2022-05-31,308.10000000,321.30000000,181.70000000,205.40000000,308.10000000,321.30000000,181.70000000,205.40000000,31908.76900000,31908.76900000
2022-04-30,421.90000000,443.00000000,306.50000000,308.50000000,421.90000000,443.00000000,306.50000000,308.50000000,43439.14200000,43439.14200000
2022-03-31,349.50000000,573.50000000,280.00000000,421.30000000,349.50000000,573.50000000,280.00000000,421.30000000,144964.18600000,144964.18600000
2022-02-28,286.40000000,393.50000000,275.00000000,348.50000000,286.40000000,393.50000000,275.00000000,348.50000000,39707.81900000,39707.81900000
2022-01-31,531.20000000,541.60000000,219.10000000,286.50000000,531.20000000,541.60000000,219.10000000,286.50000000,90626.94900000,90626.94900000
2021-12-31,466.20000000,598.00000000,348.90000000,530.50000000,466.20000000,598.00000000,348.90000000,530.50000000,108709.00100000,108709.00100000
2021-11-30,447.70000000,655.00000000,376.00000000,465.00000000,447.70000000,655.00000000,376.00000000,465.00000000,88177.43500000,88177.43500000
2021-10-31,249.70000000,489.00000000,248.60000000,447.80000000,249.70000000,489.00000000,248.60000000,447.80000000,87393.30100000,87393.30100000
2021-09-30,282.20000000,343.00000000,219.20000000,249.80000000,282.20000000,343.00000000,219.20000000,249.80000000,164708.57400000,164708.57400000
