timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.13550000,0.13800000,0.12320000,0.12660000,0.13550000,0.13800000,0.12320000,0.12660000,297307326.00000000,297307326.00000000
2023-04-30,0.14530000,0.17530000,0.13020000,0.13550000,0.14530000,0.17530000,0.13020000,0.13550000,2588822433.00000000,2588822433.00000000
2023-03-31,0.15260000,0.17500000,0.10510000,0.14530000,0.15260000,0.17500000,0.10510000,0.14530000,4897562506.00000000,4897562506.00000000
2023-02-28,0.08880000,0.23220000,0.08330000,0.15260000,0.08880000,0.23220000,0.08330000,0.15260000,8683957020.00000000,8683957020.00000000
2023-01-31,0.05550000,0.09780000,0.05510000,0.08870000,0.05550000,0.09780000,0.05510000,0.08870000,3520620173.00000000,3520620173.00000000
2022-12-31,0.06470000,0.07560000,0.05370000,0.05540000,0.06470000,0.07560000,0.05370000,0.05540000,1997587807.00000000,1997587807.00000000
2022-11-30,0.08430000,0.10450000,0.05170000,0.06460000,0.08430000,0.10450000,0.05170000,0.06460000,3222070162.00000000,3222070162.00000000
2022-10-31,0.09860000,0.10400000,0.07470000,0.08430000,0.09860000,0.10400000,0.07470000,0.08430000,1362075988.00000000,1362075988.00000000
2022-09-30,0.10250000,0.13450000,0.09060000,0.09870000,0.10250000,0.13450000,0.09060000,0.09870000,1691590564.00000000,1691590564.00000000
2022-08-31,0.12810000,0.15820000,0.09740000,0.10260000,0.12810000,0.15820000,0.09740000,0.10260000,2581901498.00000000,2581901498.00000000
2022-07-31,0.09550000,0.14610000,0.08480000,0.12810000,0.09550000,0.14610000,0.08480000,0.12810000,2742189371.00000000,2742189371.00000000
2022-06-30,0.16350000,0.17510000,0.08900000,0.09550000,0.16350000,0.17510000,0.08900000,0.09550000,2797240645.63000011,2797240645.63000011
2022-05-31,0.30650000,0.34780000,0.11800000,0.16360000,0.30650000,0.34780000,0.11800000,0.16360000,3614313345.38999987,3614313345.38999987
2022-04-30,0.46980000,0.55070000,0.29000000,0.30660000,0.46980000,0.55070000,0.29000000,0.30660000,2149303292.76000023,2149303292.76000023
2022-03-31,0.37710000,0.52640000,0.31430000,0.46960000,0.37710000,0.52640000,0.31430000,0.46960000,2399090839.00000000,2399090839.00000000
2022-02-28,0.40880000,0.53040000,0.30230000,0.37720000,0.40880000,0.53040000,0.30230000,0.37720000,1277312761.00000000,1277312761.00000000
2022-01-31,0.64250000,0.73170000,0.34380000,0.40860000,0.64250000,0.73170000,0.34380000,0.40860000,1418288410.86999989,1418288410.86999989
2021-12-31,0.92270000,0.96260000,0.53710000,0.64190000,0.92270000,0.96260000,0.53710000,0.64190000,1576194906.98000002,1576194906.98000002
2021-11-30,1.04500000,1.33560000,0.83500000,0.92270000,1.04500000,1.33560000,0.83500000,0.92270000,2286219153.01999998,2286219153.01999998
2021-10-31,0.64610000,1.19240000,0.64330000,1.04500000,0.64610000,1.19240000,0.64330000,1.04500000,2042146732.07999992,2042146732.07999992
2021-09-30,0.85620000,1.07700000,0.61930000,0.64590000,0.85620000,1.07700000,0.61930000,0.64590000,1682493600.03999996,1682493600.03999996
2021-08-31,0.62610000,1.09330000,0.61730000,0.85610000,0.62610000,1.09330000,0.61730000,0.85610000,2188644170.59999943,2188644170.59999943
2021-07-31,0.59170000,0.80000000,0.47400000,0.62620000,0.59170000,0.80000000,0.47400000,0.62620000,1246290383.61000013,1246290383.61000013
2021-06-30,0.79370000,0.97000000,0.42870000,0.59140000,0.79370000,0.97000000,0.42870000,0.59140000,1153839463.63000011,1153839463.63000011
2021-05-31,1.55910000,1.73000000,0.50000000,0.79330000,1.55910000,1.73000000,0.50000000,0.79330000,1479067191.92999983,1479067191.92999983
2021-04-30,1.71923000,2.19799000,1.11000000,1.55940000,1.71923000,2.19799000,1.11000000,1.55940000,1320783915.93000007,1320783915.93000007
2021-03-31,1.59101000,2.23000000,1.31101000,1.71923000,1.59101000,2.23000000,1.31101000,1.71923000,1269441238.89999986,1269441238.89999986
2021-02-28,0.79450000,2.88073000,0.72312000,1.58900000,0.79450000,2.88073000,0.72312000,1.58900000,3187865251.29999971,3187865251.29999971
2021-01-31,0.35046000,0.86500000,0.23310000,0.79448000,0.35046000,0.86500000,0.23310000,0.79448000,4936408066.30000019,4936408066.30000019
