timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.67500000,1.91500000,1.49100000,1.54000000,1.67500000,1.91500000,1.49100000,1.54000000,14597560.70000000,14597560.70000000
2023-04-30,1.86200000,1.95600000,1.50000000,1.67600000,1.86200000,1.95600000,1.50000000,1.67600000,33561452.59999999,33561452.59999999
2023-03-31,2.31200000,2.72000000,1.41800000,1.86200000,2.31200000,2.72000000,1.41800000,1.86200000,104252040.70000000,104252040.70000000
2023-02-28,1.91700000,2.58700000,1.61900000,2.31300000,1.91700000,2.58700000,1.61900000,2.31300000,88208139.40000004,88208139.40000004
2023-01-31,1.29700000,2.04700000,1.25700000,1.91700000,1.29700000,2.04700000,1.25700000,1.91700000,43104652.70000000,43104652.70000000
2022-12-31,1.87900000,2.02700000,1.21300000,1.29700000,1.87900000,2.02700000,1.21300000,1.29700000,23877802.70000000,23877802.70000000
2022-11-30,1.81200000,3.36000000,1.40000000,1.87800000,1.81200000,3.36000000,1.40000000,1.87800000,119808370.59999999,119808370.59999999
2022-10-31,1.81400000,2.23900000,1.45000000,1.81100000,1.81400000,2.23900000,1.45000000,1.81100000,36608739.20000000,36608739.20000000
2022-09-30,2.14300000,2.46100000,1.69600000,1.81400000,2.14300000,2.46100000,1.69600000,1.81400000,34116002.70000000,34116002.70000000
2022-08-31,3.19600000,3.40600000,1.93700000,2.14300000,3.19600000,3.40600000,1.93700000,2.14300000,44676579.30000000,44676579.30000000
2022-07-31,2.95200000,3.44000000,1.99700000,3.19700000,2.95200000,3.44000000,1.99700000,3.19700000,38341850.20000000,38341850.20000000
2022-06-30,3.46000000,3.65500000,1.96100000,2.95400000,3.46000000,3.65500000,1.96100000,2.95400000,55775107.70000000,55775107.70000000
2022-05-31,4.49800000,5.41200000,1.69300000,3.46600000,4.49800000,5.41200000,1.69300000,3.46600000,51612395.09999999,51612395.09999999
2022-04-30,7.30700000,8.75200000,4.22100000,4.50100000,7.30700000,8.75200000,4.22100000,4.50100000,19800011.70000000,19800011.70000000
2022-03-31,6.78800000,8.19800000,5.16200000,7.31300000,6.78800000,8.19800000,5.16200000,7.31300000,27059823.20000000,27059823.20000000
2022-02-28,7.32600000,9.73500000,4.91000000,6.79100000,7.32600000,9.73500000,4.91000000,6.79100000,24045550.55000000,24045550.55000000
2022-01-31,12.69800000,16.09100000,5.85300000,7.33600000,12.69800000,16.09100000,5.85300000,7.33600000,42457979.49999999,42457979.49999999
2021-12-31,17.25800000,19.50000000,8.36300000,12.67100000,17.25800000,19.50000000,8.36300000,12.67100000,82578355.10000001,82578355.10000001
2021-11-30,8.52900000,29.04300000,7.11600000,17.28600000,8.52900000,29.04300000,7.11600000,17.28600000,76600411.90000001,76600411.90000001
2021-10-31,6.94300000,12.26400000,6.80600000,8.51800000,6.94300000,12.26400000,6.80600000,8.51800000,38376418.80000000,38376418.80000000
2021-09-30,11.78000000,13.22200000,6.17200000,6.94500000,11.78000000,13.22200000,6.17200000,6.94500000,24641043.60000000,24641043.60000000
2021-08-31,7.18000000,15.50000000,7.14000000,11.78000000,7.18000000,15.50000000,7.14000000,11.78000000,48962841.50000001,48962841.50000001
2021-07-31,7.76000000,7.91000000,4.79000000,7.17000000,7.76000000,7.91000000,4.79000000,7.17000000,29598720.34000000,29598720.34000000
