timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-04-25,1.54210000,2.96770000,1.49890000,1.79230000,1.54210000,2.96770000,1.49890000,1.79230000,307973592.00000000,307973592.00000000
2022-03-31,1.51230000,2.03000000,1.49790000,1.54270000,1.51230000,2.03000000,1.49790000,1.54270000,127139606.00000000,127139606.00000000
2022-02-28,1.56590000,2.01270000,1.20100000,1.51170000,1.56590000,2.01270000,1.20100000,1.51170000,145594510.00000000,145594510.00000000
2022-01-31,1.94610000,2.72390000,1.13380000,1.56580000,1.94610000,2.72390000,1.13380000,1.56580000,425679542.00000000,425679542.00000000
2021-12-31,0.60790000,5.70310000,0.60000000,1.94820000,0.60790000,5.70310000,0.60000000,1.94820000,1825200421.98000002,1825200421.98000002
2021-11-30,0.65640000,0.76000000,0.53230000,0.60800000,0.65640000,0.76000000,0.53230000,0.60800000,71994382.00000000,71994382.00000000
2021-10-31,0.51900000,0.86800000,0.50860000,0.65670000,0.51900000,0.86800000,0.50860000,0.65670000,153253890.00000000,153253890.00000000
2021-09-30,0.72760000,0.83300000,0.48800000,0.51900000,0.72760000,0.83300000,0.48800000,0.51900000,87103268.43000001,87103268.43000001
2021-08-31,0.49180000,0.89000000,0.45050000,0.72760000,0.49180000,0.89000000,0.45050000,0.72760000,309830579.82999992,309830579.82999992
2021-07-31,0.46570000,0.56000000,0.37150000,0.49120000,0.46570000,0.56000000,0.37150000,0.49120000,112675803.69999999,112675803.69999999
2021-06-30,0.83460000,1.25000000,0.38890000,0.46580000,0.83460000,1.25000000,0.38890000,0.46580000,328271080.39000005,328271080.39000005
2021-05-31,1.02410000,1.97500000,0.47000000,0.83220000,1.02410000,1.97500000,0.47000000,0.83220000,559054850.16999996,559054850.16999996
2021-04-30,1.07440000,1.38410000,0.60120000,1.02400000,1.07440000,1.38410000,0.60120000,1.02400000,162532160.19999996,162532160.19999996
2021-03-31,0.50430000,1.15160000,0.48360000,1.07490000,0.50430000,1.15160000,0.48360000,1.07490000,96222974.19999997,96222974.19999997
2021-02-28,0.38500000,0.85850000,0.36690000,0.50410000,0.38500000,0.85850000,0.36690000,0.50410000,87513984.79000002,87513984.79000002
2021-01-31,0.29850000,0.46000000,0.26560000,0.38670000,0.29850000,0.46000000,0.26560000,0.38670000,29092345.23999999,29092345.23999999
2020-12-31,0.39710000,0.44000000,0.27820000,0.29850000,0.39710000,0.44000000,0.27820000,0.29850000,12853081.21000000,12853081.21000000
2020-11-30,0.36200000,0.48120000,0.31170000,0.39700000,0.36200000,0.48120000,0.31170000,0.39700000,15274950.43000000,15274950.43000000
2020-10-31,0.46440000,0.47460000,0.34740000,0.36190000,0.46440000,0.47460000,0.34740000,0.36190000,10900466.23000000,10900466.23000000
2020-09-30,0.71510000,0.78150000,0.43440000,0.46360000,0.71510000,0.78150000,0.43440000,0.46360000,17084424.14000000,17084424.14000000
2020-08-31,0.51610000,1.00990000,0.48550000,0.71510000,0.51610000,1.00990000,0.48550000,0.71510000,42244485.68000000,42244485.68000000
2020-07-31,0.48020000,0.55970000,0.47760000,0.51620000,0.48020000,0.55970000,0.47760000,0.51620000,7880903.75000000,7880903.75000000
2020-06-30,0.51740000,0.78140000,0.38280000,0.48300000,0.51740000,0.78140000,0.38280000,0.48300000,8421330.18000000,8421330.18000000
