timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.29110000,0.29390000,0.26490000,0.26700000,0.29110000,0.29390000,0.26490000,0.26700000,80202237.39999999,80202237.39999999
2023-04-30,0.22650000,0.48870000,0.22460000,0.29080000,0.22650000,0.48870000,0.22460000,0.29080000,1950980792.30000019,1950980792.30000019
2023-03-31,0.24650000,0.26610000,0.17550000,0.22640000,0.24650000,0.26610000,0.17550000,0.22640000,296611011.10000002,296611011.10000002
2023-02-28,0.20500000,0.27990000,0.19960000,0.24650000,0.20500000,0.27990000,0.19960000,0.24650000,337090017.89999998,337090017.89999998
2023-01-31,0.14120000,0.29980000,0.13990000,0.20500000,0.14120000,0.29980000,0.13990000,0.20500000,367444902.29999995,367444902.29999995
2022-12-31,0.20300000,0.21030000,0.13810000,0.14130000,0.20300000,0.21030000,0.13810000,0.14130000,183902970.79999998,183902970.79999998
2022-11-30,0.23360000,0.24750000,0.14060000,0.20330000,0.23360000,0.24750000,0.14060000,0.20330000,329370904.15999997,329370904.15999997
2022-10-31,0.23710000,0.24770000,0.20130000,0.23350000,0.23710000,0.24770000,0.20130000,0.23350000,155150855.71999997,155150855.71999997
2022-09-30,0.27200000,0.29710000,0.22610000,0.23710000,0.27200000,0.29710000,0.22610000,0.23710000,200951238.70000005,200951238.70000005
2022-08-31,0.31700000,0.38700000,0.25800000,0.27200000,0.31700000,0.38700000,0.25800000,0.27200000,136116442.89999998,136116442.89999998
2022-07-31,0.27900000,0.33500000,0.24900000,0.31700000,0.27900000,0.33500000,0.24900000,0.31700000,161580019.60000002,161580019.60000002
2022-06-30,0.40100000,0.43100000,0.22800000,0.27900000,0.40100000,0.43100000,0.22800000,0.27900000,233036222.10000005,233036222.10000005
2022-05-31,0.61000000,0.72600000,0.28700000,0.40000000,0.61000000,0.72600000,0.28700000,0.40000000,260313726.37000006,260313726.37000006
2022-04-30,1.00400000,1.12000000,0.58700000,0.60900000,1.00400000,1.12000000,0.58700000,0.60900000,211676742.69999999,211676742.69999999
2022-03-31,0.70600000,1.09500000,0.58200000,1.00400000,0.70600000,1.09500000,0.58200000,1.00400000,491155400.40000004,491155400.40000004
2022-02-28,0.75300000,0.92000000,0.53900000,0.70600000,0.75300000,0.92000000,0.53900000,0.70600000,207120267.06000000,207120267.06000000
2022-01-31,1.22200000,1.27500000,0.58900000,0.75300000,1.22200000,1.27500000,0.58900000,0.75300000,294047359.07999998,294047359.07999998
2021-12-31,1.74800000,1.97400000,1.06000000,1.22300000,1.74800000,1.97400000,1.06000000,1.22300000,354113790.69999999,354113790.69999999
2021-11-30,2.33300000,2.71900000,1.59300000,1.74900000,2.33300000,2.71900000,1.59300000,1.74900000,288576825.20999998,288576825.20999998
2021-10-31,1.53000000,2.55000000,1.52200000,2.33600000,1.53000000,2.55000000,1.52200000,2.33600000,288165761.67000002,288165761.67000002
2021-09-30,1.32600000,2.28400000,1.16500000,1.53000000,1.32600000,2.28400000,1.16500000,1.53000000,429700140.31000012,429700140.31000012
2021-08-31,1.00190000,1.61000000,0.94370000,1.32700000,1.00190000,1.61000000,0.94370000,1.32700000,332019332.27999997,332019332.27999997
2021-07-31,0.83660000,1.07180000,0.65000000,1.00240000,0.83660000,1.07180000,0.65000000,1.00240000,298513871.63999993,298513871.63999993
2021-06-30,1.13410000,1.34270000,0.63200000,0.83650000,1.13410000,1.34270000,0.63200000,0.83650000,388087837.90999997,388087837.90999997
2021-05-31,2.59810000,3.09590000,0.79730000,1.13410000,2.59810000,3.09590000,0.79730000,1.13410000,534007124.19000012,534007124.19000012
2021-04-30,3.03090000,3.05310000,1.52280000,2.59990000,3.03090000,3.05310000,1.52280000,2.59990000,428600166.06000006,428600166.06000006
2021-03-31,1.39580000,3.20000000,1.38320000,3.03080000,1.39580000,3.20000000,1.38320000,3.03080000,505304636.44000006,505304636.44000006
2021-02-28,0.71970000,2.47990000,0.68630000,1.39190000,0.71970000,2.47990000,0.68630000,1.39190000,799873364.65000010,799873364.65000010
2021-01-31,0.46700000,0.93990000,0.42500000,0.72020000,0.46700000,0.93990000,0.42500000,0.72020000,621704024.19999969,621704024.19999969
2020-12-31,0.44050000,0.49820000,0.32170000,0.46650000,0.44050000,0.49820000,0.32170000,0.46650000,260964683.19999996,260964683.19999996
2020-11-30,0.31750000,0.54310000,0.29430000,0.43940000,0.31750000,0.54310000,0.29430000,0.43940000,229161450.39999998,229161450.39999998
2020-10-31,0.42060000,0.45000000,0.30670000,0.31810000,0.42060000,0.45000000,0.30670000,0.31810000,155966912.91000003,155966912.91000003
2020-09-30,0.59550000,0.61690000,0.36780000,0.42060000,0.59550000,0.61690000,0.36780000,0.42060000,209019695.45999998,209019695.45999998
