timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.01048000,0.01065000,0.00997000,0.01005000,0.01048000,0.01065000,0.00997000,0.01005000,659044812.00000000,659044812.00000000
2023-04-30,0.01069000,0.01347000,0.00985000,0.01048000,0.01069000,0.01347000,0.00985000,0.01048000,8838067134.00000000,8838067134.00000000
2023-03-31,0.01117000,0.01298000,0.00847000,0.01068000,0.01117000,0.01298000,0.00847000,0.01068000,9118287527.00000000,9118287527.00000000
2023-02-28,0.00948000,0.01600000,0.00912000,0.01115000,0.00948000,0.01600000,0.00912000,0.01115000,12217639961.00000000,12217639961.00000000
2023-01-31,0.00674000,0.01076000,0.00666000,0.00947000,0.00674000,0.01076000,0.00666000,0.00947000,4795312039.00000000,4795312039.00000000
2022-12-31,0.00866000,0.00886000,0.00643000,0.00673000,0.00866000,0.00886000,0.00643000,0.00673000,3220340060.00000000,3220340060.00000000
2022-11-30,0.01138000,0.01220000,0.00766000,0.00866000,0.01138000,0.01220000,0.00766000,0.00866000,6514694141.00000000,6514694141.00000000
2022-10-31,0.01177000,0.01211000,0.01067000,0.01138000,0.01177000,0.01211000,0.01067000,0.01138000,3221395066.00000000,3221395066.00000000
2022-09-30,0.01300000,0.01445000,0.01139000,0.01178000,0.01300000,0.01445000,0.01139000,0.01178000,4936243532.00000000,4936243532.00000000
2022-08-31,0.01471000,0.01716000,0.01257000,0.01299000,0.01471000,0.01716000,0.01257000,0.01299000,8312754572.00000000,8312754572.00000000
2022-07-31,0.01337000,0.01646000,0.01218000,0.01472000,0.01337000,0.01646000,0.01218000,0.01472000,8152720913.00000000,8152720913.00000000
2022-06-30,0.01813000,0.01948000,0.01179000,0.01337000,0.01813000,0.01948000,0.01179000,0.01337000,9986714394.00000000,9986714394.00000000
2022-05-31,0.02204000,0.02618000,0.01407000,0.01814000,0.02204000,0.02618000,0.01407000,0.01814000,18224309014.00000000,18224309014.00000000
2022-04-30,0.04214000,0.04719000,0.02131000,0.02206000,0.04214000,0.04719000,0.02131000,0.02206000,26868642114.00000000,26868642114.00000000
2022-03-31,0.02616000,0.05451000,0.02101000,0.04211000,0.02616000,0.05451000,0.02101000,0.04211000,24697823541.00000000,24697823541.00000000
2022-02-28,0.02625000,0.03120000,0.01944000,0.02615000,0.02625000,0.03120000,0.01944000,0.02615000,6691819783.00000000,6691819783.00000000
2022-01-31,0.03127000,0.03499000,0.01887000,0.02624000,0.03127000,0.03499000,0.01887000,0.02624000,8213335231.00000000,8213335231.00000000
2021-12-31,0.04001000,0.04212000,0.02300000,0.03131000,0.04001000,0.04212000,0.02300000,0.03131000,10670298112.00000000,10670298112.00000000
2021-11-30,0.04970000,0.05760000,0.03509000,0.03996000,0.04970000,0.05760000,0.03509000,0.03996000,17343622050.00000000,17343622050.00000000
2021-10-31,0.05462000,0.06343000,0.04013000,0.04966000,0.05462000,0.06343000,0.04013000,0.04966000,17634197627.00000000,17634197627.00000000
2021-09-30,0.04220000,0.08650000,0.04075000,0.05465000,0.04220000,0.08650000,0.04075000,0.05465000,40124424923.00000000,40124424923.00000000
2021-08-31,0.02737000,0.04818400,0.02368600,0.04221000,0.02737000,0.04818400,0.02368600,0.04221000,25588681026.00000000,25588681026.00000000
2021-07-31,0.02245500,0.02818400,0.01614300,0.02740000,0.02245500,0.02818400,0.01614300,0.02740000,18710905054.00000000,18710905054.00000000
2021-06-30,0.03253600,0.03723300,0.01427200,0.02245100,0.03253600,0.03723300,0.01427200,0.02245100,18701536837.00000000,18701536837.00000000
2021-05-31,0.06912400,0.07642000,0.02000000,0.03260200,0.06912400,0.07642000,0.02000000,0.03260200,35140380301.00000000,35140380301.00000000
2021-04-30,0.05320000,0.09125400,0.03710000,0.06911400,0.05320000,0.09125400,0.03710000,0.06911400,53682474475.00000000,53682474475.00000000
2021-03-31,0.03505400,0.06660300,0.03445600,0.05316300,0.03505400,0.06660300,0.03445600,0.05316300,37385201405.00000000,37385201405.00000000
2021-02-28,0.01572900,0.06990300,0.01510100,0.03504800,0.01572900,0.06990300,0.01510100,0.03504800,74714070883.00000000,74714070883.00000000
2021-01-31,0.00567700,0.02688000,0.00519300,0.01575500,0.00567700,0.02688000,0.00519300,0.01575500,102719591946.00000000,102719591946.00000000
2020-12-31,0.00620700,0.00690000,0.00469600,0.00567300,0.00620700,0.00690000,0.00469600,0.00567300,23765244673.00000000,23765244673.00000000
2020-11-30,0.00485100,0.00695800,0.00380000,0.00620700,0.00485100,0.00695800,0.00380000,0.00620700,24831354041.00000000,24831354041.00000000
2020-10-31,0.00592800,0.00619300,0.00463700,0.00485500,0.00592800,0.00619300,0.00463700,0.00485500,26742497837.00000000,26742497837.00000000
2020-09-30,0.00710900,0.00906000,0.00448500,0.00592300,0.00710900,0.00906000,0.00448500,0.00592300,74098052333.00000000,74098052333.00000000
