timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.19710000,0.20070000,0.18980000,0.19240000,0.19710000,0.20070000,0.18980000,0.19240000,52301968.00000000,52301968.00000000
2023-04-30,0.21680000,0.23900000,0.18770000,0.19720000,0.21680000,0.23900000,0.18770000,0.19720000,371943547.00000000,371943547.00000000
2023-03-31,0.24000000,0.25150000,0.17680000,0.21680000,0.24000000,0.25150000,0.17680000,0.21680000,402803587.00000000,402803587.00000000
2023-02-28,0.22700000,0.27460000,0.21520000,0.23970000,0.22700000,0.27460000,0.21520000,0.23970000,416657882.00000000,416657882.00000000
2023-01-31,0.16900000,0.25000000,0.16780000,0.22700000,0.16900000,0.25000000,0.16780000,0.22700000,393153570.00000000,393153570.00000000
2022-12-31,0.21610000,0.21870000,0.15590000,0.16880000,0.21610000,0.21870000,0.15590000,0.16880000,307770956.47000003,307770956.47000003
2022-11-30,0.25830000,0.27880000,0.19380000,0.21610000,0.25830000,0.27880000,0.19380000,0.21610000,384725888.00000000,384725888.00000000
2022-10-31,0.28770000,0.29840000,0.23530000,0.25820000,0.28770000,0.29840000,0.23530000,0.25820000,217112883.00000000,217112883.00000000
2022-09-30,0.28100000,0.32940000,0.24460000,0.28760000,0.28100000,0.32940000,0.24460000,0.28760000,417588348.00000000,417588348.00000000
2022-08-31,0.31750000,0.37130000,0.26950000,0.28090000,0.31750000,0.37130000,0.26950000,0.28090000,325179583.00000000,325179583.00000000
2022-07-31,0.26930000,0.33650000,0.24690000,0.31750000,0.26930000,0.33650000,0.24690000,0.31750000,368024139.00000000,368024139.00000000
2022-06-30,0.35290000,0.38690000,0.23100000,0.26950000,0.35290000,0.38690000,0.23100000,0.26950000,408990391.00000000,408990391.00000000
2022-05-31,0.52900000,0.56100000,0.23540000,0.35280000,0.52900000,0.56100000,0.23540000,0.35280000,862544294.43000007,862544294.43000007
2022-04-30,0.85260000,0.92900000,0.51210000,0.52910000,0.85260000,0.92900000,0.51210000,0.52910000,364191366.75999999,364191366.75999999
2022-03-31,0.79670000,0.94880000,0.66870000,0.85230000,0.79670000,0.94880000,0.66870000,0.85230000,362060272.00000000,362060272.00000000
2022-02-28,0.83420000,1.05310000,0.61860000,0.79670000,0.83420000,1.05310000,0.61860000,0.79670000,355318017.06000000,355318017.06000000
2022-01-31,1.36570000,1.43090000,0.69430000,0.83380000,1.36570000,1.43090000,0.69430000,0.83380000,506218052.37000000,506218052.37000000
2021-12-31,1.45160000,1.55480000,0.99650000,1.36580000,1.45160000,1.55480000,0.99650000,1.36580000,743996253.00000000,743996253.00000000
2021-11-30,1.48090000,1.66660000,1.12600000,1.45140000,1.48090000,1.66660000,1.12600000,1.45140000,958035408.00000000,958035408.00000000
2021-10-31,1.15220000,1.62000000,1.08000000,1.47950000,1.15220000,1.62000000,1.08000000,1.47950000,932556186.00000000,932556186.00000000
2021-09-30,0.98920000,2.08000000,0.96090000,1.15220000,0.98920000,2.08000000,0.96090000,1.15220000,1453935494.04000020,1453935494.04000020
2021-08-31,0.93080000,1.22400000,0.82380000,0.98910000,0.93080000,1.22400000,0.82380000,0.98910000,629907324.42999983,629907324.42999983
2021-07-31,0.86840000,0.93750000,0.57380000,0.93180000,0.86840000,0.93750000,0.57380000,0.93180000,452431773.76000005,452431773.76000005
2021-06-30,1.11560000,1.48000000,0.62000000,0.86760000,1.11560000,1.48000000,0.62000000,0.86760000,651850293.19000018,651850293.19000018
2021-05-31,2.15120000,2.39000000,0.67380000,1.11470000,2.15120000,2.39000000,0.67380000,1.11470000,1248578441.13999987,1248578441.13999987
2021-04-30,1.53810000,2.67730000,1.45000000,2.15120000,1.53810000,2.67730000,1.45000000,2.15120000,1204278643.62999988,1204278643.62999988
2021-03-31,1.12380000,1.77730000,1.11740000,1.53810000,1.12380000,1.77730000,1.11740000,1.53810000,1002592853.42999995,1002592853.42999995
2021-02-28,0.40760000,1.59990000,0.39210000,1.12470000,0.40760000,1.59990000,0.39210000,1.12470000,1829830280.19000006,1829830280.19000006
2021-01-31,0.29650000,0.51200000,0.27700000,0.40790000,0.29650000,0.51200000,0.27700000,0.40790000,1024281721.99999976,1024281721.99999976
2020-12-31,0.35240000,0.36080000,0.25090000,0.29640000,0.35240000,0.36080000,0.25090000,0.29640000,457874757.24000007,457874757.24000007
2020-11-30,0.25370000,0.42600000,0.22550000,0.35230000,0.25370000,0.42600000,0.22550000,0.35230000,579854463.53000021,579854463.53000021
2020-10-31,0.28340000,0.30330000,0.24300000,0.25390000,0.28340000,0.30330000,0.24300000,0.25390000,193346009.78999999,193346009.78999999
2020-09-30,0.36120000,0.37740000,0.22760000,0.28330000,0.36120000,0.37740000,0.22760000,0.28330000,263008090.46999997,263008090.46999997
