timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.02468000,0.02680000,0.02283000,0.02353000,0.02468000,0.02680000,0.02283000,0.02353000,747164281.00000000,747164281.00000000
2023-04-30,0.02669000,0.03203000,0.02273000,0.02467000,0.02669000,0.03203000,0.02273000,0.02467000,5591551006.00000000,5591551006.00000000
2023-03-31,0.02712000,0.02809000,0.02075000,0.02669000,0.02712000,0.02809000,0.02075000,0.02669000,4657658602.00000000,4657658602.00000000
2023-02-28,0.02869000,0.03567000,0.02689000,0.02711000,0.02869000,0.03567000,0.02689000,0.02711000,4818170645.00000000,4818170645.00000000
2023-01-31,0.02097000,0.03241000,0.02057000,0.02868000,0.02097000,0.03241000,0.02057000,0.02868000,3135335371.00000000,3135335371.00000000
2022-12-31,0.02321000,0.02417000,0.01866000,0.02097000,0.02321000,0.02417000,0.01866000,0.02097000,914181186.00000000,914181186.00000000
2022-11-30,0.02834000,0.03800000,0.01539000,0.02321000,0.02834000,0.03800000,0.01539000,0.02321000,3548218465.00000000,3548218465.00000000
2022-10-31,0.02879000,0.02991000,0.02482000,0.02832000,0.02879000,0.02991000,0.02482000,0.02832000,1507957947.00000000,1507957947.00000000
2022-09-30,0.03020000,0.03205000,0.02584000,0.02879000,0.03020000,0.03205000,0.02584000,0.02879000,2601068793.00000000,2601068793.00000000
2022-08-31,0.03356000,0.04200000,0.02911000,0.03020000,0.03356000,0.04200000,0.02911000,0.03020000,4144472547.00000000,4144472547.00000000
2022-07-31,0.02494000,0.03683000,0.02384000,0.03357000,0.02494000,0.03683000,0.02384000,0.03357000,4885290003.00000000,4885290003.00000000
2022-06-30,0.03968000,0.04075000,0.02224000,0.02494000,0.03968000,0.04075000,0.02224000,0.02494000,6068849896.00000000,6068849896.00000000
2022-05-31,0.05738000,0.06246000,0.02139000,0.03966000,0.05738000,0.06246000,0.02139000,0.03966000,7403198030.00000000,7403198030.00000000
2022-04-30,0.09693000,0.10991000,0.05480000,0.05741000,0.09693000,0.10991000,0.05480000,0.05741000,3682727477.00000000,3682727477.00000000
2022-03-31,0.07892000,0.11480000,0.06540000,0.09690000,0.07892000,0.11480000,0.06540000,0.09690000,7297967483.00000000,7297967483.00000000
2022-02-28,0.07367000,0.12078000,0.06206000,0.07892000,0.07367000,0.12078000,0.06206000,0.07892000,5988396765.00000000,5988396765.00000000
2022-01-31,0.12107000,0.13202000,0.06267000,0.07369000,0.12107000,0.13202000,0.06267000,0.07369000,4299609133.00000000,4299609133.00000000
2021-12-31,0.15377000,0.16665000,0.10215000,0.12109000,0.15377000,0.16665000,0.10215000,0.12109000,8448026301.00000000,8448026301.00000000
2021-11-30,0.07203000,0.26300000,0.06682000,0.15376000,0.07203000,0.26300000,0.06682000,0.15376000,37094099594.00000000,37094099594.00000000
2021-10-31,0.06039000,0.08490000,0.05594000,0.07202000,0.06039000,0.08490000,0.05594000,0.07202000,9579711248.00000000,9579711248.00000000
2021-09-30,0.07283000,0.09119000,0.04800000,0.06041000,0.07283000,0.09119000,0.04800000,0.06041000,11809313920.00000000,11809313920.00000000
2021-08-31,0.02026900,0.14999000,0.01939200,0.07281000,0.02026900,0.14999000,0.01939200,0.07281000,48726221098.00000000,48726221098.00000000
2021-07-31,0.01905400,0.02298700,0.01607000,0.02026300,0.01905400,0.02298700,0.01607000,0.02026300,7091931969.00000000,7091931969.00000000
2021-06-30,0.02743900,0.02888800,0.01287300,0.01905500,0.02743900,0.02888800,0.01287300,0.01905500,9274699184.00000000,9274699184.00000000
2021-05-31,0.07903000,0.07912000,0.02062300,0.02745500,0.07903000,0.07912000,0.02062300,0.02745500,11203963921.00000000,11203963921.00000000
2021-04-30,0.04561500,0.08560000,0.03135400,0.07900000,0.04561500,0.08560000,0.03135400,0.07900000,12536795301.00000000,12536795301.00000000
2021-03-31,0.02059800,0.05700000,0.02054500,0.04557300,0.02059800,0.05700000,0.02054500,0.04557300,11576471163.00000000,11576471163.00000000
2021-02-28,0.01151100,0.03794400,0.01095100,0.02060000,0.01151100,0.03794400,0.01095100,0.02060000,9465613231.00000000,9465613231.00000000
2021-01-31,0.00636200,0.01435200,0.00600000,0.01145300,0.00636200,0.01435200,0.00600000,0.01145300,5962297811.00000000,5962297811.00000000
2020-12-31,0.00796600,0.00870500,0.00576000,0.00637200,0.00796600,0.00870500,0.00576000,0.00637200,1673704598.00000000,1673704598.00000000
2020-11-30,0.00739000,0.00933600,0.00684800,0.00796600,0.00739000,0.00933600,0.00684800,0.00796600,924505965.00000000,924505965.00000000
2020-10-31,0.00810000,0.00850000,0.00553700,0.00741500,0.00810000,0.00850000,0.00553700,0.00741500,1065899644.00000000,1065899644.00000000
2020-09-30,0.01141100,0.01256000,0.00722900,0.00807500,0.01141100,0.01256000,0.00722900,0.00807500,3683421342.00000000,3683421342.00000000
