timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.31960000,0.39660000,0.30000000,0.31230000,0.31960000,0.39660000,0.30000000,0.31230000,83576270.00000000,83576270.00000000
2023-04-30,0.31370000,0.53000000,0.26460000,0.31950000,0.31370000,0.53000000,0.26460000,0.31950000,430432927.00000000,430432927.00000000
2023-03-31,0.28640000,0.36180000,0.21030000,0.31380000,0.28640000,0.36180000,0.21030000,0.31380000,177292485.00000000,177292485.00000000
2023-02-28,0.26590000,0.33750000,0.25690000,0.28720000,0.26590000,0.33750000,0.25690000,0.28720000,42092030.00000000,42092030.00000000
2023-01-31,0.17800000,0.28750000,0.17780000,0.26600000,0.17800000,0.28750000,0.17780000,0.26600000,60653904.00000000,60653904.00000000
2022-12-31,0.21270000,0.22800000,0.17620000,0.17800000,0.21270000,0.22800000,0.17620000,0.17800000,59392866.00000000,59392866.00000000
2022-11-30,0.24940000,0.26680000,0.17290000,0.21340000,0.24940000,0.26680000,0.17290000,0.21340000,71698723.00000000,71698723.00000000
2022-10-31,0.25340000,0.29900000,0.21130000,0.25040000,0.25340000,0.29900000,0.21130000,0.25040000,73038168.00000000,73038168.00000000
2022-09-30,0.25720000,0.31000000,0.24240000,0.25280000,0.25720000,0.31000000,0.24240000,0.25280000,102397173.00000000,102397173.00000000
2022-08-31,0.30410000,0.42910000,0.24000000,0.25630000,0.30410000,0.42910000,0.24000000,0.25630000,235662146.00000000,235662146.00000000
2022-07-31,0.17690000,0.63200000,0.17160000,0.30330000,0.17690000,0.63200000,0.17160000,0.30330000,664475168.00000000,664475168.00000000
2022-06-30,0.24520000,0.26280000,0.15860000,0.17780000,0.24520000,0.26280000,0.15860000,0.17780000,59985444.00000000,59985444.00000000
2022-05-31,0.40510000,0.52650000,0.17670000,0.24620000,0.40510000,0.52650000,0.17670000,0.24620000,88968889.20000000,88968889.20000000
2022-04-30,0.58940000,0.67750000,0.39670000,0.40510000,0.58940000,0.67750000,0.39670000,0.40510000,98202196.38000000,98202196.38000000
2022-03-31,0.52900000,0.64950000,0.44870000,0.59040000,0.52900000,0.64950000,0.44870000,0.59040000,55584324.00000000,55584324.00000000
2022-02-28,0.48510000,0.68700000,0.44690000,0.53010000,0.48510000,0.68700000,0.44690000,0.53010000,143429199.00000000,143429199.00000000
2022-01-31,0.72980000,0.77350000,0.44620000,0.48530000,0.72980000,0.77350000,0.44620000,0.48530000,19868423.30000000,19868423.30000000
2021-12-31,0.95190000,1.67290000,0.65590000,0.72980000,0.95190000,1.67290000,0.65590000,0.72980000,156087195.55000001,156087195.55000001
2021-11-30,1.07660000,1.18660000,0.83000000,0.95310000,1.07660000,1.18660000,0.83000000,0.95310000,71051052.00000000,71051052.00000000
2021-10-31,0.87450000,1.34000000,0.86390000,1.07830000,0.87450000,1.34000000,0.86390000,1.07830000,129864646.00000000,129864646.00000000
2021-09-30,1.08220000,1.62790000,0.80530000,0.87400000,1.08220000,1.62790000,0.80530000,0.87400000,111234353.33000000,111234353.33000000
2021-08-31,0.79980000,1.32000000,0.77000000,1.08080000,0.79980000,1.32000000,0.77000000,1.08080000,129258510.88999999,129258510.88999999
2021-07-31,0.59540000,1.03980000,0.52550000,0.80120000,0.59540000,1.03980000,0.52550000,0.80120000,153379075.10000002,153379075.10000002
2021-06-30,1.54540000,1.86970000,0.48300000,0.59400000,1.54540000,1.86970000,0.48300000,0.59400000,111976461.48000002,111976461.48000002
2021-05-31,2.87800000,4.13990000,1.10010000,1.54620000,2.87800000,4.13990000,1.10010000,1.54620000,86947349.28000000,86947349.28000000
2021-04-30,2.69510000,4.74260000,1.65360000,2.87800000,2.69510000,4.74260000,1.65360000,2.87800000,123478731.92000000,123478731.92000000
2021-03-31,1.20600000,2.99000000,1.19630000,2.68400000,1.20600000,2.99000000,1.19630000,2.68400000,81496941.66000001,81496941.66000001
2021-02-28,0.72280000,1.88260000,0.65230000,1.20540000,0.72280000,1.88260000,0.65230000,1.20540000,96167700.23000000,96167700.23000000
2021-01-31,0.51320000,0.99000000,0.45800000,0.71850000,0.51320000,0.99000000,0.45800000,0.71850000,45491487.32000000,45491487.32000000
2020-12-31,0.59310000,0.68100000,0.47700000,0.51370000,0.59310000,0.68100000,0.47700000,0.51370000,13536043.52000000,13536043.52000000
2020-11-30,0.43490000,0.79620000,0.38800000,0.58990000,0.43490000,0.79620000,0.38800000,0.58990000,14942901.43000000,14942901.43000000
2020-10-31,0.56990000,0.61400000,0.42620000,0.43490000,0.56990000,0.61400000,0.42620000,0.43490000,4884562.79000000,4884562.79000000
2020-09-30,0.80060000,0.80450000,0.50480000,0.57140000,0.80060000,0.80450000,0.50480000,0.57140000,9112483.18000000,9112483.18000000
