timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.69200000,0.69600000,0.64300000,0.64900000,0.69200000,0.69600000,0.64300000,0.64900000,7080921.00000000,7080921.00000000
2023-04-30,0.73000000,0.84700000,0.65100000,0.69200000,0.73000000,0.84700000,0.65100000,0.69200000,64181344.00000000,64181344.00000000
2023-03-31,0.83600000,0.87000000,0.56600000,0.73000000,0.83600000,0.87000000,0.56600000,0.73000000,104965205.09999999,104965205.09999999
2023-02-28,0.79600000,0.97000000,0.72300000,0.83500000,0.79600000,0.97000000,0.72300000,0.83500000,145086635.30000001,145086635.30000001
2023-01-31,0.45600000,0.90700000,0.44700000,0.79600000,0.45600000,0.90700000,0.44700000,0.79600000,152355668.00000000,152355668.00000000
2022-12-31,0.71400000,0.71800000,0.44700000,0.45600000,0.71400000,0.71800000,0.44700000,0.45600000,77221513.20000000,77221513.20000000
2022-11-30,0.91100000,0.97800000,0.49500000,0.71500000,0.91100000,0.97800000,0.49500000,0.71500000,153056426.80000001,153056426.80000001
2022-10-31,1.18300000,1.19400000,0.80300000,0.91000000,1.18300000,1.19400000,0.80300000,0.91000000,83741991.43299998,83741991.43299998
2022-09-30,1.72700000,2.09200000,1.08900000,1.18300000,1.72700000,2.09200000,1.08900000,1.18300000,159343461.50000000,159343461.50000000
2022-08-31,1.54600000,1.97600000,1.40500000,1.72800000,1.54600000,1.97600000,1.40500000,1.72800000,121181338.90000002,121181338.90000002
2022-07-31,1.26400000,1.72700000,1.17200000,1.54600000,1.26400000,1.72700000,1.17200000,1.54600000,94220127.90000001,94220127.90000001
2022-06-30,2.18600000,2.28600000,1.11000000,1.26300000,2.18600000,2.28600000,1.11000000,1.26300000,124847977.19999999,124847977.19999999
2022-05-31,4.87500000,5.00700000,1.10900000,2.18700000,4.87500000,5.00700000,1.10900000,2.18700000,435285010.29999995,435285010.29999995
2022-04-30,3.25900000,5.77000000,2.83700000,4.87700000,3.25900000,5.77000000,2.83700000,4.87700000,316895991.84299999,316895991.84299999
2022-03-31,2.44400000,3.76500000,2.21600000,3.25700000,2.44400000,3.76500000,2.21600000,3.25700000,250021940.49399993,250021940.49399993
2022-02-28,1.88600000,2.49100000,1.51600000,2.44400000,1.88600000,2.49100000,1.51600000,2.44400000,167288230.83100000,167288230.83100000
2022-01-31,1.28300000,1.93900000,1.18400000,1.88400000,1.28300000,1.93900000,1.18400000,1.88400000,177251778.79999998,177251778.79999998
2021-12-31,1.94200000,2.01300000,1.16900000,1.28300000,1.94200000,2.01300000,1.16900000,1.28300000,62858854.36300001,62858854.36300001
2021-11-30,1.99000000,2.45500000,1.58100000,1.94000000,1.99000000,2.45500000,1.58100000,1.94000000,142393907.19000003,142393907.19000003
2021-10-31,1.49300000,2.27000000,1.42000000,1.99000000,1.49300000,2.27000000,1.42000000,1.99000000,111095224.40000001,111095224.40000001
2021-09-30,1.92900000,2.35000000,1.31600000,1.49400000,1.92900000,2.35000000,1.31600000,1.49400000,126757047.87600002,126757047.87600002
2021-08-31,1.63000000,2.32200000,1.51100000,1.93100000,1.63000000,2.32200000,1.51100000,1.93100000,146242692.33700001,146242692.33700001
2021-07-31,1.68100000,1.77300000,1.12600000,1.63000000,1.68100000,1.77300000,1.12600000,1.63000000,109753547.61200000,109753547.61200000
2021-06-30,1.69100000,2.71700000,1.08200000,1.68100000,1.69100000,2.71700000,1.08200000,1.68100000,236976907.01499999,236976907.01499999
2021-05-31,3.26100000,4.25000000,1.18800000,1.69300000,3.26100000,4.25000000,1.18800000,1.69300000,186869617.38200000,186869617.38200000
2021-04-30,2.72200000,4.36000000,2.22600000,3.26300000,2.72200000,4.36000000,2.22600000,3.26300000,183756573.71900001,183756573.71900001
2021-03-31,1.57200000,3.34400000,1.56200000,2.72000000,1.57200000,3.34400000,1.56200000,2.72000000,245147298.18100002,245147298.18100002
2021-02-28,1.29100000,2.52600000,1.25600000,1.56900000,1.29100000,2.52600000,1.25600000,1.56900000,221968297.48800004,221968297.48800004
2021-01-31,0.79900000,1.49300000,0.76000000,1.29100000,0.79900000,1.49300000,0.76000000,1.29100000,198598891.13699996,198598891.13699996
2020-12-31,1.05800000,1.10600000,0.68300000,0.79900000,1.05800000,1.10600000,0.68300000,0.79900000,60321951.52200000,60321951.52200000
2020-11-30,0.78700000,1.35200000,0.68600000,1.05800000,0.78700000,1.35200000,0.68600000,1.05800000,79736293.62699997,79736293.62699997
2020-10-31,0.98200000,1.05800000,0.76800000,0.78700000,0.98200000,1.05800000,0.76800000,0.78700000,51182340.67900001,51182340.67900001
2020-09-30,1.80400000,1.85800000,0.85200000,0.98000000,1.80400000,1.85800000,0.85200000,0.98000000,80343376.39600000,80343376.39600000
