timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.33870000,0.34350000,0.31080000,0.31520000,0.33870000,0.34350000,0.31080000,0.31520000,48091043.00000000,48091043.00000000
2023-04-30,0.36040000,0.47650000,0.32930000,0.33860000,0.36040000,0.47650000,0.32930000,0.33860000,656798811.00000000,656798811.00000000
2023-03-31,0.34600000,0.38350000,0.25590000,0.36050000,0.34600000,0.38350000,0.25590000,0.36050000,709158108.00000000,709158108.00000000
2023-02-28,0.34890000,0.49490000,0.31860000,0.34590000,0.34890000,0.49490000,0.31860000,0.34590000,1500817289.00000000,1500817289.00000000
2023-01-31,0.18770000,0.36800000,0.18550000,0.34840000,0.18770000,0.36800000,0.18550000,0.34840000,909134910.00000000,909134910.00000000
2022-12-31,0.25420000,0.27870000,0.18650000,0.18780000,0.25420000,0.27870000,0.18650000,0.18780000,421024634.00000000,421024634.00000000
2022-11-30,0.27380000,0.42760000,0.20690000,0.25420000,0.27380000,0.42760000,0.20690000,0.25420000,1160373995.00000000,1160373995.00000000
2022-10-31,0.29620000,0.30410000,0.23720000,0.27380000,0.29620000,0.30410000,0.23720000,0.27380000,340273504.89999998,340273504.89999998
2022-09-30,0.35200000,0.37670000,0.28280000,0.29630000,0.35200000,0.37670000,0.28280000,0.29630000,472770726.00000000,472770726.00000000
2022-08-31,0.41820000,0.52440000,0.33660000,0.35200000,0.41820000,0.52440000,0.33660000,0.35200000,694159472.00000000,694159472.00000000
2022-07-31,0.38560000,0.47770000,0.34540000,0.41830000,0.38560000,0.47770000,0.34540000,0.41830000,736492729.00000000,736492729.00000000
2022-06-30,0.56670000,0.60090000,0.31510000,0.38560000,0.56670000,0.60090000,0.31510000,0.38560000,746221025.00000000,746221025.00000000
2022-05-31,0.68100000,0.85570000,0.32590000,0.56650000,0.68100000,0.85570000,0.32590000,0.56650000,1327034109.00000000,1327034109.00000000
2022-04-30,1.16450000,1.22990000,0.64530000,0.68110000,1.16450000,1.22990000,0.64530000,0.68110000,786427339.00000000,786427339.00000000
2022-03-31,0.82450000,1.36200000,0.65170000,1.16480000,0.82450000,1.36200000,0.65170000,1.16480000,2113866415.00000000,2113866415.00000000
2022-02-28,0.99880000,1.23000000,0.62680000,0.82480000,0.99880000,1.23000000,0.62680000,0.82480000,1252272934.00000000,1252272934.00000000
2022-01-31,2.08700000,2.14890000,0.64680000,0.99880000,2.08700000,2.14890000,0.64680000,0.99880000,1580780951.00000000,1580780951.00000000
2021-12-31,2.77250000,2.98570000,1.60000000,2.08490000,2.77250000,2.98570000,1.60000000,2.08490000,959972624.00000000,959972624.00000000
2021-11-30,0.63310000,3.85000000,0.61350000,2.76820000,0.63310000,3.85000000,0.61350000,2.76820000,6676590569.00000000,6676590569.00000000
2021-10-31,0.36560000,0.64620000,0.34830000,0.63210000,0.36560000,0.64620000,0.34830000,0.63210000,1121700629.00000000,1121700629.00000000
2021-09-30,0.55600000,0.56690000,0.34810000,0.36550000,0.55600000,0.56690000,0.34810000,0.36550000,983291958.59999990,983291958.59999990
2021-08-31,0.25171000,0.75450000,0.23796000,0.55590000,0.25171000,0.75450000,0.23796000,0.55590000,2649429604.80000019,2649429604.80000019
2021-07-31,0.26794000,0.27233000,0.18336000,0.25173000,0.26794000,0.27233000,0.18336000,0.25173000,471550156.90000004,471550156.90000004
2021-06-30,0.36866000,0.40871000,0.17420000,0.26794000,0.36866000,0.40871000,0.17420000,0.26794000,812613915.69999993,812613915.69999993
2021-05-31,0.56139000,0.91000000,0.22200000,0.36864000,0.56139000,0.91000000,0.22200000,0.36864000,1709637783.89999962,1709637783.89999962
2021-04-30,0.54892000,0.78299000,0.40167000,0.56087000,0.54892000,0.78299000,0.40167000,0.56087000,986875528.69999981,986875528.69999981
2021-03-31,0.51893000,0.65498000,0.43570000,0.54848000,0.51893000,0.65498000,0.43570000,0.54848000,662668704.89999986,662668704.89999986
2021-02-28,0.49400000,0.88888000,0.45800000,0.51893000,0.49400000,0.88888000,0.45800000,0.51893000,709733638.69999981,709733638.69999981
2021-01-31,0.16945000,0.62167000,0.16695000,0.49400000,0.16945000,0.62167000,0.16695000,0.49400000,2008743499.19999981,2008743499.19999981
2020-12-31,0.20135000,0.20571000,0.13077000,0.16955000,0.20135000,0.20571000,0.13077000,0.16955000,357718781.80000007,357718781.80000007
2020-11-30,0.14200000,0.24692000,0.11494000,0.20138000,0.14200000,0.24692000,0.11494000,0.20138000,575154029.10000002,575154029.10000002
2020-10-31,0.21577000,0.22506000,0.11948000,0.14200000,0.21577000,0.22506000,0.11948000,0.14200000,316179981.20000005,316179981.20000005
2020-09-30,0.21671000,0.30829000,0.15304000,0.21562000,0.21671000,0.30829000,0.15304000,0.21562000,573615240.59999990,573615240.59999990
