timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96300000,1.03200000,0.91500000,0.92400000,0.96300000,1.03200000,0.91500000,0.92400000,3608714.50000000,3608714.50000000
2023-04-30,1.08600000,1.34900000,0.94700000,0.96100000,1.08600000,1.34900000,0.94700000,0.96100000,24180151.60000000,24180151.60000000
2023-03-31,1.16500000,1.20800000,0.85300000,1.08500000,1.16500000,1.20800000,0.85300000,1.08500000,9869668.10000000,9869668.10000000
2023-02-28,0.91700000,1.60400000,0.88700000,1.16200000,0.91700000,1.60400000,0.88700000,1.16200000,37269200.09999999,37269200.09999999
2023-01-31,0.71700000,1.04500000,0.68600000,0.91700000,0.71700000,1.04500000,0.68600000,0.91700000,20712860.90000000,20712860.90000000
2022-12-31,0.83900000,1.24600000,0.67000000,0.71700000,0.83900000,1.24600000,0.67000000,0.71700000,37555918.10000000,37555918.10000000
2022-11-30,0.98900000,1.08800000,0.66500000,0.84200000,0.98900000,1.08800000,0.66500000,0.84200000,15547403.70000000,15547403.70000000
2022-10-31,0.95500000,1.14200000,0.83600000,0.98800000,0.95500000,1.14200000,0.83600000,0.98800000,15830765.20000000,15830765.20000000
2022-09-30,1.07000000,1.28800000,0.90100000,0.95100000,1.07000000,1.28800000,0.90100000,0.95100000,20660842.20000000,20660842.20000000
2022-08-31,1.17700000,1.89000000,0.99700000,1.07000000,1.17700000,1.89000000,0.99700000,1.07000000,37604463.10000000,37604463.10000000
2022-07-31,1.08800000,1.25000000,0.93100000,1.18000000,1.08800000,1.25000000,0.93100000,1.18000000,16770905.60000000,16770905.60000000
2022-06-30,1.29400000,1.83900000,0.85600000,1.08800000,1.29400000,1.83900000,0.85600000,1.08800000,39041907.09999999,39041907.09999999
2022-05-31,1.75400000,1.92600000,0.83800000,1.29400000,1.75400000,1.92600000,0.83800000,1.29400000,30051494.36999999,30051494.36999999
2022-04-30,2.51700000,3.27100000,1.73100000,1.75600000,2.51700000,3.27100000,1.73100000,1.75600000,41749222.30000000,41749222.30000000
2022-03-31,1.71300000,2.77800000,1.70500000,2.51300000,1.71300000,2.77800000,1.70500000,2.51300000,32129761.30000000,32129761.30000000
2022-02-28,1.55200000,2.02700000,1.37600000,1.71300000,1.55200000,2.02700000,1.37600000,1.71300000,9168686.30000000,9168686.30000000
2022-01-31,2.32600000,2.58500000,1.41900000,1.55600000,2.32600000,2.58500000,1.41900000,1.55600000,12885794.52000000,12885794.52000000
2021-12-31,3.49100000,4.58500000,2.14600000,2.32900000,3.49100000,4.58500000,2.14600000,2.32900000,26290283.57000000,26290283.57000000
2021-11-30,3.47600000,4.50000000,2.99200000,3.49100000,3.47600000,4.50000000,2.99200000,3.49100000,26883736.70000000,26883736.70000000
2021-10-31,3.01100000,4.10000000,2.91400000,3.47400000,3.01100000,4.10000000,2.91400000,3.47400000,35669495.20000000,35669495.20000000
2021-09-30,3.84000000,4.75000000,2.53200000,3.01100000,3.84000000,4.75000000,2.53200000,3.01100000,41574868.40000000,41574868.40000000
2021-08-31,3.18000000,5.44330000,3.06340000,3.84400000,3.18000000,5.44330000,3.06340000,3.84400000,78583223.95999999,78583223.95999999
2021-07-31,2.67890000,3.28490000,2.00380000,3.17950000,2.67890000,3.28490000,2.00380000,3.17950000,61580123.73000000,61580123.73000000
2021-06-30,3.57780000,4.10000000,1.51130000,2.67890000,3.57780000,4.10000000,1.51130000,2.67890000,55832770.87000000,55832770.87000000
2021-05-31,5.43420000,11.50000000,2.60100000,3.57900000,5.43420000,11.50000000,2.60100000,3.57900000,174633728.83000004,174633728.83000004
2021-04-30,6.26130000,7.52590000,3.14180000,5.42700000,6.26130000,7.52590000,3.14180000,5.42700000,64005132.45000001,64005132.45000001
2021-03-31,2.90450000,6.26270000,2.80000000,6.26270000,2.90450000,6.26270000,2.80000000,6.26270000,69133618.23000000,69133618.23000000
2021-02-28,1.32230000,4.70000000,1.26710000,2.90520000,1.32230000,4.70000000,1.26710000,2.90520000,110591159.24000002,110591159.24000002
2021-01-31,1.14690000,1.62990000,1.09900000,1.32220000,1.14690000,1.62990000,1.09900000,1.32220000,28398525.33000000,28398525.33000000
2020-12-31,1.33680000,1.50980000,1.05000000,1.15080000,1.33680000,1.50980000,1.05000000,1.15080000,9209483.54000000,9209483.54000000
2020-11-30,1.02890000,1.66500000,0.92610000,1.33040000,1.02890000,1.66500000,0.92610000,1.33040000,9274837.69000000,9274837.69000000
2020-10-31,1.18120000,1.21150000,1.01300000,1.02900000,1.18120000,1.21150000,1.01300000,1.02900000,3679934.85000000,3679934.85000000
2020-09-30,1.78910000,1.97230000,1.05000000,1.17670000,1.78910000,1.97230000,1.05000000,1.17670000,9635288.59000000,9635288.59000000
