timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,88.24000000,89.86000000,80.56000000,83.95000000,88.24000000,89.86000000,80.56000000,83.95000000,3548991.33300000,3548991.33300000
2023-04-30,89.56000000,103.44000000,84.11000000,88.22000000,89.56000000,103.44000000,84.11000000,88.22000000,19064799.51500000,19064799.51500000
2023-03-31,93.79000000,98.37000000,65.00000000,89.57000000,93.79000000,98.37000000,65.00000000,89.57000000,30535318.34100000,30535318.34100000
2023-02-28,94.09000000,105.71000000,88.16000000,93.80000000,94.09000000,105.71000000,88.16000000,93.80000000,16377488.87500000,16377488.87500000
2023-01-31,70.14000000,97.77000000,68.91000000,94.09000000,70.14000000,97.77000000,68.91000000,94.09000000,24276770.91900000,24276770.91900000
2022-12-31,79.15000000,85.00000000,61.04000000,70.14000000,79.15000000,85.00000000,61.04000000,70.14000000,21862777.74600000,21862777.74600000
2022-11-30,55.02000000,83.66000000,47.60000000,79.16000000,55.02000000,83.66000000,47.60000000,79.16000000,40243320.19700000,40243320.19700000
2022-10-31,53.49000000,57.62000000,48.32000000,55.01000000,53.49000000,57.62000000,48.32000000,55.01000000,10640193.41900000,10640193.41900000
2022-09-30,53.83000000,67.48000000,50.01000000,53.48000000,53.83000000,67.48000000,50.01000000,53.48000000,19332739.94500000,19332739.94500000
2022-08-31,59.74000000,65.84000000,51.63000000,53.84000000,59.74000000,65.84000000,51.63000000,53.84000000,15408074.44900000,15408074.44900000
2022-07-31,53.84000000,64.58000000,46.41000000,59.74000000,53.84000000,64.58000000,46.41000000,59.74000000,16038743.52000000,16038743.52000000
2022-06-30,68.40000000,70.60000000,40.30000000,53.84000000,68.40000000,70.60000000,40.30000000,53.84000000,26416852.32360001,26416852.32360001
2022-05-31,95.90000000,107.10000000,54.40000000,68.40000000,95.90000000,107.10000000,54.40000000,68.40000000,20701666.06025000,20701666.06025000
2022-04-30,123.90000000,129.50000000,93.50000000,95.80000000,123.90000000,129.50000000,93.50000000,95.80000000,10346038.00600000,10346038.00600000
2022-03-31,113.70000000,134.10000000,96.20000000,123.80000000,113.70000000,134.10000000,96.20000000,123.80000000,14421043.38800000,14421043.38800000
2022-02-28,109.40000000,143.80000000,90.00000000,113.70000000,109.40000000,143.80000000,90.00000000,113.70000000,15135273.48218000,15135273.48218000
2022-01-31,146.20000000,153.90000000,96.30000000,109.50000000,146.20000000,153.90000000,96.30000000,109.50000000,16732793.85576000,16732793.85576000
2021-12-31,207.80000000,217.80000000,129.30000000,146.30000000,207.80000000,217.80000000,129.30000000,146.30000000,20418429.36525000,20418429.36525000
2021-11-30,191.90000000,295.70000000,182.00000000,207.80000000,191.90000000,295.70000000,182.00000000,207.80000000,35808997.56254000,35808997.56254000
2021-10-31,153.20000000,214.70000000,151.10000000,191.90000000,153.20000000,214.70000000,151.10000000,191.90000000,21076293.47000000,21076293.47000000
2021-09-30,171.60000000,240.00000000,139.70000000,153.30000000,171.60000000,240.00000000,139.70000000,153.30000000,30992897.55901000,30992897.55901000
2021-08-31,144.35000000,191.94000000,135.54000000,171.50000000,144.35000000,191.94000000,135.54000000,171.50000000,22282650.50722000,22282650.50722000
2021-07-31,144.31000000,148.10000000,103.83000000,144.37000000,144.31000000,148.10000000,103.83000000,144.37000000,16279482.31981000,16279482.31981000
2021-06-30,188.01000000,197.78000000,104.92000000,144.26000000,188.01000000,197.78000000,104.92000000,144.26000000,27001557.01490000,27001557.01490000
2021-05-31,271.14000000,413.49000000,118.03000000,187.97000000,271.14000000,413.49000000,118.03000000,187.97000000,73744229.22996999,73744229.22996999
2021-04-30,196.69000000,335.69000000,192.22000000,271.13000000,196.69000000,335.69000000,192.22000000,271.13000000,49678542.19943999,49678542.19943999
2021-03-31,165.27000000,230.23000000,163.30000000,196.70000000,165.27000000,230.23000000,163.30000000,196.70000000,31382783.83774000,31382783.83774000
2021-02-28,129.37000000,247.04000000,125.95000000,165.22000000,129.37000000,247.04000000,125.95000000,165.22000000,52848399.93108000,52848399.93108000
2021-01-31,124.22000000,185.83000000,112.70000000,129.36000000,124.22000000,185.83000000,112.70000000,129.36000000,62968267.01021001,62968267.01021001
2020-12-31,87.66000000,139.47000000,69.87000000,124.21000000,87.66000000,139.47000000,69.87000000,124.21000000,66956094.28599000,66956094.28599000
2020-11-30,55.69000000,94.02000000,51.13000000,87.65000000,55.69000000,94.02000000,51.13000000,87.65000000,49870704.06706001,49870704.06706001
2020-10-31,46.26000000,60.55000000,43.19000000,55.72000000,46.26000000,60.55000000,43.19000000,55.72000000,19054772.48057000,19054772.48057000
2020-09-30,60.94000000,64.31000000,41.59000000,46.24000000,60.94000000,64.31000000,41.59000000,46.24000000,17145375.63653000,17145375.63653000
