timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.24520000,1.25380000,1.10000000,1.11640000,1.24520000,1.25380000,1.10000000,1.11640000,21631488.69000000,21631488.69000000
2023-04-30,1.28630000,1.64900000,1.15810000,1.24530000,1.28630000,1.64900000,1.15810000,1.24530000,212894989.94999999,212894989.94999999
2023-03-31,1.70630000,1.79280000,1.19220000,1.28590000,1.70630000,1.79280000,1.19220000,1.28590000,124496798.12999997,124496798.12999997
2023-02-28,2.05620000,2.37640000,1.62490000,1.70630000,2.05620000,2.37640000,1.62490000,1.70630000,158410324.07999998,158410324.07999998
2023-01-31,1.25970000,2.54130000,1.25400000,2.05630000,1.25970000,2.54130000,1.25400000,2.05630000,331568583.03000003,331568583.03000003
2022-12-31,1.61670000,1.75300000,1.08810000,1.25910000,1.61670000,1.75300000,1.08810000,1.25910000,122912267.81000000,122912267.81000000
2022-11-30,2.44080000,2.86100000,1.41000000,1.61590000,2.44080000,2.86100000,1.41000000,1.61590000,219257884.18000007,219257884.18000007
2022-10-31,2.48040000,3.15290000,2.20290000,2.44000000,2.48040000,3.15290000,2.20290000,2.44000000,320741050.98000002,320741050.98000002
2022-09-30,1.78500000,7.66600000,1.75920000,2.48000000,1.78500000,7.66600000,1.75920000,2.48000000,972326302.38000000,972326302.38000000
2022-08-31,1.88260000,2.64250000,1.50000000,1.78340000,1.88260000,2.64250000,1.50000000,1.78340000,170535790.79999998,170535790.79999998
2022-07-31,2.12510000,2.45800000,1.48080000,1.88000000,2.12510000,2.45800000,1.48080000,1.88000000,193527807.37000006,193527807.37000006
2022-06-30,8.86990000,8.99990000,1.61000000,2.12880000,8.86990000,8.99990000,1.61000000,2.12880000,547435700.51999998,547435700.51999998
2022-05-31,78.10000000,88.35000000,0.00004000,8.87000000,78.10000000,88.35000000,0.00004000,8.87000000,421211391419.85101318,421211391419.85101318
2022-04-30,103.02000000,119.55000000,75.67000000,78.09000000,103.02000000,119.55000000,75.67000000,78.09000000,99744433.20000002,99744433.20000002
2022-03-31,91.35000000,111.52000000,75.58000000,103.02000000,91.35000000,111.52000000,75.58000000,103.02000000,155783989.33100000,155783989.33100000
2022-02-28,52.15000000,95.38000000,46.50000000,91.35000000,52.15000000,95.38000000,46.50000000,91.35000000,157593801.48999998,157593801.48999998
2022-01-31,85.51000000,93.96000000,43.44000000,52.16000000,85.51000000,93.96000000,43.44000000,52.16000000,181626270.00000000,181626270.00000000
2021-12-31,59.59000000,103.60000000,49.65000000,85.46000000,59.59000000,103.60000000,49.65000000,85.46000000,224875712.80700007,224875712.80700007
2021-11-30,42.90000000,60.08000000,37.82000000,59.59000000,42.90000000,60.08000000,37.82000000,59.59000000,124961445.54300000,124961445.54300000
2021-10-31,38.84000000,49.54000000,34.86000000,42.89000000,38.84000000,49.54000000,34.86000000,42.89000000,179857746.17499998,179857746.17499998
2021-09-30,31.54000000,45.01000000,22.95000000,38.83000000,31.54000000,45.01000000,22.95000000,38.83000000,296174538.53200001,296174538.53200001
2021-08-31,10.73400000,36.89000000,10.52300000,31.57000000,10.73400000,36.89000000,10.52300000,31.57000000,301003733.20199990,301003733.20199990
2021-07-31,6.56800000,11.80000000,5.50300000,10.73500000,6.56800000,11.80000000,5.50300000,10.73500000,303101073.43199998,303101073.43199998
2021-06-30,6.54700000,7.86900000,4.51600000,6.56500000,6.54700000,7.86900000,4.51600000,6.56500000,355493375.57899994,355493375.57899994
2021-05-31,16.68900000,19.19900000,3.91000000,6.54600000,16.68900000,19.19900000,3.91000000,6.54600000,559683395.37400019,559683395.37400019
2021-04-30,18.67090000,19.60940000,11.65010000,16.68900000,18.67090000,19.60940000,11.65010000,16.68900000,198609389.12899995,198609389.12899995
2021-03-31,5.35110000,22.40000000,5.32800000,18.66310000,5.35110000,22.40000000,5.32800000,18.66310000,321491955.66000003,321491955.66000003
2021-02-28,1.45780000,8.47000000,1.41600000,5.35310000,1.45780000,8.47000000,1.41600000,5.35310000,658611843.46999991,658611843.46999991
2021-01-31,0.65390000,1.71000000,0.61500000,1.45800000,0.65390000,1.71000000,0.61500000,1.45800000,521190829.01999998,521190829.01999998
2020-12-31,0.39990000,0.70900000,0.38070000,0.65400000,0.39990000,0.70900000,0.38070000,0.65400000,236228006.22999996,236228006.22999996
2020-11-30,0.30310000,0.43290000,0.27330000,0.39980000,0.30310000,0.43290000,0.27330000,0.39980000,112362925.45000003,112362925.45000003
2020-10-31,0.33460000,0.34020000,0.28700000,0.30320000,0.33460000,0.34020000,0.28700000,0.30320000,42480670.49999999,42480670.49999999
2020-09-30,0.51050000,0.51060000,0.28790000,0.33480000,0.51050000,0.51060000,0.28790000,0.33480000,92711781.75000001,92711781.75000001
