timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.54280000,0.55220000,0.50490000,0.51070000,0.54280000,0.55220000,0.50490000,0.51070000,57237271.00000000,57237271.00000000
2023-04-30,0.58820000,0.70000000,0.51620000,0.54290000,0.58820000,0.70000000,0.51620000,0.54290000,644460812.00000000,644460812.00000000
2023-03-31,0.62720000,0.67870000,0.48280000,0.58810000,0.62720000,0.67870000,0.48280000,0.58810000,606419792.00000000,606419792.00000000
2023-02-28,0.74930000,0.84270000,0.61370000,0.62720000,0.74930000,0.84270000,0.61370000,0.62720000,747150118.00000000,747150118.00000000
2023-01-31,0.29710000,0.81770000,0.29110000,0.74940000,0.29710000,0.81770000,0.29110000,0.74940000,1510839574.00000000,1510839574.00000000
2022-12-31,0.41260000,0.42850000,0.28400000,0.29710000,0.41260000,0.42850000,0.28400000,0.29710000,407493681.65999997,407493681.65999997
2022-11-30,0.67240000,0.74400000,0.35550000,0.41260000,0.67240000,0.74400000,0.35550000,0.41260000,629675245.78999996,629675245.78999996
2022-10-31,0.69840000,0.73150000,0.58230000,0.67240000,0.69840000,0.73150000,0.58230000,0.67240000,373129919.42000002,373129919.42000002
2022-09-30,0.77260000,0.83200000,0.66900000,0.69840000,0.77260000,0.83200000,0.66900000,0.69840000,463274062.00000000,463274062.00000000
2022-08-31,0.97460000,1.12910000,0.73860000,0.77270000,0.97460000,1.12910000,0.73860000,0.77270000,588186603.00000000,588186603.00000000
2022-07-31,0.88220000,1.09490000,0.75430000,0.97450000,0.88220000,1.09490000,0.75430000,0.97450000,820018902.00000000,820018902.00000000
2022-06-30,1.08820000,1.09320000,0.72550000,0.88170000,1.08820000,1.09320000,0.72550000,0.88170000,1102363751.00000000,1102363751.00000000
2022-05-31,1.43330000,1.68000000,0.62900000,1.08770000,1.43330000,1.68000000,0.62900000,1.08770000,1632846562.00000000,1632846562.00000000
2022-04-30,2.61350000,2.76850000,1.33750000,1.43270000,2.61350000,2.76850000,1.33750000,1.43270000,599174675.00000000,599174675.00000000
2022-03-31,2.84860000,2.92920000,2.22220000,2.61350000,2.84860000,2.92920000,2.22220000,2.61350000,836745432.00000000,836745432.00000000
2022-02-28,2.82210000,3.54970000,2.19820000,2.84770000,2.82210000,3.54970000,2.19820000,2.84770000,1427462098.00000000,1427462098.00000000
2022-01-31,3.26880000,3.44000000,1.70500000,2.82140000,3.26880000,3.44000000,1.70500000,2.82140000,1318310733.00000000,1318310733.00000000
2021-12-31,4.64940000,4.81820000,2.50000000,3.26900000,4.64940000,4.81820000,2.50000000,3.26900000,1978938636.00000000,1978938636.00000000
2021-11-30,2.88540000,5.90000000,2.20000000,4.64950000,2.88540000,5.90000000,2.20000000,4.64950000,7186990390.77999973,7186990390.77999973
2021-10-31,0.68950000,4.94550000,0.67870000,2.88500000,0.68950000,4.94550000,0.67870000,2.88500000,4602077793.56999969,4602077793.56999969
2021-09-30,0.94200000,1.08090000,0.59620000,0.68900000,0.94200000,1.08090000,0.59620000,0.68900000,716048155.63999999,716048155.63999999
2021-08-31,0.71820000,1.10670000,0.66180000,0.94160000,0.71820000,1.10670000,0.66180000,0.94160000,1234610019.56999993,1234610019.56999993
2021-07-31,0.58020000,0.84760000,0.49170000,0.71740000,0.58020000,0.84760000,0.49170000,0.71740000,1399075947.37000012,1399075947.37000012
2021-06-30,0.84860000,0.90390000,0.37150000,0.58000000,0.84860000,0.90390000,0.37150000,0.58000000,452939754.45999992,452939754.45999992
2021-05-31,1.48820000,1.60230000,0.48930000,0.84870000,1.48820000,1.60230000,0.48930000,0.84870000,1077487691.63999987,1077487691.63999987
2021-04-30,1.02050000,1.67000000,0.83460000,1.48820000,1.02050000,1.67000000,0.83460000,1.48820000,1787705355.83999991,1787705355.83999991
2021-03-31,0.23711000,1.21500000,0.23395000,1.02086000,0.23711000,1.21500000,0.23395000,1.02086000,4446343403.60000038,4446343403.60000038
2021-02-28,0.15493000,0.37600000,0.14513000,0.23691000,0.15493000,0.37600000,0.14513000,0.23691000,1844656213.30000019,1844656213.30000019
2021-01-31,0.07773000,0.20296000,0.07500000,0.15468000,0.07773000,0.20296000,0.07500000,0.15468000,2168367946.50000048,2168367946.50000048
2020-12-31,0.08849000,0.10000000,0.07000000,0.07776000,0.08849000,0.10000000,0.07000000,0.07776000,518021669.70000011,518021669.70000011
2020-11-30,0.06536000,0.11227000,0.05963000,0.08839000,0.06536000,0.11227000,0.05963000,0.08839000,786458705.09999990,786458705.09999990
2020-10-31,0.08402000,0.08615000,0.06061000,0.06530000,0.08402000,0.08615000,0.06061000,0.06530000,120072572.89999999,120072572.89999999
2020-09-30,0.09852000,0.10550000,0.03000000,0.08434000,0.09852000,0.10550000,0.03000000,0.08434000,228476385.20000011,228476385.20000011
