timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.98070000,1.01790000,0.94500000,0.96470000,0.98070000,1.01790000,0.94500000,0.96470000,329663602.20000005,329663602.20000005
2023-04-30,1.11760000,1.19000000,0.94350000,0.98070000,1.11760000,1.19000000,0.94350000,0.98070000,1596745819.99999976,1596745819.99999976
2023-03-31,1.19630000,1.26400000,0.94260000,1.11760000,1.19630000,1.26400000,0.94260000,1.11760000,2908195110.80000019,2908195110.80000019
2023-02-28,1.10950000,1.56810000,1.06770000,1.19640000,1.10950000,1.56810000,1.06770000,1.19640000,2937796503.90000010,2937796503.90000010
2023-01-31,0.75840000,1.20000000,0.74770000,1.10940000,0.75840000,1.20000000,0.74770000,1.10940000,2571552308.19999981,2571552308.19999981
2022-12-31,0.93300000,0.95020000,0.74720000,0.75830000,0.93300000,0.95020000,0.74720000,0.75830000,1616944418.40000010,1616944418.40000010
2022-11-30,0.90260000,1.30710000,0.76240000,0.93300000,0.90260000,1.30710000,0.76240000,0.93300000,4647283720.80000019,4647283720.80000019
2022-10-31,0.77810000,0.96800000,0.71560000,0.90260000,0.77810000,0.96800000,0.71560000,0.90260000,1835387924.40000010,1835387924.40000010
2022-09-30,0.83220000,0.94360000,0.69010000,0.77780000,0.83220000,0.94360000,0.69010000,0.77780000,2048652598.80000019,2048652598.80000019
2022-08-31,0.92770000,1.05450000,0.75350000,0.83230000,0.92770000,1.05450000,0.75350000,0.83230000,2359502648.90000057,2359502648.90000057
2022-07-31,0.48080000,1.01970000,0.44860000,0.92790000,0.48080000,1.01970000,0.44860000,0.92790000,6191085184.19999981,6191085184.19999981
2022-06-30,0.66200000,0.67100000,0.31600000,0.48080000,0.66200000,0.67100000,0.31600000,0.48080000,4033679826.69999981,4033679826.69999981
2022-05-31,1.03300000,1.18700000,0.50100000,0.66300000,1.03300000,1.18700000,0.50100000,0.66300000,3541042062.10000038,3541042062.10000038
2022-04-30,1.61700000,1.72900000,1.01100000,1.03200000,1.61700000,1.72900000,1.01100000,1.03200000,1440803911.20000029,1440803911.20000029
2022-03-31,1.61300000,1.75000000,1.32900000,1.61800000,1.61300000,1.75000000,1.32900000,1.61800000,1780360154.59999990,1780360154.59999990
2022-02-28,1.64200000,2.10100000,1.24500000,1.61400000,1.64200000,2.10100000,1.24500000,1.61400000,2617134490.79999971,2617134490.79999971
2022-01-31,2.52400000,2.60500000,1.30600000,1.64100000,2.52400000,2.60500000,1.30600000,1.64100000,3371183027.50000048,3371183027.50000048
2021-12-31,1.78400000,2.92300000,1.54700000,2.52400000,1.78400000,2.92300000,1.54700000,2.52400000,6829185627.69999886,6829185627.69999886
2021-11-30,1.93900000,2.15000000,1.44300000,1.78500000,1.93900000,2.15000000,1.44300000,1.78500000,2902335992.89999962,2902335992.89999962
2021-10-31,1.12700000,2.22000000,1.12600000,1.93900000,1.12700000,2.22000000,1.12600000,1.93900000,4950965643.00000000,4950965643.00000000
2021-09-30,1.33700000,1.79800000,1.01500000,1.12800000,1.33700000,1.79800000,1.01500000,1.12800000,4979913870.40000057,4979913870.40000057
2021-08-31,1.08248000,1.70000000,1.00500000,1.33600000,1.08248000,1.70000000,1.00500000,1.33600000,5921722190.89999866,5921722190.89999866
2021-07-31,1.16874000,1.17947000,0.62100000,1.08246000,1.16874000,1.17947000,0.62100000,1.08246000,6157719770.49999905,6157719770.49999905
2021-06-30,1.87147000,1.98520000,0.92800000,1.16878000,1.87147000,1.98520000,0.92800000,1.16878000,10954496345.60000038,10954496345.60000038
2021-05-31,0.82044000,2.70000000,0.68720000,1.87126000,0.82044000,2.70000000,0.68720000,1.87126000,25635453193.90000153,25635453193.90000153
2021-04-30,0.36039000,0.94707000,0.26055000,0.82066000,0.36039000,0.94707000,0.26055000,0.82066000,11396226231.69999695,11396226231.69999695
2021-03-31,0.23291000,0.54344000,0.18288000,0.35995000,0.23291000,0.54344000,0.18288000,0.35995000,12163397024.60000229,12163397024.60000229
2021-02-28,0.03828000,0.23399000,0.03620000,0.23290000,0.03828000,0.23399000,0.03620000,0.23290000,21533141231.10000229,21533141231.10000229
2021-01-31,0.01758000,0.04833000,0.01715000,0.03831000,0.01758000,0.04833000,0.01715000,0.03831000,17423044338.50000000,17423044338.50000000
2020-12-31,0.01962000,0.02175000,0.01440000,0.01758000,0.01962000,0.02175000,0.01440000,0.01758000,5098555487.49999905,5098555487.49999905
2020-11-30,0.01371000,0.02390000,0.01169000,0.01960000,0.01371000,0.02390000,0.01169000,0.01960000,7346767171.00000000,7346767171.00000000
2020-10-31,0.02014000,0.02050000,0.01291000,0.01374000,0.02014000,0.02050000,0.01291000,0.01374000,4146255294.30000114,4146255294.30000114
2020-09-30,0.02659000,0.02695000,0.01695000,0.02014000,0.02659000,0.02695000,0.01695000,0.02014000,6335932366.89999962,6335932366.89999962
