timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-10-23,4.19700000,4.36600000,2.68200000,2.74400000,4.19700000,4.36600000,2.68200000,2.74400000,623310.30600000,623310.30600000
2020-09-30,5.88300000,6.14700000,3.94800000,4.19700000,5.88300000,6.14700000,3.94800000,4.19700000,1235884.10900000,1235884.10900000
2020-08-31,4.07300000,6.10000000,3.91000000,5.88300000,4.07300000,6.10000000,3.91000000,5.88300000,4916142.48500000,4916142.48500000
2020-07-31,4.29700000,5.93000000,3.90800000,4.07300000,4.29700000,5.93000000,3.90800000,4.07300000,3104082.24200000,3104082.24200000
2020-06-30,5.40900000,5.78500000,3.90000000,4.29700000,5.40900000,5.78500000,3.90000000,4.29700000,1799634.23400000,1799634.23400000
2020-05-31,5.19600000,5.95600000,4.70000000,5.40900000,5.19600000,5.95600000,4.70000000,5.40900000,1611389.36000000,1611389.36000000
2020-04-30,4.83500000,5.80000000,4.62100000,5.19600000,4.83500000,5.80000000,4.62100000,5.19600000,559126.41600000,559126.41600000
2020-03-31,4.86700000,5.40000000,2.00000000,4.84300000,4.86700000,5.40000000,2.00000000,4.84300000,1173472.80600000,1173472.80600000
2020-02-29,5.00000000,6.37100000,4.63900000,4.83800000,5.00000000,6.37100000,4.63900000,4.83800000,631320.76100000,631320.76100000
2020-01-31,4.01300000,7.40000000,3.84600000,4.99900000,4.01300000,7.40000000,3.84600000,4.99900000,673621.44500000,673621.44500000
2019-12-31,4.05500000,4.45800000,3.63700000,4.01600000,4.05500000,4.45800000,3.63700000,4.01600000,674283.50000000,674283.50000000
