timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-12-22,0.01335000,0.01432000,0.00320000,0.00345000,0.01335000,0.01432000,0.00320000,0.00345000,5409778786.90000057,5409778786.90000057
2022-11-30,0.01948000,0.02183000,0.01130000,0.01335000,0.01948000,0.02183000,0.01130000,0.01335000,1677023519.69999981,1677023519.69999981
2022-10-31,0.02112000,0.02317000,0.01653000,0.01952000,0.02112000,0.02317000,0.01653000,0.01952000,1388163647.69999957,1388163647.69999957
2022-09-30,0.02412000,0.02690000,0.02027000,0.02112000,0.02412000,0.02690000,0.02027000,0.02112000,1845501027.60000014,1845501027.60000014
2022-08-31,0.02827000,0.03250000,0.02290000,0.02412000,0.02827000,0.03250000,0.02290000,0.02412000,3052933294.80000019,3052933294.80000019
2022-07-31,0.01445000,0.06740000,0.01400000,0.02829000,0.01445000,0.06740000,0.01400000,0.02829000,11379005821.19999695,11379005821.19999695
2022-06-30,0.01851000,0.03300000,0.01152000,0.01446000,0.01851000,0.03300000,0.01152000,0.01446000,3893448083.70000029,3893448083.70000029
2022-05-31,0.02905000,0.03500000,0.00937000,0.01855000,0.02905000,0.03500000,0.00937000,0.01855000,2658567252.19999981,2658567252.19999981
2022-04-30,0.04847000,0.05197000,0.02838000,0.02903000,0.04847000,0.05197000,0.02838000,0.02903000,2528393345.90000010,2528393345.90000010
2022-03-31,0.03196000,0.05490000,0.02801000,0.04853000,0.03196000,0.05490000,0.02801000,0.04853000,4366372831.60000038,4366372831.60000038
2022-02-28,0.03595000,0.04500000,0.02525000,0.03194000,0.03595000,0.04500000,0.02525000,0.03194000,1879485453.40000010,1879485453.40000010
2022-01-31,0.05948000,0.06750000,0.03000000,0.03596000,0.05948000,0.06750000,0.03000000,0.03596000,2294267158.50000000,2294267158.50000000
2021-12-31,0.08889000,0.11400000,0.05131000,0.05956000,0.08889000,0.11400000,0.05131000,0.05956000,7277348336.30000019,7277348336.30000019
2021-11-30,0.04997000,0.18750000,0.04415000,0.08889000,0.04997000,0.18750000,0.04415000,0.08889000,21434235534.70000076,21434235534.70000076
2021-10-31,0.04161000,0.05780000,0.04118000,0.04994000,0.04161000,0.05780000,0.04118000,0.04994000,2703133720.79999971,2703133720.79999971
2021-09-30,0.05628000,0.07127000,0.03834000,0.04153000,0.05628000,0.07127000,0.03834000,0.04153000,3812581562.29999924,3812581562.29999924
2021-08-31,0.04235000,0.06658000,0.04008000,0.05631000,0.04235000,0.06658000,0.04008000,0.05631000,3916376320.00000000,3916376320.00000000
2021-07-31,0.04022000,0.06071000,0.03268000,0.04235000,0.04022000,0.06071000,0.03268000,0.04235000,6064075118.79999924,6064075118.79999924
2021-06-30,0.05331000,0.08806000,0.02861000,0.04022000,0.05331000,0.08806000,0.02861000,0.04022000,4586208523.60000038,4586208523.60000038
2021-05-31,0.12928000,0.13900000,0.02523000,0.05320000,0.12928000,0.13900000,0.02523000,0.05320000,5095626374.30000114,5095626374.30000114
2021-04-30,0.06250000,0.19900000,0.05725000,0.12936000,0.06250000,0.19900000,0.05725000,0.12936000,18798366118.70000076,18798366118.70000076
2021-03-31,0.02161000,0.07890000,0.01958000,0.06232000,0.02161000,0.07890000,0.01958000,0.06232000,14615626515.89999580,14615626515.89999580
2021-02-28,0.01258000,0.02948000,0.01152000,0.02168000,0.01258000,0.02948000,0.01152000,0.02168000,6220833216.30000114,6220833216.30000114
2021-01-31,0.01371000,0.02555000,0.00763000,0.01258000,0.01371000,0.02555000,0.00763000,0.01258000,6972645739.70000172,6972645739.70000172
2020-12-31,0.00600000,0.01978000,0.00480000,0.01371000,0.00600000,0.01978000,0.00480000,0.01371000,7574296105.10000134,7574296105.10000134
2020-11-30,0.00409000,0.00699000,0.00388000,0.00600000,0.00409000,0.00699000,0.00388000,0.00600000,940114476.09999979,940114476.09999979
2020-10-31,0.00547000,0.00584000,0.00397000,0.00408000,0.00547000,0.00584000,0.00397000,0.00408000,471625566.10000008,471625566.10000008
2020-09-30,0.01113000,0.01157000,0.00477000,0.00546000,0.01113000,0.01157000,0.00477000,0.00546000,1117215884.09999990,1117215884.09999990
2020-08-31,0.00899000,0.01368000,0.00816000,0.01111000,0.00899000,0.01368000,0.00816000,0.01111000,1533633556.90000033,1533633556.90000033
2020-07-31,0.00567000,0.01445000,0.00545000,0.00899000,0.00567000,0.01445000,0.00545000,0.00899000,2645027552.79999971,2645027552.79999971
2020-06-30,0.00468000,0.00725000,0.00438000,0.00567000,0.00468000,0.00725000,0.00438000,0.00567000,1434012243.00000000,1434012243.00000000
2020-05-31,0.00376000,0.00611000,0.00335000,0.00465000,0.00376000,0.00611000,0.00335000,0.00465000,1349583902.90000010,1349583902.90000010
2020-04-30,0.00334000,0.00479000,0.00314000,0.00377000,0.00334000,0.00479000,0.00314000,0.00377000,989035557.50000012,989035557.50000012
