timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,693.00000000,734.00000000,675.00000000,699.00000000,693.00000000,734.00000000,675.00000000,699.00000000,32036.73190000,32036.73190000
2023-04-30,687.00000000,820.00000000,654.00000000,693.00000000,687.00000000,820.00000000,654.00000000,693.00000000,290273.55750000,290273.55750000
2023-03-31,791.00000000,980.00000000,595.00000000,686.00000000,791.00000000,980.00000000,595.00000000,686.00000000,757003.71940000,757003.71940000
2023-02-28,655.00000000,819.00000000,622.00000000,791.00000000,655.00000000,819.00000000,622.00000000,791.00000000,196042.21730000,196042.21730000
2023-01-31,511.00000000,746.00000000,502.00000000,656.00000000,511.00000000,746.00000000,502.00000000,656.00000000,127636.49010000,127636.49010000
2022-12-31,662.00000000,664.00000000,506.00000000,511.00000000,662.00000000,664.00000000,506.00000000,511.00000000,64685.86210000,64685.86210000
2022-11-30,899.00000000,925.00000000,613.00000000,662.00000000,899.00000000,925.00000000,613.00000000,662.00000000,120283.49890000,120283.49890000
2022-10-31,737.00000000,1170.00000000,727.00000000,899.00000000,737.00000000,1170.00000000,727.00000000,899.00000000,146291.13060000,146291.13060000
2022-09-30,760.00000000,795.00000000,581.00000000,738.00000000,760.00000000,795.00000000,581.00000000,738.00000000,94522.00190000,94522.00190000
2022-08-31,1101.00000000,1299.00000000,732.00000000,759.00000000,1101.00000000,1299.00000000,732.00000000,759.00000000,106684.11760000,106684.11760000
2022-07-31,909.00000000,1188.00000000,794.00000000,1102.00000000,909.00000000,1188.00000000,794.00000000,1102.00000000,91211.74300000,91211.74300000
2022-06-30,1322.00000000,1335.00000000,656.00000000,909.00000000,1322.00000000,1335.00000000,656.00000000,909.00000000,114507.89268000,114507.89268000
2022-05-31,1458.00000000,2300.00000000,955.00000000,1321.00000000,1458.00000000,2300.00000000,955.00000000,1321.00000000,244897.07274000,244897.07274000
2022-04-30,2095.00000000,2511.00000000,1378.00000000,1457.00000000,2095.00000000,2511.00000000,1378.00000000,1457.00000000,64573.47030000,64573.47030000
2022-03-31,1966.00000000,2293.00000000,1669.00000000,2094.00000000,1966.00000000,2293.00000000,1669.00000000,2094.00000000,77948.08700000,77948.08700000
2022-02-28,2134.00000000,2366.00000000,1512.00000000,1965.00000000,2134.00000000,2366.00000000,1512.00000000,1965.00000000,60550.10220000,60550.10220000
2022-01-31,2332.00000000,2599.00000000,1616.00000000,2133.00000000,2332.00000000,2599.00000000,1616.00000000,2133.00000000,72852.55517000,72852.55517000
2021-12-31,3057.00000000,3141.00000000,2163.00000000,2334.00000000,3057.00000000,3141.00000000,2163.00000000,2334.00000000,68054.55020000,68054.55020000
2021-11-30,2422.00000000,3626.00000000,2348.00000000,3056.00000000,2422.00000000,3626.00000000,2348.00000000,3056.00000000,158484.09690000,158484.09690000
2021-10-31,2289.00000000,2728.00000000,2200.00000000,2422.00000000,2289.00000000,2728.00000000,2200.00000000,2422.00000000,96127.60550000,96127.60550000
2021-09-30,3523.00000000,3752.00000000,2132.00000000,2288.00000000,3523.00000000,3752.00000000,2132.00000000,2288.00000000,120089.10794000,120089.10794000
2021-08-31,2980.75000000,4015.47000000,2738.60000000,3526.00000000,2980.75000000,4015.47000000,2738.60000000,3526.00000000,87401.73389000,87401.73389000
2021-07-31,2680.61000000,3105.58000000,2110.83000000,2977.72000000,2680.61000000,3105.58000000,2110.83000000,2977.72000000,108641.29227000,108641.29227000
2021-06-30,3587.87000000,3980.53000000,1895.14000000,2680.61000000,3587.87000000,3980.53000000,1895.14000000,2680.61000000,135156.60018000,135156.60018000
2021-05-31,4344.87000000,6347.94000000,1829.45000000,3597.27000000,4344.87000000,6347.94000000,1829.45000000,3597.27000000,369193.69495000,369193.69495000
2021-04-30,2111.86000000,4979.59000000,2017.34000000,4344.19000000,2111.86000000,4979.59000000,2017.34000000,4344.19000000,315747.02370000,315747.02370000
2021-03-31,2038.87000000,2361.79000000,1757.41000000,2111.40000000,2038.87000000,2361.79000000,1757.41000000,2111.40000000,95619.39246000,95619.39246000
2021-02-28,1480.48000000,3100.00000000,1416.51000000,2036.47000000,1480.48000000,3100.00000000,1416.51000000,2036.47000000,224529.11527000,224529.11527000
2021-01-31,585.45000000,1978.77000000,568.21000000,1479.79000000,585.45000000,1978.77000000,568.21000000,1479.79000000,327949.70477000,327949.70477000
2020-12-31,568.28000000,600.27000000,473.08000000,585.73000000,568.28000000,600.27000000,473.08000000,585.73000000,120399.09733000,120399.09733000
2020-11-30,522.60000000,650.00000000,489.60000000,568.12000000,522.60000000,650.00000000,489.60000000,568.12000000,111661.70790000,111661.70790000
2020-10-31,571.75000000,614.09000000,498.49000000,523.63000000,571.75000000,614.09000000,498.49000000,523.63000000,87989.76948000,87989.76948000
2020-09-30,681.61000000,745.56000000,429.79000000,571.45000000,681.61000000,745.56000000,429.79000000,571.45000000,141461.67866000,141461.67866000
