timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-01-24,3.40100000,3.95000000,1.85900000,2.22400000,3.40100000,3.95000000,1.85900000,2.22400000,18539841.34000000,18539841.34000000
2021-12-31,4.86900000,5.24800000,3.14400000,3.40600000,4.86900000,5.24800000,3.14400000,3.40600000,28440415.09000000,28440415.09000000
2021-11-30,6.23200000,6.64000000,4.50000000,4.86000000,6.23200000,6.64000000,4.50000000,4.86000000,37798565.80000000,37798565.80000000
2021-10-31,4.44200000,7.50000000,4.33500000,6.23300000,4.44200000,7.50000000,4.33500000,6.23300000,48128310.50000000,48128310.50000000
2021-09-30,6.41400000,7.64600000,4.11600000,4.44100000,6.41400000,7.64600000,4.11600000,4.44100000,43389272.80999999,43389272.80999999
2021-08-31,4.35060000,7.86980000,4.17480000,6.41400000,4.35060000,7.86980000,4.17480000,6.41400000,70890876.34999998,70890876.34999998
2021-07-31,5.17750000,5.17830000,3.10000000,4.35230000,5.17750000,5.17830000,3.10000000,4.35230000,40400106.45000001,40400106.45000001
2021-06-30,7.34920000,9.46940000,3.70180000,5.17320000,7.34920000,9.46940000,3.70180000,5.17320000,57705443.36000000,57705443.36000000
2021-05-31,8.47000000,17.70000000,4.60000000,7.34930000,8.47000000,17.70000000,4.60000000,7.34930000,207758692.25000006,207758692.25000006
2021-04-30,5.22990000,14.44630000,4.91300000,8.47820000,5.22990000,14.44630000,4.91300000,8.47820000,229231453.10999998,229231453.10999998
2021-03-31,4.94980000,6.27990000,4.10050000,5.21650000,4.94980000,6.27990000,4.10050000,5.21650000,40546780.50999999,40546780.50999999
2021-02-28,3.42240000,7.90000000,3.24540000,4.94980000,3.42240000,7.90000000,3.24540000,4.94980000,95772500.08000000,95772500.08000000
2021-01-31,1.02150000,5.20000000,0.98960000,3.43350000,1.02150000,5.20000000,0.98960000,3.43350000,199309405.05000001,199309405.05000001
2020-12-31,1.20460000,1.31030000,0.91000000,1.02530000,1.20460000,1.31030000,0.91000000,1.02530000,21441640.47000001,21441640.47000001
2020-11-30,0.74430000,1.50000000,0.67020000,1.19890000,0.74430000,1.50000000,0.67020000,1.19890000,33683460.93000001,33683460.93000001
2020-10-31,0.82700000,0.95080000,0.69810000,0.74550000,0.82700000,0.95080000,0.69810000,0.74550000,14092416.72000000,14092416.72000000
2020-09-30,1.13700000,1.16110000,0.66400000,0.82700000,1.13700000,1.16110000,0.66400000,0.82700000,21348112.71000000,21348112.71000000
2020-08-31,0.93080000,1.45520000,0.88240000,1.13710000,0.93080000,1.45520000,0.88240000,1.13710000,42425986.94000001,42425986.94000001
2020-07-31,0.93380000,1.11490000,0.89240000,0.93230000,0.93380000,1.11490000,0.89240000,0.93230000,24127120.69000001,24127120.69000001
2020-06-30,0.87320000,1.32290000,0.84000000,0.93650000,0.87320000,1.32290000,0.84000000,0.93650000,43834154.43000000,43834154.43000000
2020-05-31,0.62300000,1.01000000,0.56250000,0.87280000,0.62300000,1.01000000,0.56250000,0.87280000,36928043.95000000,36928043.95000000
2020-04-30,0.46900000,0.69000000,0.46100000,0.62420000,0.46900000,0.69000000,0.46100000,0.62420000,18082586.29000000,18082586.29000000
2020-03-31,0.73570000,0.84090000,0.25620000,0.46940000,0.73570000,0.84090000,0.25620000,0.46940000,24373970.00000000,24373970.00000000
2020-02-29,0.77680000,1.21870000,0.71810000,0.73620000,0.77680000,1.21870000,0.71810000,0.73620000,16688538.92000000,16688538.92000000
2020-01-31,0.65080000,0.78590000,0.59340000,0.77700000,0.65080000,0.78590000,0.59340000,0.77700000,10005359.81000000,10005359.81000000
2019-12-31,0.88690000,0.91810000,0.61610000,0.65360000,0.88690000,0.91810000,0.61610000,0.65360000,4001533.66000000,4001533.66000000
2019-11-30,0.85750000,1.09000000,0.69030000,0.88920000,0.85750000,1.09000000,0.69030000,0.88920000,9534051.31000000,9534051.31000000
2019-10-31,0.74370000,0.93760000,0.70560000,0.85870000,0.74370000,0.93760000,0.70560000,0.85870000,6596821.33000000,6596821.33000000
2019-09-30,0.95060000,1.03000000,0.67000000,0.74290000,0.95060000,1.03000000,0.67000000,0.74290000,4720088.33000000,4720088.33000000
2019-08-31,1.27500000,1.27710000,0.92500000,0.95630000,1.27500000,1.27710000,0.92500000,0.95630000,8929358.88000000,8929358.88000000
2019-07-31,1.23810000,1.46870000,0.87470000,1.27520000,1.23810000,1.46870000,0.87470000,1.27520000,22080202.20000000,22080202.20000000
2019-06-30,1.73470000,1.81680000,1.20490000,1.23710000,1.73470000,1.81680000,1.20490000,1.23710000,19195146.05000000,19195146.05000000
