timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00287000,0.00297000,0.00285000,0.00286000,0.00287000,0.00297000,0.00285000,0.00286000,8911211.00000000,8911211.00000000
2023-04-30,0.00296000,0.00400000,0.00274000,0.00287000,0.00296000,0.00400000,0.00274000,0.00287000,43794220.00000000,43794220.00000000
2023-03-31,0.00414000,0.00421000,0.00277000,0.00296000,0.00414000,0.00421000,0.00277000,0.00296000,466060612.00000000,466060612.00000000
2023-02-28,0.00447000,0.00590000,0.00350000,0.00414000,0.00447000,0.00590000,0.00350000,0.00414000,147058993.00000000,147058993.00000000
2023-01-31,0.00456000,0.00514000,0.00411000,0.00453000,0.00456000,0.00514000,0.00411000,0.00453000,47769945.00000000,47769945.00000000
2022-12-31,0.00453000,0.00700000,0.00350000,0.00456000,0.00453000,0.00700000,0.00350000,0.00456000,37382355.00000000,37382355.00000000
2022-11-30,0.00553000,0.00603000,0.00389000,0.00456000,0.00553000,0.00603000,0.00389000,0.00456000,52466065.00000000,52466065.00000000
2022-10-31,0.00685000,0.00696000,0.00538000,0.00556000,0.00685000,0.00696000,0.00538000,0.00556000,14190623.00000000,14190623.00000000
2022-09-30,0.00786000,0.00938000,0.00630000,0.00688000,0.00786000,0.00938000,0.00630000,0.00688000,17941393.00000000,17941393.00000000
2022-08-31,0.00925000,0.00950000,0.00758000,0.00783000,0.00925000,0.00950000,0.00758000,0.00783000,11254279.00000000,11254279.00000000
2022-07-31,0.00918000,0.01489000,0.00706000,0.00927000,0.00918000,0.01489000,0.00706000,0.00927000,25705188.00000000,25705188.00000000
2022-06-30,0.01368000,0.01900000,0.00701000,0.00921000,0.01368000,0.01900000,0.00701000,0.00921000,32239011.00000000,32239011.00000000
2022-05-31,0.01255000,0.02000000,0.00501000,0.01345000,0.01255000,0.02000000,0.00501000,0.01345000,51058950.00000000,51058950.00000000
2022-04-30,0.01793000,0.02020000,0.01130000,0.01250000,0.01793000,0.02020000,0.01130000,0.01250000,37912112.00000000,37912112.00000000
