timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.04600000,1.13300000,0.96800000,0.99900000,1.04600000,1.13300000,0.96800000,0.99900000,34230550.40000000,34230550.40000000
2023-04-30,1.57700000,1.60500000,0.99700000,1.04600000,1.57700000,1.60500000,0.99700000,1.04600000,125983693.60000001,125983693.60000001
2023-03-31,1.67300000,2.53900000,1.18600000,1.57700000,1.67300000,2.53900000,1.18600000,1.57700000,156240542.29999998,156240542.29999998
2023-02-28,1.39900000,2.09200000,1.33500000,1.67300000,1.39900000,2.09200000,1.33500000,1.67300000,53196884.69999998,53196884.69999998
2023-01-31,1.02800000,1.58300000,1.01200000,1.39900000,1.02800000,1.58300000,1.01200000,1.39900000,44465405.99999999,44465405.99999999
2022-12-31,1.25600000,1.26000000,0.94400000,1.02800000,1.25600000,1.26000000,0.94400000,1.02800000,30413187.00000000,30413187.00000000
2022-11-30,1.65500000,1.83800000,1.02700000,1.25800000,1.65500000,1.83800000,1.02700000,1.25800000,57779198.22000000,57779198.22000000
2022-10-31,1.72600000,1.75300000,1.43400000,1.65500000,1.72600000,1.75300000,1.43400000,1.65500000,24872067.70000000,24872067.70000000
2022-09-30,1.79700000,2.11800000,1.61300000,1.72700000,1.79700000,2.11800000,1.61300000,1.72700000,39272307.10000001,39272307.10000001
2022-08-31,2.19900000,2.53600000,1.69600000,1.79800000,2.19900000,2.53600000,1.69600000,1.79800000,39289996.90000000,39289996.90000000
2022-07-31,1.85000000,2.44100000,1.59400000,2.20200000,1.85000000,2.44100000,1.59400000,2.20200000,48629654.70000002,48629654.70000002
2022-06-30,2.75600000,2.86700000,1.58800000,1.85100000,2.75600000,2.86700000,1.58800000,1.85100000,54442202.75000000,54442202.75000000
2022-05-31,3.60700000,4.28900000,1.91100000,2.75500000,3.60700000,4.28900000,1.91100000,2.75500000,82120609.34000002,82120609.34000002
2022-04-30,5.49800000,6.27800000,3.45400000,3.60800000,5.49800000,6.27800000,3.45400000,3.60800000,61935678.80000000,61935678.80000000
2022-03-31,4.23000000,6.09000000,3.58200000,5.49900000,4.23000000,6.09000000,3.58200000,5.49900000,113159524.70000000,113159524.70000000
2022-02-28,5.01600000,5.63200000,3.32600000,4.22900000,5.01600000,5.63200000,3.32600000,4.22900000,139587978.53999999,139587978.53999999
2022-01-31,5.86900000,6.94400000,3.68600000,5.01400000,5.86900000,6.94400000,3.68600000,5.01400000,256134371.48999998,256134371.48999998
2021-12-31,8.63900000,8.75300000,4.77600000,5.86700000,8.63900000,8.75300000,4.77600000,5.86700000,332227425.80000007,332227425.80000007
2021-11-30,13.41000000,20.12400000,7.45000000,8.63800000,13.41000000,20.12400000,7.45000000,8.63800000,582045062.35000002,582045062.35000002
2021-10-31,12.47000000,18.21200000,11.90200000,13.41100000,12.47000000,18.21200000,11.90200000,13.41100000,353615282.59999996,353615282.59999996
2021-09-30,6.32500000,12.49300000,6.13900000,12.47100000,6.32500000,12.49300000,6.13900000,12.47100000,475545448.87000006,475545448.87000006
2021-08-31,4.45740000,7.35000000,4.06000000,6.32500000,4.45740000,7.35000000,4.06000000,6.32500000,217441303.21999997,217441303.21999997
2021-07-31,4.37460000,4.87500000,3.04130000,4.45650000,4.37460000,4.87500000,3.04130000,4.45650000,147785072.88000000,147785072.88000000
2021-06-30,6.59890000,7.09150000,2.89200000,4.37470000,6.59890000,7.09150000,2.89200000,4.37470000,176780143.48999998,176780143.48999998
2021-05-31,7.74640000,15.35000000,3.37630000,6.59880000,7.74640000,15.35000000,3.37630000,6.59880000,417615530.19000000,417615530.19000000
2021-04-30,7.89420000,11.33700000,5.57420000,7.74970000,7.89420000,11.33700000,5.57420000,7.74970000,252294462.63999996,252294462.63999996
2021-03-31,4.26840000,8.40000000,4.20610000,7.90150000,4.26840000,8.40000000,4.20610000,7.90150000,185521699.44000006,185521699.44000006
2021-02-28,3.52370000,7.97410000,3.38300000,4.26480000,3.52370000,7.97410000,3.38300000,4.26480000,309705753.95999998,309705753.95999998
2021-01-31,2.47420000,4.44440000,2.43970000,3.52370000,2.47420000,4.44440000,2.43970000,3.52370000,268771708.53999996,268771708.53999996
2020-12-31,3.95120000,4.41240000,1.99120000,2.47370000,3.95120000,4.41240000,1.99120000,2.47370000,99494905.99000001,99494905.99000001
2020-11-30,2.91950000,5.18450000,2.62480000,3.95280000,2.91950000,5.18450000,2.62480000,3.95280000,119141157.98000002,119141157.98000002
2020-10-31,4.01740000,4.40000000,2.75690000,2.92330000,4.01740000,4.40000000,2.75690000,2.92330000,50175654.31999999,50175654.31999999
2020-09-30,5.11420000,5.24050000,2.48940000,4.02020000,5.11420000,5.24050000,2.48940000,4.02020000,97526711.63000000,97526711.63000000
