timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.23620000,0.23800000,0.22110000,0.22280000,0.23620000,0.23800000,0.22110000,0.22280000,49693872.00000000,49693872.00000000
2023-04-30,0.23690000,0.35190000,0.22270000,0.23620000,0.23690000,0.35190000,0.22270000,0.23620000,1186963803.00000000,1186963803.00000000
2023-03-31,0.24670000,0.26510000,0.17630000,0.23680000,0.24670000,0.26510000,0.17630000,0.23680000,484251473.00000000,484251473.00000000
2023-02-28,0.20700000,0.31000000,0.19820000,0.24660000,0.20700000,0.31000000,0.19820000,0.24660000,554209818.00000000,554209818.00000000
2023-01-31,0.15000000,0.22420000,0.14970000,0.20700000,0.15000000,0.22420000,0.14970000,0.20700000,291910574.00000000,291910574.00000000
2022-12-31,0.18730000,0.20000000,0.14460000,0.14980000,0.18730000,0.20000000,0.14460000,0.14980000,203745578.00000000,203745578.00000000
2022-11-30,0.22330000,0.25550000,0.15590000,0.18730000,0.22330000,0.25550000,0.15590000,0.18730000,310749030.31000000,310749030.31000000
2022-10-31,0.22430000,0.23380000,0.19360000,0.22330000,0.22430000,0.23380000,0.19360000,0.22330000,156862300.00000000,156862300.00000000
2022-09-30,0.24440000,0.25970000,0.20720000,0.22420000,0.24440000,0.25970000,0.20720000,0.22420000,248075835.00000000,248075835.00000000
2022-08-31,0.27210000,0.42000000,0.23000000,0.24450000,0.27210000,0.42000000,0.23000000,0.24450000,400416902.00000000,400416902.00000000
2022-07-31,0.22610000,0.31130000,0.20620000,0.27200000,0.22610000,0.31130000,0.20620000,0.27200000,364543663.00000000,364543663.00000000
2022-06-30,0.29470000,0.37000000,0.19050000,0.22620000,0.29470000,0.37000000,0.19050000,0.22620000,428667530.00000000,428667530.00000000
2022-05-31,0.43280000,0.49460000,0.19080000,0.29470000,0.43280000,0.49460000,0.19080000,0.29470000,480894357.29000002,480894357.29000002
2022-04-30,0.65370000,0.70350000,0.41010000,0.43290000,0.65370000,0.70350000,0.41010000,0.43290000,373756908.00000000,373756908.00000000
2022-03-31,0.57270000,0.70100000,0.46600000,0.65330000,0.57270000,0.70100000,0.46600000,0.65330000,328296329.00000000,328296329.00000000
2022-02-28,0.48470000,0.63420000,0.42440000,0.57280000,0.48470000,0.63420000,0.42440000,0.57280000,503961582.00000000,503961582.00000000
2022-01-31,0.65680000,0.71940000,0.40560000,0.48480000,0.65680000,0.71940000,0.40560000,0.48480000,410889406.56999999,410889406.56999999
2021-12-31,0.98120000,1.09600000,0.60350000,0.65680000,0.98120000,1.09600000,0.60350000,0.65680000,618390184.95000005,618390184.95000005
2021-11-30,1.04450000,1.23400000,0.89950000,0.98100000,1.04450000,1.23400000,0.89950000,0.98100000,847289778.00000000,847289778.00000000
2021-10-31,0.77770000,1.14670000,0.77180000,1.04420000,0.77770000,1.14670000,0.77180000,1.04420000,1015153830.00000000,1015153830.00000000
2021-09-30,1.04220000,1.32810000,0.70860000,0.77760000,1.04220000,1.32810000,0.70860000,0.77760000,903607321.09000015,903607321.09000015
2021-08-31,0.85800000,1.28540000,0.77300000,1.04190000,0.85800000,1.28540000,0.77300000,1.04190000,918193474.95000017,918193474.95000017
2021-07-31,0.74920000,0.87880000,0.54750000,0.85770000,0.74920000,0.87880000,0.54750000,0.85770000,797203798.99999976,797203798.99999976
2021-06-30,1.14370000,1.26580000,0.50880000,0.74950000,1.14370000,1.26580000,0.50880000,0.74950000,929006629.19999981,929006629.19999981
2021-05-31,1.83730000,2.95830000,0.73730000,1.14390000,1.83730000,2.95830000,0.73730000,1.14390000,2743260939.52000046,2743260939.52000046
2021-04-30,1.73360000,2.59060000,1.24010000,1.83730000,1.73360000,2.59060000,1.24010000,1.83730000,2329121231.88199997,2329121231.88199997
2021-03-31,0.84700000,1.75400000,0.83820000,1.73390000,0.84700000,1.75400000,0.83820000,1.73390000,2141358299.52999973,2141358299.52999973
2021-02-28,0.57910000,1.59390000,0.56170000,0.84730000,0.57910000,1.59390000,0.56170000,0.84730000,2382284672.86999941,2382284672.86999941
2021-01-31,0.44160000,0.72940000,0.42000000,0.57920000,0.44160000,0.72940000,0.42000000,0.57920000,1125242419.38999987,1125242419.38999987
2020-12-31,0.59800000,0.61830000,0.34140000,0.44130000,0.59800000,0.61830000,0.34140000,0.44130000,452423365.93999988,452423365.93999988
2020-11-30,0.44330000,0.73760000,0.40330000,0.59790000,0.44330000,0.73760000,0.40330000,0.59790000,625648015.41000009,625648015.41000009
2020-10-31,0.62810000,0.65340000,0.41800000,0.44370000,0.62810000,0.65340000,0.41800000,0.44370000,320832483.67000002,320832483.67000002
2020-09-30,0.88160000,0.92100000,0.54500000,0.62780000,0.88160000,0.92100000,0.54500000,0.62780000,828103268.26999998,828103268.26999998
