timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.91490000,1.37500000,0.85580000,1.18800000,0.91490000,1.37500000,0.85580000,1.18800000,89268272.80000000,89268272.80000000
2023-04-30,0.92600000,1.22500000,0.78000000,0.91450000,0.92600000,1.22500000,0.78000000,0.91450000,64553921.89999999,64553921.89999999
2023-03-31,1.04000000,1.20300000,0.79100000,0.92500000,1.04000000,1.20300000,0.79100000,0.92500000,19835620.30000000,19835620.30000000
2023-02-28,0.94600000,1.34000000,0.85800000,1.03700000,0.94600000,1.34000000,0.85800000,1.03700000,41594478.59999999,41594478.59999999
2023-01-31,0.71800000,1.03800000,0.71500000,0.94600000,0.71800000,1.03800000,0.71500000,0.94600000,20487417.20000000,20487417.20000000
2022-12-31,0.96200000,1.39000000,0.71000000,0.71900000,0.96200000,1.39000000,0.71000000,0.71900000,24604488.50000000,24604488.50000000
2022-11-30,1.10700000,1.55200000,0.81400000,0.96100000,1.10700000,1.55200000,0.81400000,0.96100000,42245650.09999999,42245650.09999999
2022-10-31,1.09800000,1.25200000,0.95500000,1.10600000,1.09800000,1.25200000,0.95500000,1.10600000,19486006.80000000,19486006.80000000
2022-09-30,1.16200000,1.28600000,0.98400000,1.09800000,1.16200000,1.28600000,0.98400000,1.09800000,24560358.00000000,24560358.00000000
2022-08-31,1.41300000,1.74200000,1.11800000,1.16000000,1.41300000,1.74200000,1.11800000,1.16000000,24175376.00000001,24175376.00000001
2022-07-31,1.23100000,1.78200000,1.03700000,1.41400000,1.23100000,1.78200000,1.03700000,1.41400000,61536117.89999998,61536117.89999998
2022-06-30,1.49400000,2.13900000,1.02700000,1.23300000,1.49400000,2.13900000,1.02700000,1.23300000,39137415.50000000,39137415.50000000
2022-05-31,2.50500000,2.87600000,1.12000000,1.49600000,2.50500000,2.87600000,1.12000000,1.49600000,33313249.69400000,33313249.69400000
2022-04-30,3.35500000,4.80000000,2.46800000,2.50500000,3.35500000,4.80000000,2.46800000,2.50500000,41252540.70000000,41252540.70000000
2022-03-31,3.33500000,4.81500000,2.76400000,3.35500000,3.33500000,4.81500000,2.76400000,3.35500000,30704868.50000000,30704868.50000000
2022-02-28,4.48200000,4.57200000,2.71300000,3.33300000,4.48200000,4.57200000,2.71300000,3.33300000,8746897.77300000,8746897.77300000
2022-01-31,6.42500000,6.97800000,3.06100000,4.48100000,6.42500000,6.97800000,3.06100000,4.48100000,15976232.40000000,15976232.40000000
2021-12-31,7.93900000,8.17700000,4.67200000,6.42400000,7.93900000,8.17700000,4.67200000,6.42400000,20706196.77200000,20706196.77200000
2021-11-30,7.79900000,9.59000000,6.56000000,7.93300000,7.79900000,9.59000000,6.56000000,7.93300000,25578745.49199999,25578745.49199999
2021-10-31,8.07600000,9.45900000,7.05100000,7.79400000,8.07600000,9.45900000,7.05100000,7.79400000,21403335.30000000,21403335.30000000
2021-09-30,8.28600000,13.18700000,6.70000000,8.07600000,8.28600000,13.18700000,6.70000000,8.07600000,42635503.85500001,42635503.85500001
2021-08-31,6.04800000,11.60000000,5.90100000,8.29000000,6.04800000,11.60000000,5.90100000,8.29000000,40428288.58500001,40428288.58500001
2021-07-31,5.89200000,6.34700000,3.60000000,6.03700000,5.89200000,6.34700000,3.60000000,6.03700000,14948578.10100000,14948578.10100000
2021-06-30,7.93900000,10.00000000,4.74500000,5.90200000,7.93900000,10.00000000,4.74500000,5.90200000,20130885.32200000,20130885.32200000
2021-05-31,14.85200000,19.22300000,4.92200000,7.94700000,14.85200000,19.22300000,4.92200000,7.94700000,27039714.13300000,27039714.13300000
2021-04-30,21.71690000,22.20010000,10.19030000,14.84900000,21.71690000,22.20010000,10.19030000,14.84900000,25277032.08200000,25277032.08200000
2021-03-31,11.23850000,29.85000000,11.10010000,21.71710000,11.23850000,29.85000000,11.10010000,21.71710000,19425876.88000000,19425876.88000000
2021-02-28,3.41210000,15.20000000,3.26000000,11.24580000,3.41210000,15.20000000,3.26000000,11.24580000,23601840.25000000,23601840.25000000
2021-01-31,2.14770000,3.90000000,1.85400000,3.40660000,2.14770000,3.90000000,1.85400000,3.40660000,12978009.54000000,12978009.54000000
2020-12-31,3.13600000,4.25000000,1.80000000,2.12800000,3.13600000,4.25000000,1.80000000,2.12800000,18008042.94000000,18008042.94000000
2020-11-30,1.41620000,3.54990000,1.34500000,3.10150000,1.41620000,3.54990000,1.34500000,3.10150000,10887312.25000000,10887312.25000000
2020-10-31,2.86430000,2.97000000,1.33400000,1.41610000,2.86430000,2.97000000,1.33400000,1.41610000,10333535.31000000,10333535.31000000
