timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-10,0.24280000,0.28180000,0.22930000,0.26960000,0.24280000,0.28180000,0.22930000,0.26960000,113946697.30000001,113946697.30000001
2022-09-30,0.19380000,0.48500000,0.17110000,0.24270000,0.19380000,0.48500000,0.17110000,0.24270000,770345584.00000000,770345584.00000000
2022-08-31,0.22210000,0.26600000,0.18220000,0.19350000,0.22210000,0.26600000,0.18220000,0.19350000,96749351.99999999,96749351.99999999
2022-07-31,0.18510000,0.25000000,0.17970000,0.22200000,0.18510000,0.25000000,0.17970000,0.22200000,203024439.90000004,203024439.90000004
2022-06-30,0.24150000,0.33560000,0.14800000,0.18450000,0.24150000,0.33560000,0.14800000,0.18450000,282439942.19999999,282439942.19999999
2022-05-31,0.34360000,0.37900000,0.14300000,0.24150000,0.34360000,0.37900000,0.14300000,0.24150000,190866003.79999998,190866003.79999998
2022-04-30,0.52190000,0.57810000,0.33960000,0.34360000,0.52190000,0.57810000,0.33960000,0.34360000,207980990.30000001,207980990.30000001
2022-03-31,0.40340000,0.53780000,0.36700000,0.52310000,0.40340000,0.53780000,0.36700000,0.52310000,214638694.69999993,214638694.69999993
2022-02-28,0.38670000,0.55060000,0.30020000,0.40330000,0.38670000,0.55060000,0.30020000,0.40330000,172524436.20000002,172524436.20000002
2022-01-31,0.47890000,0.66000000,0.29390000,0.38670000,0.47890000,0.66000000,0.29390000,0.38670000,277344228.30000001,277344228.30000001
2021-12-31,0.76710000,0.77840000,0.45440000,0.47880000,0.76710000,0.77840000,0.45440000,0.47880000,217495604.50000000,217495604.50000000
2021-11-30,0.70850000,0.94530000,0.59630000,0.76720000,0.70850000,0.94530000,0.59630000,0.76720000,632085046.60000002,632085046.60000002
2021-10-31,0.67370000,1.08000000,0.58750000,0.70850000,0.67370000,1.08000000,0.58750000,0.70850000,417051458.40000004,417051458.40000004
