timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.17600000,0.17980000,0.16640000,0.17040000,0.17600000,0.17980000,0.16640000,0.17040000,10563849.00000000,10563849.00000000
2023-04-30,0.19600000,0.23630000,0.16920000,0.17590000,0.19600000,0.23630000,0.16920000,0.17590000,189033685.00000000,189033685.00000000
2023-03-31,0.20890000,0.26400000,0.14810000,0.19640000,0.20890000,0.26400000,0.14810000,0.19640000,189810588.00000000,189810588.00000000
2023-02-28,0.17230000,0.28230000,0.15980000,0.20880000,0.17230000,0.28230000,0.15980000,0.20880000,371876978.00000000,371876978.00000000
2023-01-31,0.12260000,0.19670000,0.12030000,0.17240000,0.12260000,0.19670000,0.12030000,0.17240000,119595420.00000000,119595420.00000000
2022-12-31,0.15480000,0.17040000,0.11650000,0.12250000,0.15480000,0.17040000,0.11650000,0.12250000,236470193.00000000,236470193.00000000
2022-11-30,0.20450000,0.21960000,0.12190000,0.15500000,0.20450000,0.21960000,0.12190000,0.15500000,194415068.00000000,194415068.00000000
2022-10-31,0.19280000,0.21590000,0.16750000,0.20460000,0.19280000,0.21590000,0.16750000,0.20460000,109281434.00000000,109281434.00000000
2022-09-30,0.21180000,0.28640000,0.18520000,0.19290000,0.21180000,0.28640000,0.18520000,0.19290000,124655633.00000000,124655633.00000000
2022-08-31,0.25010000,0.29970000,0.19920000,0.21150000,0.25010000,0.29970000,0.19920000,0.21150000,117490522.00000000,117490522.00000000
2022-07-31,0.24240000,0.36760000,0.20830000,0.24980000,0.24240000,0.36760000,0.20830000,0.24980000,217595894.00000000,217595894.00000000
2022-06-30,0.28230000,0.39450000,0.17140000,0.24180000,0.28230000,0.39450000,0.17140000,0.24180000,417290976.00000000,417290976.00000000
2022-05-31,0.41400000,0.46210000,0.16600000,0.28270000,0.41400000,0.46210000,0.16600000,0.28270000,169688551.00000000,169688551.00000000
2022-04-30,0.59680000,0.73570000,0.41300000,0.41390000,0.59680000,0.73570000,0.41300000,0.41390000,169672846.00000000,169672846.00000000
2022-03-31,0.55960000,0.66660000,0.47020000,0.59770000,0.55960000,0.66660000,0.47020000,0.59770000,172170047.00000000,172170047.00000000
2022-02-28,0.54790000,0.62880000,0.41760000,0.55960000,0.54790000,0.62880000,0.41760000,0.55960000,172221628.00000000,172221628.00000000
2022-01-31,0.41630000,0.84700000,0.41570000,0.54870000,0.41630000,0.84700000,0.41570000,0.54870000,1013887480.00000000,1013887480.00000000
2021-12-31,0.60700000,0.72810000,0.36400000,0.41570000,0.60700000,0.72810000,0.36400000,0.41570000,187380805.00000000,187380805.00000000
