timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.83500000,2.89200000,2.68900000,2.72000000,2.83500000,2.89200000,2.68900000,2.72000000,1953478.60000000,1953478.60000000
2023-04-30,3.10600000,3.52100000,2.72300000,2.83400000,3.10600000,3.52100000,2.72300000,2.83400000,16596948.00000000,16596948.00000000
2023-03-31,3.20900000,3.87200000,2.35100000,3.10700000,3.20900000,3.87200000,2.35100000,3.10700000,29977673.80000000,29977673.80000000
2023-02-28,2.68700000,4.33100000,2.49500000,3.20800000,2.68700000,4.33100000,2.49500000,3.20800000,43777267.80000000,43777267.80000000
2023-01-31,1.83700000,2.85900000,1.82100000,2.68600000,1.83700000,2.85900000,1.82100000,2.68600000,22193394.80000000,22193394.80000000
2022-12-31,2.24000000,2.42300000,1.76500000,1.83200000,2.24000000,2.42300000,1.76500000,1.83200000,19219237.70000000,19219237.70000000
2022-11-30,2.86500000,3.08800000,1.86900000,2.23600000,2.86500000,3.08800000,1.86900000,2.23600000,19372736.55200000,19372736.55200000
2022-10-31,2.85100000,3.00300000,2.44100000,2.86800000,2.85100000,3.00300000,2.44100000,2.86800000,10034844.30000000,10034844.30000000
2022-09-30,3.11600000,3.44700000,2.71200000,2.84900000,3.11600000,3.44700000,2.71200000,2.84900000,16331815.10000000,16331815.10000000
2022-08-31,4.05900000,4.37300000,2.94100000,3.11700000,4.05900000,4.37300000,2.94100000,3.11700000,17654422.60000001,17654422.60000001
2022-07-31,2.82400000,5.25800000,2.50700000,4.05900000,2.82400000,5.25800000,2.50700000,4.05900000,40750639.30000000,40750639.30000000
2022-06-30,4.16600000,4.32500000,2.38200000,2.81700000,4.16600000,4.32500000,2.38200000,2.81700000,30645278.38000000,30645278.38000000
2022-05-31,5.31500000,6.11200000,3.12100000,4.16700000,5.31500000,6.11200000,3.12100000,4.16700000,40968710.08500000,40968710.08500000
2022-04-30,8.28100000,9.42800000,5.21100000,5.31600000,8.28100000,9.42800000,5.21100000,5.31600000,35698042.50000000,35698042.50000000
2022-03-31,6.48800000,9.64600000,5.47700000,8.27500000,6.48800000,9.64600000,5.47700000,8.27500000,55672976.40000000,55672976.40000000
2022-02-28,6.06100000,8.20000000,4.99200000,6.49100000,6.06100000,8.20000000,4.99200000,6.49100000,61157973.40000001,61157973.40000001
2022-01-31,8.71800000,10.18100000,4.94800000,6.06600000,8.71800000,10.18100000,4.94800000,6.06600000,39224423.18600000,39224423.18600000
2021-12-31,16.06600000,16.57200000,8.02300000,8.71600000,16.06600000,16.57200000,8.02300000,8.71600000,47708537.17600000,47708537.17600000
2021-11-30,15.84600000,19.30000000,13.27400000,16.06800000,15.84600000,19.30000000,13.27400000,16.06800000,85856942.02599999,85856942.02599999
2021-10-31,10.41200000,16.42400000,10.38900000,15.84600000,10.41200000,16.42400000,10.38900000,15.84600000,83345281.62000000,83345281.62000000
2021-09-30,12.41200000,17.00000000,8.53900000,10.40600000,12.41200000,17.00000000,8.53900000,10.40600000,76230195.70800000,76230195.70800000
2021-08-31,7.98300000,15.20000000,7.16100000,12.41400000,7.98300000,15.20000000,7.16100000,12.41400000,133369318.94399999,133369318.94399999
2021-07-31,7.68000000,8.50000000,4.82100000,7.98600000,7.68000000,8.50000000,4.82100000,7.98600000,50878958.60600001,50878958.60600001
2021-06-30,12.40100000,12.76600000,4.43900000,7.68000000,12.40100000,12.76600000,4.43900000,7.68000000,75364510.47999999,75364510.47999999
2021-05-31,15.01100000,35.68500000,6.37500000,12.40200000,15.01100000,35.68500000,6.37500000,12.40200000,236465754.06700003,236465754.06700003
2021-04-30,9.39300000,21.04500000,9.39300000,15.02100000,9.39300000,21.04500000,9.39300000,15.02100000,216861005.91699997,216861005.91699997
2021-03-31,4.85300000,9.62300000,4.82400000,9.38900000,4.85300000,9.62300000,4.82400000,9.38900000,182398556.31100005,182398556.31100005
2021-02-28,3.28000000,8.85000000,3.17200000,4.85500000,3.28000000,8.85000000,3.17200000,4.85500000,250925871.03600001,250925871.03600001
2021-01-31,2.22200000,4.18500000,2.18700000,3.28300000,2.22200000,4.18500000,2.18700000,3.28300000,191378830.86799994,191378830.86799994
2020-12-31,2.92900000,3.02200000,1.86400000,2.22200000,2.92900000,3.02200000,1.86400000,2.22200000,59131262.57499999,59131262.57499999
2020-11-30,1.96400000,3.28300000,1.75000000,2.93200000,1.96400000,3.28300000,1.75000000,2.93200000,104659004.50999998,104659004.50999998
2020-10-31,2.43600000,2.52700000,1.87700000,1.96400000,2.43600000,2.52700000,1.87700000,1.96400000,70572641.86500001,70572641.86500001
2020-09-30,3.35900000,3.77700000,2.13900000,2.43500000,3.35900000,3.77700000,2.13900000,2.43500000,161768745.63000003,161768745.63000003
