timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-12-22,5.95000000,8.21000000,4.44000000,4.73000000,5.95000000,8.21000000,4.44000000,4.73000000,1578828.59000000,1578828.59000000
2022-11-30,7.09000000,7.88000000,4.45000000,5.96000000,7.09000000,7.88000000,4.45000000,5.96000000,3525272.46000000,3525272.46000000
2022-10-31,7.07000000,8.81000000,6.20000000,7.09000000,7.07000000,8.81000000,6.20000000,7.09000000,3012992.47000000,3012992.47000000
2022-09-30,7.89000000,9.00000000,6.82000000,7.08000000,7.89000000,9.00000000,6.82000000,7.08000000,1732874.14000000,1732874.14000000
2022-08-31,8.79000000,10.12000000,7.37000000,7.88000000,8.79000000,10.12000000,7.37000000,7.88000000,2780772.44000000,2780772.44000000
2022-07-31,8.05000000,9.47000000,7.32000000,8.79000000,8.05000000,9.47000000,7.32000000,8.79000000,2178420.07000000,2178420.07000000
2022-06-30,10.86000000,11.06000000,5.81000000,8.08000000,10.86000000,11.06000000,5.81000000,8.08000000,7834062.56000000,7834062.56000000
2022-05-31,11.65000000,15.80000000,5.53000000,10.88000000,11.65000000,15.80000000,5.53000000,10.88000000,6400606.65500000,6400606.65500000
2022-04-30,16.09000000,18.20000000,11.54000000,11.65000000,16.09000000,18.20000000,11.54000000,11.65000000,1626104.26000000,1626104.26000000
2022-03-31,14.96000000,17.74000000,12.81000000,16.10000000,14.96000000,17.74000000,12.81000000,16.10000000,1705966.84000000,1705966.84000000
2022-02-28,13.04000000,20.53000000,12.44000000,14.95000000,13.04000000,20.53000000,12.44000000,14.95000000,3601837.98000000,3601837.98000000
2022-01-31,18.14000000,19.89000000,11.19000000,13.04000000,18.14000000,19.89000000,11.19000000,13.04000000,1452812.75200000,1452812.75200000
2021-12-31,21.99000000,23.22000000,15.26000000,18.11000000,21.99000000,23.22000000,15.26000000,18.11000000,2026768.70800000,2026768.70800000
2021-11-30,25.04000000,26.92000000,20.46000000,21.87000000,25.04000000,26.92000000,20.46000000,21.87000000,1757709.10000000,1757709.10000000
2021-10-31,20.31000000,28.59000000,20.17000000,25.04000000,20.31000000,28.59000000,20.17000000,25.04000000,2221525.06000000,2221525.06000000
2021-09-30,28.15000000,36.00000000,18.00000000,20.27000000,28.15000000,36.00000000,18.00000000,20.27000000,2559155.74100000,2559155.74100000
2021-08-31,26.28500000,34.74000000,23.81200000,28.11000000,26.28500000,34.74000000,23.81200000,28.11000000,4520016.00700000,4520016.00700000
2021-07-31,16.24200000,36.71900000,13.88400000,26.30000000,16.24200000,36.71900000,13.88400000,26.30000000,10729412.19800000,10729412.19800000
2021-06-30,24.20000000,27.50400000,9.45000000,16.24200000,24.20000000,27.50400000,9.45000000,16.24200000,4138108.86900000,4138108.86900000
2021-05-31,40.08700000,53.00000000,15.46000000,24.20300000,40.08700000,53.00000000,15.46000000,24.20300000,5218496.62900000,5218496.62900000
2021-04-30,40.47200000,60.12300000,26.73100000,40.03900000,40.47200000,60.12300000,26.73100000,40.03900000,5055522.22000000,5055522.22000000
2021-03-31,24.74300000,45.35600000,24.74200000,40.37300000,24.74300000,45.35600000,24.74200000,40.37300000,5251634.40400000,5251634.40400000
2021-02-28,18.17400000,45.21200000,17.70400000,24.62300000,18.17400000,45.21200000,17.70400000,24.62300000,5225440.76100000,5225440.76100000
2021-01-31,16.55300000,23.60000000,15.49000000,18.24200000,16.55300000,23.60000000,15.49000000,18.24200000,1888767.06800000,1888767.06800000
2020-12-31,15.43900000,35.86000000,13.80000000,16.54800000,15.43900000,35.86000000,13.80000000,16.54800000,2890476.92300000,2890476.92300000
2020-11-30,12.46800000,17.77700000,12.16400000,15.37000000,12.46800000,17.77700000,12.16400000,15.37000000,692463.75000000,692463.75000000
2020-10-31,14.30600000,15.30000000,11.77900000,12.49800000,14.30600000,15.30000000,11.77900000,12.49800000,243081.16400000,243081.16400000
2020-09-30,21.75400000,22.42800000,12.39200000,14.19600000,21.75400000,22.42800000,12.39200000,14.19600000,701826.20600000,701826.20600000
2020-08-31,19.84700000,30.00000000,4.80000000,21.89100000,19.84700000,30.00000000,4.80000000,21.89100000,1699330.54300000,1699330.54300000
2020-07-31,16.30000000,25.54900000,16.12800000,19.80200000,16.30000000,25.54900000,16.12800000,19.80200000,1631688.14800000,1631688.14800000
