timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.09310000,0.10100000,0.08970000,0.09000000,0.09310000,0.10100000,0.08970000,0.09000000,41522836.00000000,41522836.00000000
2023-04-30,0.09780000,0.12470000,0.08900000,0.09310000,0.09780000,0.12470000,0.08900000,0.09310000,259896085.00000000,259896085.00000000
2023-03-31,0.11000000,0.11500000,0.08340000,0.09770000,0.11000000,0.11500000,0.08340000,0.09770000,170070858.00000000,170070858.00000000
2023-02-28,0.10860000,0.12950000,0.09790000,0.11000000,0.10860000,0.12950000,0.09790000,0.11000000,268241375.00000000,268241375.00000000
2023-01-31,0.08470000,0.12270000,0.08450000,0.10870000,0.08470000,0.12270000,0.08450000,0.10870000,246027825.00000000,246027825.00000000
2022-12-31,0.09240000,0.10600000,0.08150000,0.08480000,0.09240000,0.10600000,0.08150000,0.08480000,254157802.00000000,254157802.00000000
2022-11-30,0.10980000,0.12250000,0.07480000,0.09260000,0.10980000,0.12250000,0.07480000,0.09260000,307491710.00000000,307491710.00000000
2022-10-31,0.10540000,0.18980000,0.08690000,0.10980000,0.10540000,0.18980000,0.08690000,0.10980000,766105206.00000000,766105206.00000000
2022-09-30,0.10950000,0.14000000,0.09830000,0.10520000,0.10950000,0.14000000,0.09830000,0.10520000,355001056.00000000,355001056.00000000
2022-08-31,0.13560000,0.14990000,0.10320000,0.10940000,0.13560000,0.14990000,0.10320000,0.10940000,180255817.00000000,180255817.00000000
2022-07-31,0.11550000,0.15680000,0.09770000,0.13560000,0.11550000,0.15680000,0.09770000,0.13560000,705953364.00000000,705953364.00000000
2022-06-30,0.12530000,0.15970000,0.06780000,0.11530000,0.12530000,0.15970000,0.06780000,0.11530000,909467897.00000000,909467897.00000000
2022-05-31,0.18540000,0.20860000,0.08950000,0.12530000,0.18540000,0.20860000,0.08950000,0.12530000,902824714.00000000,902824714.00000000
2022-04-30,0.25110000,0.33680000,0.18530000,0.18560000,0.25110000,0.33680000,0.18530000,0.18560000,476253323.00000000,476253323.00000000
2022-03-31,0.22040000,0.30800000,0.18510000,0.25120000,0.22040000,0.30800000,0.18510000,0.25120000,883716060.00000000,883716060.00000000
2022-02-28,0.22880000,0.31700000,0.17800000,0.22000000,0.22880000,0.31700000,0.17800000,0.22000000,603330459.00000000,603330459.00000000
2022-01-31,0.37100000,0.42100000,0.20240000,0.22920000,0.37100000,0.42100000,0.20240000,0.22920000,776874055.00000000,776874055.00000000
2021-12-31,0.45050000,0.88700000,0.33870000,0.37160000,0.45050000,0.88700000,0.33870000,0.37160000,2201703880.00000000,2201703880.00000000
2021-11-30,0.20500000,1.09900000,0.18650000,0.45120000,0.20500000,1.09900000,0.18650000,0.45120000,3001832421.00000000,3001832421.00000000
2021-10-31,0.18070000,0.35650000,0.17590000,0.20470000,0.18070000,0.35650000,0.17590000,0.20470000,815753967.00000000,815753967.00000000
2021-09-30,0.22680000,0.37800000,0.16560000,0.18070000,0.22680000,0.37800000,0.16560000,0.18070000,502127470.00000000,502127470.00000000
