timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.87000000,2.13200000,1.57700000,1.78400000,1.87000000,2.13200000,1.57700000,1.78400000,46532620.80000000,46532620.80000000
2023-04-30,1.72100000,1.99200000,1.46000000,1.87100000,1.72100000,1.99200000,1.46000000,1.87100000,59408612.10000000,59408612.10000000
2023-03-31,1.87100000,2.27800000,1.19700000,1.72200000,1.87100000,2.27800000,1.19700000,1.72200000,78963640.09999998,78963640.09999998
2023-02-28,1.72700000,2.37800000,1.61200000,1.87100000,1.72700000,2.37800000,1.61200000,1.87100000,88409151.19999999,88409151.19999999
2023-01-31,1.22400000,1.88200000,1.13900000,1.72600000,1.22400000,1.88200000,1.13900000,1.72600000,131922237.50000001,131922237.50000001
2022-12-31,1.08500000,1.43800000,1.00500000,1.22400000,1.08500000,1.43800000,1.00500000,1.22400000,104590736.40000001,104590736.40000001
2022-11-30,1.06000000,1.68300000,0.74800000,1.08600000,1.06000000,1.68300000,0.74800000,1.08600000,119635086.99999999,119635086.99999999
2022-10-31,1.19300000,1.30100000,1.00000000,1.06100000,1.19300000,1.30100000,1.00000000,1.06100000,25618763.50000000,25618763.50000000
2022-09-30,1.13900000,1.45400000,1.00900000,1.19300000,1.13900000,1.45400000,1.00900000,1.19300000,81401513.90000001,81401513.90000001
2022-08-31,0.99300000,1.95000000,0.93700000,1.13900000,0.99300000,1.95000000,0.93700000,1.13900000,166690142.69999996,166690142.69999996
2022-07-31,1.04100000,1.41800000,0.79700000,0.99300000,1.04100000,1.41800000,0.79700000,0.99300000,123780723.29999998,123780723.29999998
2022-06-30,0.98300000,1.27000000,0.56300000,1.04100000,0.98300000,1.27000000,0.56300000,1.04100000,82217880.69999999,82217880.69999999
2022-05-31,1.46800000,1.66400000,0.62000000,0.98100000,1.46800000,1.66400000,0.62000000,0.98100000,57848945.73999999,57848945.73999999
2022-04-30,2.24300000,2.61400000,1.38800000,1.46700000,2.24300000,2.61400000,1.38800000,1.46700000,48755010.70000000,48755010.70000000
2022-03-31,1.85700000,2.48500000,1.57700000,2.24300000,1.85700000,2.48500000,1.57700000,2.24300000,33650312.00000001,33650312.00000001
2022-02-28,1.94700000,2.46100000,1.36300000,1.85800000,1.94700000,2.46100000,1.36300000,1.85800000,29647027.09999999,29647027.09999999
2022-01-31,2.94000000,3.62700000,1.51700000,1.94900000,2.94000000,3.62700000,1.51700000,1.94900000,40920383.06000000,40920383.06000000
2021-12-31,4.02200000,5.70000000,2.54000000,2.94100000,4.02200000,5.70000000,2.54000000,2.94100000,79937252.77999997,79937252.77999997
2021-11-30,4.39700000,6.61400000,3.63400000,4.01400000,4.39700000,6.61400000,3.63400000,4.01400000,70931251.05000000,70931251.05000000
2021-10-31,3.47500000,4.98000000,3.45600000,4.39200000,3.47500000,4.98000000,3.45600000,4.39200000,56738307.50000000,56738307.50000000
2021-09-30,4.47400000,5.79300000,2.88800000,3.47400000,4.47400000,5.79300000,2.88800000,3.47400000,70425934.08000000,70425934.08000000
2021-08-31,3.31340000,5.53930000,3.14450000,4.47600000,3.31340000,5.53930000,3.14450000,4.47600000,109600840.72000001,109600840.72000001
2021-07-31,2.94450000,3.85720000,2.06360000,3.30930000,2.94450000,3.85720000,2.06360000,3.30930000,87003256.67000000,87003256.67000000
2021-06-30,4.85210000,5.88000000,2.19460000,2.94450000,4.85210000,5.88000000,2.19460000,2.94450000,121125553.95000002,121125553.95000002
2021-05-31,3.03730000,16.50000000,2.86510000,4.85580000,3.03730000,16.50000000,2.86510000,4.85580000,594134892.88999987,594134892.88999987
2021-04-30,2.66360000,3.28550000,1.74580000,3.04180000,2.66360000,3.28550000,1.74580000,3.04180000,132278918.73999999,132278918.73999999
2021-03-31,1.30250000,2.82990000,1.29440000,2.66260000,1.30250000,2.82990000,1.29440000,2.66260000,114519925.61999999,114519925.61999999
2021-02-28,1.19310000,2.59720000,1.15300000,1.29830000,1.19310000,2.59720000,1.15300000,1.29830000,142780420.16000000,142780420.16000000
2021-01-31,0.73150000,1.52940000,0.70310000,1.19150000,0.73150000,1.52940000,0.70310000,1.19150000,106895383.06000000,106895383.06000000
2020-12-31,1.02840000,1.08470000,0.67080000,0.73230000,1.02840000,1.08470000,0.67080000,0.73230000,34614461.38000000,34614461.38000000
2020-11-30,0.72690000,1.24000000,0.64340000,1.02710000,0.72690000,1.24000000,0.64340000,1.02710000,46527161.21000001,46527161.21000001
2020-10-31,0.90690000,1.08100000,0.70660000,0.72700000,0.90690000,1.08100000,0.70660000,0.72700000,38583294.67000000,38583294.67000000
2020-09-30,1.60110000,1.62330000,0.80850000,0.90460000,1.60110000,1.62330000,0.80850000,0.90460000,55919021.00000001,55919021.00000001
