timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.34200000,1.35800000,1.27500000,1.28700000,1.34200000,1.35800000,1.27500000,1.28700000,19020183.50000000,19020183.50000000
2023-04-30,1.43400000,1.71100000,1.29400000,1.34300000,1.43400000,1.71100000,1.29400000,1.34300000,142254540.20000002,142254540.20000002
2023-03-31,1.56800000,1.69700000,1.16200000,1.43300000,1.56800000,1.69700000,1.16200000,1.43300000,158960883.90000004,158960883.90000004
2023-02-28,1.76900000,1.97200000,1.55600000,1.56800000,1.76900000,1.97200000,1.55600000,1.56800000,142571789.79999998,142571789.79999998
2023-01-31,1.27400000,1.94200000,1.26600000,1.76800000,1.27400000,1.94200000,1.26600000,1.76800000,142990526.90000001,142990526.90000001
2022-12-31,1.29300000,1.49700000,1.25000000,1.27300000,1.29300000,1.49700000,1.25000000,1.27300000,97585935.19999999,97585935.19999999
2022-11-30,1.57700000,1.73000000,1.00300000,1.29300000,1.57700000,1.73000000,1.00300000,1.29300000,189409365.40000004,189409365.40000004
2022-10-31,1.57100000,1.69500000,1.36800000,1.57700000,1.57100000,1.69500000,1.36800000,1.57700000,127694892.90000001,127694892.90000001
2022-09-30,1.91500000,2.09000000,1.50400000,1.57000000,1.91500000,2.09000000,1.50400000,1.57000000,222950427.19999999,222950427.19999999
2022-08-31,2.59800000,3.14900000,1.82800000,1.91500000,2.59800000,3.14900000,1.82800000,1.91500000,390820158.20000011,390820158.20000011
2022-07-31,1.86900000,3.04800000,1.74800000,2.59900000,1.86900000,3.04800000,1.74800000,2.59900000,612203842.89999986,612203842.89999986
2022-06-30,3.15900000,3.29500000,1.43300000,1.86900000,3.15900000,3.29500000,1.43300000,1.86900000,433104658.83700007,433104658.83700007
2022-05-31,6.05200000,7.77700000,2.36400000,3.16000000,6.05200000,7.77700000,2.36400000,3.16000000,390084931.93199992,390084931.93199992
2022-04-30,11.47800000,12.57600000,5.83100000,6.05100000,11.47800000,12.57600000,5.83100000,6.05100000,236278886.60000002,236278886.60000002
2022-03-31,3.99800000,13.20300000,3.99800000,11.47100000,3.99800000,13.20300000,3.99800000,11.47100000,412896815.00000000,412896815.00000000
2022-02-28,4.12200000,5.22300000,3.01500000,4.00000000,4.12200000,5.22300000,3.01500000,4.00000000,92808080.14500003,92808080.14500003
2022-01-31,6.79700000,8.28600000,3.25700000,4.12400000,6.79700000,8.28600000,3.25700000,4.12400000,127561656.82499999,127561656.82499999
2021-12-31,11.29800000,11.64900000,5.76400000,6.79500000,11.29800000,11.64900000,5.76400000,6.79500000,110268580.12500000,110268580.12500000
2021-11-30,14.83900000,17.27000000,9.23500000,11.29700000,14.83900000,17.27000000,9.23500000,11.29700000,117795285.92699999,117795285.92699999
2021-10-31,6.97600000,15.00000000,6.84500000,14.85000000,6.97600000,15.00000000,6.84500000,14.85000000,146547131.03200001,146547131.03200001
2021-09-30,9.86600000,12.08600000,6.35100000,6.97400000,9.86600000,12.08600000,6.35100000,6.97400000,172067995.95600000,172067995.95600000
2021-08-31,6.48600000,12.47900000,5.77000000,9.86700000,6.48600000,12.47900000,5.77000000,9.86700000,325700774.70200002,325700774.70200002
2021-07-31,6.77300000,7.69800000,3.01000000,6.48700000,6.77300000,7.69800000,3.01000000,6.48700000,418478788.15899998,418478788.15899998
2021-06-30,12.61300000,13.72200000,4.48000000,6.77000000,12.61300000,13.72200000,4.48000000,6.77000000,263831992.70100001,263831992.70100001
2021-05-31,15.40000000,21.28000000,6.00000000,12.63100000,15.40000000,21.28000000,6.00000000,12.63100000,248945064.82299998,248945064.82299998
2021-04-30,7.93600000,17.06110000,7.91120000,15.40000000,7.93600000,17.06110000,7.91120000,15.40000000,156946508.98700002,156946508.98700002
2021-03-31,4.35800000,8.05000000,4.34610000,7.93600000,4.35800000,8.05000000,4.34610000,7.93600000,96096446.87999998,96096446.87999998
2021-02-28,3.61120000,5.77000000,3.01640000,4.35000000,3.61120000,5.77000000,3.01640000,4.35000000,179320218.68000001,179320218.68000001
2021-01-31,1.16900000,4.03860000,1.12000000,3.61100000,1.16900000,4.03860000,1.12000000,3.61100000,210784224.67999995,210784224.67999995
2020-12-31,0.85800000,1.26000000,0.76100000,1.16990000,0.85800000,1.26000000,0.76100000,1.16990000,169802615.36000001,169802615.36000001
2020-11-30,0.40460000,1.05000000,0.34750000,0.85790000,0.40460000,1.05000000,0.34750000,0.85790000,206513579.86999997,206513579.86999997
2020-10-31,0.48700000,0.63000000,0.35000000,0.40560000,0.48700000,0.63000000,0.35000000,0.40560000,127088506.02000003,127088506.02000003
