timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00403000,0.00404000,0.00375000,0.00379000,0.00403000,0.00404000,0.00375000,0.00379000,626881219.00000000,626881219.00000000
2023-04-30,0.00395000,0.00465000,0.00372000,0.00403000,0.00395000,0.00465000,0.00372000,0.00403000,7764660627.00000000,7764660627.00000000
2023-03-31,0.00445000,0.00456000,0.00316000,0.00395000,0.00445000,0.00456000,0.00316000,0.00395000,7196268765.00000000,7196268765.00000000
2023-02-28,0.00307000,0.00710000,0.00291000,0.00444000,0.00307000,0.00710000,0.00291000,0.00444000,21608431412.00000000,21608431412.00000000
2023-01-31,0.00226000,0.00399000,0.00224000,0.00308000,0.00226000,0.00399000,0.00224000,0.00308000,7926574380.00000000,7926574380.00000000
2022-12-31,0.00265000,0.00422000,0.00218000,0.00226000,0.00265000,0.00422000,0.00218000,0.00226000,12787213075.00000000,12787213075.00000000
2022-11-30,0.00333000,0.00365000,0.00213000,0.00264000,0.00333000,0.00365000,0.00213000,0.00264000,8365335188.00000000,8365335188.00000000
2022-10-31,0.00348000,0.00362000,0.00303000,0.00333000,0.00348000,0.00362000,0.00303000,0.00333000,2774465037.00000000,2774465037.00000000
2022-09-30,0.00405000,0.00428000,0.00337000,0.00347000,0.00405000,0.00428000,0.00337000,0.00347000,4019480698.00000000,4019480698.00000000
2022-08-31,0.00453000,0.00526000,0.00381000,0.00404000,0.00453000,0.00526000,0.00381000,0.00404000,8214804389.00000000,8214804389.00000000
2022-07-31,0.00370000,0.00500000,0.00360000,0.00453000,0.00370000,0.00500000,0.00360000,0.00453000,9888269907.00000000,9888269907.00000000
2022-06-30,0.00565000,0.00597000,0.00312000,0.00370000,0.00565000,0.00597000,0.00312000,0.00370000,13509700685.00000000,13509700685.00000000
2022-05-31,0.00818000,0.00913000,0.00350000,0.00565000,0.00818000,0.00913000,0.00350000,0.00565000,15857191089.00000000,15857191089.00000000
2022-04-30,0.01208000,0.01474000,0.00818000,0.00819000,0.01208000,0.01474000,0.00818000,0.00819000,11670695556.00000000,11670695556.00000000
2022-03-31,0.00967000,0.01350000,0.00816000,0.01208000,0.00967000,0.01350000,0.00816000,0.01208000,13015585697.00000000,13015585697.00000000
2022-02-28,0.00993000,0.01231000,0.00722000,0.00967000,0.00993000,0.01231000,0.00722000,0.00967000,10695029196.00000000,10695029196.00000000
2022-01-31,0.01518000,0.01655000,0.00829000,0.00994000,0.01518000,0.01655000,0.00829000,0.00994000,10354307745.00000000,10354307745.00000000
2021-12-31,0.02340000,0.02429000,0.01400000,0.01518000,0.02340000,0.02429000,0.01400000,0.01518000,15560619178.00000000,15560619178.00000000
2021-11-30,0.02045000,0.03000000,0.01756000,0.02340000,0.02045000,0.03000000,0.01756000,0.02340000,36292243321.00000000,36292243321.00000000
2021-10-31,0.01456000,0.02399000,0.01446000,0.02046000,0.01456000,0.02399000,0.01446000,0.02046000,30337351563.00000000,30337351563.00000000
2021-09-30,0.01970000,0.02764000,0.01320000,0.01456000,0.01970000,0.02764000,0.01320000,0.01456000,24097359344.00000000,24097359344.00000000
2021-08-31,0.01498800,0.02370000,0.01452700,0.01972000,0.01498800,0.02370000,0.01452700,0.01972000,34619277250.00000000,34619277250.00000000
2021-07-31,0.01331100,0.01544700,0.00930000,0.01497800,0.01331100,0.01544700,0.00930000,0.01497800,16011954109.00000000,16011954109.00000000
2021-06-30,0.01784000,0.02050000,0.00762400,0.01331100,0.01784000,0.02050000,0.00762400,0.01331100,25422098363.00000000,25422098363.00000000
2021-05-31,0.04081100,0.04500000,0.01196600,0.01784000,0.04081100,0.04500000,0.01196600,0.01784000,44067738182.00000000,44067738182.00000000
2021-04-30,0.02580800,0.06400000,0.02362600,0.04082800,0.02580800,0.06400000,0.02362600,0.04082800,96800868132.00000000,96800868132.00000000
2021-03-31,0.00963800,0.02930000,0.00946000,0.02580800,0.00963800,0.02930000,0.00946000,0.02580800,41391116759.00000000,41391116759.00000000
2021-02-28,0.00742300,0.01439500,0.00665500,0.00963700,0.00742300,0.01439500,0.00665500,0.00963700,24575423571.00000000,24575423571.00000000
2021-01-31,0.00311900,0.00995000,0.00309100,0.00742200,0.00311900,0.00995000,0.00309100,0.00742200,38097197739.00000000,38097197739.00000000
2020-12-31,0.00337900,0.00399600,0.00277700,0.00311400,0.00337900,0.00399600,0.00277700,0.00311400,5813764754.00000000,5813764754.00000000
2020-11-30,0.00247800,0.00411100,0.00229100,0.00337400,0.00247800,0.00411100,0.00229100,0.00337400,4494866605.00000000,4494866605.00000000
2020-10-31,0.00307400,0.00333500,0.00242000,0.00247000,0.00307400,0.00333500,0.00242000,0.00247000,2687087944.00000000,2687087944.00000000
2020-09-30,0.00455900,0.00471200,0.00242600,0.00307400,0.00455900,0.00471200,0.00242600,0.00307400,4389714449.00000000,4389714449.00000000
