timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00001008,0.00001020,0.00000918,0.00000930,0.00001008,0.00001020,0.00000918,0.00000930,14003124087695.00000000,14003124087695.00000000
2023-04-30,0.00001083,0.00001188,0.00000972,0.00001007,0.00001083,0.00001188,0.00000972,0.00001007,94688437886169.00000000,94688437886169.00000000
2023-03-31,0.00001201,0.00001243,0.00000965,0.00001083,0.00001201,0.00001243,0.00000965,0.00001083,142221817267469.00000000,142221817267469.00000000
2023-02-28,0.00001182,0.00001575,0.00001130,0.00001202,0.00001182,0.00001575,0.00001130,0.00001202,194818559836802.00000000,194818559836802.00000000
2023-01-31,0.00000808,0.00001294,0.00000800,0.00001181,0.00000808,0.00001294,0.00000800,0.00001181,201243946532045.00000000,201243946532045.00000000
2022-12-31,0.00000935,0.00001016,0.00000778,0.00000808,0.00000935,0.00001016,0.00000778,0.00000808,73603109639214.00000000,73603109639214.00000000
2022-11-30,0.00001244,0.00001366,0.00000817,0.00000935,0.00001244,0.00001366,0.00000817,0.00000935,173841716328371.00000000,173841716328371.00000000
2022-10-31,0.00001131,0.00001519,0.00000924,0.00001245,0.00001131,0.00001519,0.00000924,0.00001245,179424116206135.00000000,179424116206135.00000000
2022-09-30,0.00001210,0.00001395,0.00001000,0.00001131,0.00001210,0.00001395,0.00001000,0.00001131,152313425012254.00000000,152313425012254.00000000
2022-08-31,0.00001170,0.00001800,0.00001145,0.00001210,0.00001170,0.00001800,0.00001145,0.00001210,262948594621813.00000000,262948594621813.00000000
2022-07-31,0.00001035,0.00001315,0.00000976,0.00001170,0.00001035,0.00001315,0.00000976,0.00001170,173268529235248.00000000,173268529235248.00000000
2022-06-30,0.00001174,0.00001214,0.00000714,0.00001035,0.00001174,0.00001214,0.00000714,0.00001035,244247358419834.00000000,244247358419834.00000000
2022-05-31,0.00002017,0.00002215,0.00000907,0.00001173,0.00002017,0.00002215,0.00000907,0.00001173,298954536928045.00000000,298954536928045.00000000
2022-04-30,0.00002584,0.00003000,0.00001837,0.00002016,0.00002584,0.00003000,0.00001837,0.00002016,225520243911453.00000000,225520243911453.00000000
2022-03-31,0.00002580,0.00002966,0.00002120,0.00002585,0.00002580,0.00002966,0.00002120,0.00002585,241144875688883.00000000,241144875688883.00000000
2022-02-28,0.00002143,0.00003523,0.00002013,0.00002579,0.00002143,0.00003523,0.00002013,0.00002579,360103385930492.00000000,360103385930492.00000000
2022-01-31,0.00003337,0.00003445,0.00001704,0.00002142,0.00003337,0.00003445,0.00001704,0.00002142,245905488235780.00000000,245905488235780.00000000
2021-12-31,0.00004745,0.00004878,0.00002824,0.00003337,0.00004745,0.00004878,0.00002824,0.00003337,340855963039313.00000000,340855963039313.00000000
2021-11-30,0.00006697,0.00007494,0.00003560,0.00004744,0.00006697,0.00007494,0.00003560,0.00004744,718933774461381.00000000,718933774461381.00000000
2021-10-31,0.00000721,0.00008854,0.00000716,0.00006697,0.00000721,0.00008854,0.00000716,0.00006697,2095553140592139.00000000,2095553140592139.00000000
2021-09-30,0.00000686,0.00000950,0.00000510,0.00000720,0.00000686,0.00000950,0.00000510,0.00000720,459620043033890.00000000,459620043033890.00000000
2021-08-31,0.00000625,0.00000948,0.00000611,0.00000686,0.00000625,0.00000948,0.00000611,0.00000686,434350058008313.00000000,434350058008313.00000000
2021-07-31,0.00000882,0.00000933,0.00000570,0.00000625,0.00000882,0.00000933,0.00000570,0.00000625,311249479682305.00000000,311249479682305.00000000
2021-06-30,0.00000928,0.00001049,0.00000551,0.00000882,0.00000928,0.00001049,0.00000551,0.00000882,801652599182058.00000000,801652599182058.00000000
