timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.42700000,2.58400000,2.30500000,2.36800000,2.42700000,2.58400000,2.30500000,2.36800000,14389011.40000000,14389011.40000000
2023-04-30,2.55700000,3.08900000,2.26300000,2.42800000,2.55700000,3.08900000,2.26300000,2.42800000,119714557.19999999,119714557.19999999
2023-03-31,2.78300000,3.39000000,1.98700000,2.55700000,2.78300000,3.39000000,1.98700000,2.55700000,278281134.20000005,278281134.20000005
2023-02-28,2.30300000,3.10000000,2.18900000,2.78400000,2.30300000,3.10000000,2.18900000,2.78400000,142590208.79999998,142590208.79999998
2023-01-31,1.43800000,2.73000000,1.42600000,2.30200000,1.43800000,2.73000000,1.42600000,2.30200000,86914804.09999999,86914804.09999999
2022-12-31,1.73400000,2.06000000,1.39600000,1.43600000,1.73400000,2.06000000,1.39600000,1.43600000,72427913.29999998,72427913.29999998
2022-11-30,2.50400000,2.79500000,1.54200000,1.73300000,2.50400000,2.79500000,1.54200000,1.73300000,113993149.10000001,113993149.10000001
2022-10-31,2.37900000,2.61800000,1.86300000,2.50400000,2.37900000,2.61800000,1.86300000,2.50400000,91128069.80000003,91128069.80000003
2022-09-30,2.95700000,3.26000000,2.15600000,2.37700000,2.95700000,3.26000000,2.15600000,2.37700000,93078416.80000001,93078416.80000001
2022-08-31,3.56200000,4.40400000,2.60700000,2.95700000,3.56200000,4.40400000,2.60700000,2.95700000,139059116.50000000,139059116.50000000
2022-07-31,2.28300000,4.44000000,2.16000000,3.56200000,2.28300000,4.44000000,2.16000000,3.56200000,159191539.19999996,159191539.19999996
2022-06-30,3.12700000,3.72300000,1.42600000,2.28400000,3.12700000,3.72300000,1.42600000,2.28400000,181096687.15100002,181096687.15100002
2022-05-31,4.37200000,5.50000000,2.17700000,3.12500000,4.37200000,5.50000000,2.17700000,3.12500000,102558844.06599997,102558844.06599997
2022-04-30,6.81500000,8.19000000,4.22900000,4.37200000,6.81500000,8.19000000,4.22900000,4.37200000,95424644.09999999,95424644.09999999
2022-03-31,4.15400000,7.26100000,3.45600000,6.81000000,4.15400000,7.26100000,3.45600000,6.81000000,89386082.00000001,89386082.00000001
2022-02-28,5.73300000,6.07000000,3.32100000,4.15300000,5.73300000,6.07000000,3.32100000,4.15300000,49988683.22500000,49988683.22500000
2022-01-31,5.48900000,7.46000000,3.50400000,5.73200000,5.48900000,7.46000000,3.50400000,5.73200000,80037964.91100000,80037964.91100000
2021-12-31,7.66000000,7.76600000,4.40000000,5.48500000,7.66000000,7.76600000,4.40000000,5.48500000,73890112.32300001,73890112.32300001
2021-11-30,10.13900000,11.80000000,7.08400000,7.65200000,10.13900000,11.80000000,7.08400000,7.65200000,53673850.73100001,53673850.73100001
2021-10-31,9.60300000,11.47400000,8.75000000,10.14000000,9.60300000,11.47400000,8.75000000,10.14000000,51916202.29400001,51916202.29400001
2021-09-30,11.57000000,15.85000000,9.00000000,9.60000000,11.57000000,15.85000000,9.00000000,9.60000000,75668719.52700000,75668719.52700000
2021-08-31,10.13700000,14.53300000,8.82400000,11.57300000,10.13700000,14.53300000,8.82400000,11.57300000,72822913.93999998,72822913.93999998
2021-07-31,7.34300000,13.65000000,6.41900000,10.13800000,7.34300000,13.65000000,6.41900000,10.13800000,100325325.88300002,100325325.88300002
2021-06-30,13.31200000,14.08900000,5.55000000,7.34800000,13.31200000,14.08900000,5.55000000,7.34800000,41549242.61699999,41549242.61699999
2021-05-31,18.18700000,25.83700000,9.40000000,13.31600000,18.18700000,25.83700000,9.40000000,13.31600000,95272558.69100000,95272558.69100000
2021-04-30,17.65300000,23.12200000,12.99100000,18.19700000,17.65300000,23.12200000,12.99100000,18.19700000,34513605.80200000,34513605.80200000
2021-03-31,18.71900000,24.39000000,15.41900000,17.65800000,18.71900000,24.39000000,15.41900000,17.65800000,23700788.07700000,23700788.07700000
2021-02-28,17.19700000,28.98100000,13.90000000,18.72700000,17.19700000,28.98100000,13.90000000,18.72700000,54084263.06200000,54084263.06200000
2021-01-31,7.23000000,19.60000000,7.15400000,17.19400000,7.23000000,19.60000000,7.15400000,17.19400000,66947216.77599999,66947216.77599999
2020-12-31,4.75300000,8.77100000,4.12600000,7.23000000,4.75300000,8.77100000,4.12600000,7.23000000,61005722.99200000,61005722.99200000
2020-11-30,3.01400000,5.83000000,2.47000000,4.74000000,3.01400000,5.83000000,2.47000000,4.74000000,46234716.13299999,46234716.13299999
2020-10-31,4.73400000,4.99400000,2.93500000,3.01700000,4.73400000,4.99400000,2.93500000,3.01700000,19261409.58600000,19261409.58600000
2020-09-30,7.33600000,7.88000000,3.46100000,4.73800000,7.33600000,7.88000000,3.46100000,4.73800000,40766664.52999999,40766664.52999999
