timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,22.73000000,23.23000000,21.23000000,21.66000000,22.73000000,23.23000000,21.23000000,21.66000000,22788660.00000000,22788660.00000000
2023-04-30,21.15000000,26.00000000,19.85000000,22.74000000,21.15000000,26.00000000,19.85000000,22.74000000,115970002.98000000,115970002.98000000
2023-03-31,21.88000000,23.91000000,16.00000000,21.16000000,21.88000000,23.91000000,16.00000000,21.16000000,160787018.84000006,160787018.84000006
2023-02-28,23.93000000,27.12000000,19.68000000,21.89000000,23.93000000,27.12000000,19.68000000,21.89000000,146032257.04000002,146032257.04000002
2023-01-31,9.97000000,26.80000000,9.69000000,23.92000000,9.97000000,26.80000000,9.69000000,23.92000000,265361306.87000000,265361306.87000000
2022-12-31,14.17000000,14.96000000,8.00000000,9.97000000,14.17000000,14.96000000,8.00000000,9.97000000,101407945.88099995,101407945.88099995
2022-11-30,32.57000000,38.79000000,10.94000000,14.16000000,32.57000000,38.79000000,10.94000000,14.16000000,242970327.35400003,242970327.35400003
2022-10-31,33.25000000,34.50000000,26.84000000,32.56000000,33.25000000,34.50000000,26.84000000,32.56000000,67498109.73000002,67498109.73000002
2022-09-30,31.49000000,39.01000000,30.01000000,33.25000000,31.49000000,39.01000000,30.01000000,33.25000000,90360960.97000000,90360960.97000000
2022-08-31,42.34000000,48.38000000,30.00000000,31.50000000,42.34000000,48.38000000,30.00000000,31.50000000,114866446.85999997,114866446.85999997
2022-07-31,33.76000000,47.36000000,31.82000000,42.35000000,33.76000000,47.36000000,31.82000000,42.35000000,141628326.49000001,141628326.49000001
2022-06-30,45.78000000,46.12000000,25.86000000,33.76000000,45.78000000,46.12000000,25.86000000,33.76000000,198231660.37700000,198231660.37700000
2022-05-31,84.63000000,95.25000000,37.37000000,45.77000000,84.63000000,95.25000000,37.37000000,45.77000000,148459052.97899997,148459052.97899997
2022-04-30,122.79000000,143.51000000,81.91000000,84.63000000,122.79000000,143.51000000,81.91000000,84.63000000,74743724.67000000,74743724.67000000
2022-03-31,99.67000000,129.50000000,77.65000000,122.77000000,99.67000000,129.50000000,77.65000000,122.77000000,88732620.19000000,88732620.19000000
2022-02-28,99.50000000,121.93000000,75.35000000,99.68000000,99.50000000,121.93000000,75.35000000,99.68000000,81834353.15000001,81834353.15000001
2022-01-31,170.01000000,179.53000000,80.83000000,99.49000000,170.01000000,179.53000000,80.83000000,99.49000000,70430245.73999999,70430245.73999999
2021-12-31,208.52000000,243.12000000,148.04000000,169.99000000,208.52000000,243.12000000,148.04000000,169.99000000,60434462.77999998,60434462.77999998
2021-11-30,202.53000000,259.90000000,180.93000000,208.53000000,202.53000000,259.90000000,180.93000000,208.53000000,68861296.53399998,68861296.53399998
2021-10-31,141.38000000,218.93000000,137.61000000,202.49000000,141.38000000,218.93000000,137.61000000,202.49000000,114605196.60999998,114605196.60999998
2021-09-30,108.27000000,216.00000000,105.89000000,141.37000000,108.27000000,216.00000000,105.89000000,141.37000000,236133266.19200000,236133266.19200000
2021-08-31,36.74200000,130.11000000,32.32700000,108.27000000,36.74200000,130.11000000,32.32700000,108.27000000,181725369.04700002,181725369.04700002
2021-07-31,35.51000000,38.10000000,22.10000000,36.74400000,35.51000000,38.10000000,22.10000000,36.74400000,102288822.59400001,102288822.59400001
2021-06-30,32.75900000,44.20000000,20.18700000,35.51000000,32.75900000,44.20000000,20.18700000,35.51000000,199216801.65299997,199216801.65299997
2021-05-31,42.78600000,58.38000000,19.11700000,32.75000000,42.78600000,58.38000000,19.11700000,32.75000000,249386628.95000002,249386628.95000002
2021-04-30,19.38180000,48.64400000,18.34500000,42.78600000,19.38180000,48.64400000,18.34500000,42.78600000,180922013.72200003,180922013.72200003
2021-03-31,13.08000000,20.87000000,11.90000000,19.38610000,13.08000000,20.87000000,11.90000000,19.38610000,90104218.62000002,90104218.62000002
2021-02-28,4.25680000,18.20520000,4.10750000,13.08870000,4.25680000,18.20520000,4.10750000,13.08870000,170066006.82000002,170066006.82000002
2021-01-31,1.50880000,4.80500000,1.49900000,4.25250000,1.50880000,4.80500000,1.49900000,4.25250000,228385834.98000002,228385834.98000002
2020-12-31,1.96410000,2.22790000,1.03010000,1.50730000,1.96410000,2.22790000,1.03010000,1.50730000,61945745.78999998,61945745.78999998
2020-11-30,1.54970000,2.51000000,1.27330000,1.96650000,1.54970000,2.51000000,1.27330000,1.96650000,76292964.66000000,76292964.66000000
2020-10-31,2.89670000,2.98890000,1.31630000,1.54970000,2.89670000,2.98890000,1.31630000,1.54970000,48387220.25000001,48387220.25000001
2020-09-30,4.74320000,4.94750000,2.09260000,2.89670000,4.74320000,4.94750000,2.09260000,2.89670000,78974725.90000001,78974725.90000001
