timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.21380000,0.21760000,0.20110000,0.20530000,0.21380000,0.21760000,0.20110000,0.20530000,10965914.30000000,10965914.30000000
2023-04-30,0.21360000,0.35500000,0.20130000,0.21390000,0.21360000,0.35500000,0.20130000,0.21390000,366234431.69999987,366234431.69999987
2023-03-31,0.23560000,0.24960000,0.16480000,0.21380000,0.23560000,0.24960000,0.16480000,0.21380000,62844711.39999998,62844711.39999998
2023-02-28,0.19100000,0.25970000,0.18540000,0.23520000,0.19100000,0.25970000,0.18540000,0.23520000,124573234.50000001,124573234.50000001
2023-01-31,0.14500000,0.25100000,0.14290000,0.19140000,0.14500000,0.25100000,0.14290000,0.19140000,88308466.30000004,88308466.30000004
2022-12-31,0.17930000,0.19630000,0.13840000,0.14550000,0.17930000,0.19630000,0.13840000,0.14550000,56563513.80000001,56563513.80000001
2022-11-30,0.23560000,0.25310000,0.13870000,0.17920000,0.23560000,0.25310000,0.13870000,0.17920000,60553290.50000000,60553290.50000000
2022-10-31,0.21870000,0.26850000,0.20900000,0.23560000,0.21870000,0.26850000,0.20900000,0.23560000,72365666.79999998,72365666.79999998
2022-09-30,0.22900000,0.28280000,0.20350000,0.21810000,0.22900000,0.28280000,0.20350000,0.21810000,99745457.49999997,99745457.49999997
2022-08-31,0.25610000,0.32000000,0.20940000,0.22910000,0.25610000,0.32000000,0.20940000,0.22910000,93966336.00000000,93966336.00000000
2022-07-31,0.21800000,0.48000000,0.18440000,0.25630000,0.21800000,0.48000000,0.18440000,0.25630000,214596321.90000001,214596321.90000001
2022-06-30,0.27000000,0.39880000,0.16930000,0.21770000,0.27000000,0.39880000,0.16930000,0.21770000,197404750.00000000,197404750.00000000
2022-05-31,0.37970000,0.49750000,0.15650000,0.27000000,0.37970000,0.49750000,0.15650000,0.27000000,118582888.99999999,118582888.99999999
