timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.35040000,0.35110000,0.33030000,0.33240000,0.35040000,0.35110000,0.33030000,0.33240000,9422328.00000000,9422328.00000000
2023-04-30,0.38930000,0.43840000,0.33490000,0.35030000,0.38930000,0.43840000,0.33490000,0.35030000,152287499.00000000,152287499.00000000
2023-03-31,0.42590000,0.44570000,0.28500000,0.38930000,0.42590000,0.44570000,0.28500000,0.38930000,152001425.00000000,152001425.00000000
2023-02-28,0.36040000,0.52790000,0.31180000,0.42570000,0.36040000,0.52790000,0.31180000,0.42570000,423859039.00000000,423859039.00000000
2023-01-31,0.24640000,0.41300000,0.24290000,0.36050000,0.24640000,0.41300000,0.24290000,0.36050000,229418318.00000000,229418318.00000000
2022-12-31,0.34130000,0.36160000,0.23850000,0.24660000,0.34130000,0.36160000,0.23850000,0.24660000,144081906.00000000,144081906.00000000
2022-11-30,0.43800000,0.53370000,0.27390000,0.34180000,0.43800000,0.53370000,0.27390000,0.34180000,267689833.00000000,267689833.00000000
2022-10-31,0.44910000,0.51650000,0.37220000,0.43830000,0.44910000,0.51650000,0.37220000,0.43830000,119145210.00000000,119145210.00000000
2022-09-30,0.55180000,0.58600000,0.43580000,0.44890000,0.55180000,0.58600000,0.43580000,0.44890000,120704738.00000000,120704738.00000000
2022-08-31,0.68640000,0.78290000,0.51720000,0.55180000,0.68640000,0.78290000,0.51720000,0.55180000,227705287.00000000,227705287.00000000
2022-07-31,0.69930000,0.83990000,0.55940000,0.68710000,0.69930000,0.83990000,0.55940000,0.68710000,283617088.00000000,283617088.00000000
2022-06-30,0.58420000,1.03000000,0.32920000,0.69960000,0.58420000,1.03000000,0.32920000,0.69960000,527794986.00000000,527794986.00000000
2022-05-31,0.84240000,0.96580000,0.36500000,0.58380000,0.84240000,0.96580000,0.36500000,0.58380000,176205339.66000000,176205339.66000000
2022-04-30,1.33790000,1.65220000,0.80010000,0.84270000,1.33790000,1.65220000,0.80010000,0.84270000,182458007.00000000,182458007.00000000
2022-03-31,1.04250000,1.52960000,0.86330000,1.33610000,1.04250000,1.52960000,0.86330000,1.33610000,138961769.00000000,138961769.00000000
2022-02-28,1.16140000,1.41550000,0.77140000,1.04120000,1.16140000,1.41550000,0.77140000,1.04120000,45856966.25000000,45856966.25000000
2022-01-31,1.74450000,2.02930000,0.92530000,1.16340000,1.74450000,2.02930000,0.92530000,1.16340000,88510490.36000000,88510490.36000000
2021-12-31,2.63240000,2.63700000,1.34390000,1.74540000,2.63240000,2.63700000,1.34390000,1.74540000,206988939.00000000,206988939.00000000
2021-11-30,2.02780000,3.51670000,1.36170000,2.62790000,2.02780000,3.51670000,1.36170000,2.62790000,803702382.64999998,803702382.64999998
2021-10-31,1.09670000,2.98640000,1.07240000,2.02990000,1.09670000,2.98640000,1.07240000,2.02990000,473346507.86000001,473346507.86000001
2021-09-30,1.47480000,2.04190000,0.97330000,1.09660000,1.47480000,2.04190000,0.97330000,1.09660000,178716063.73000002,178716063.73000002
2021-08-31,1.04080000,1.75000000,0.96430000,1.47510000,1.04080000,1.75000000,0.96430000,1.47510000,246035736.06999999,246035736.06999999
2021-07-31,0.84370000,1.13040000,0.67320000,1.04140000,0.84370000,1.13040000,0.67320000,1.04140000,253938146.75000006,253938146.75000006
2021-06-30,1.09330000,1.30110000,0.50440000,0.84400000,1.09330000,1.30110000,0.50440000,0.84400000,194360816.11000004,194360816.11000004
2021-05-31,2.07720000,2.73400000,0.69390000,1.09340000,2.07720000,2.73400000,0.69390000,1.09340000,454181356.60000002,454181356.60000002
2021-04-30,2.81780000,3.75000000,1.25750000,2.07880000,2.81780000,3.75000000,1.25750000,2.07880000,557413553.33000004,557413553.33000004
2021-03-31,0.64310000,3.83300000,0.60330000,2.81500000,0.64310000,3.83300000,0.60330000,2.81500000,1187044159.89000034,1187044159.89000034
2021-02-28,0.42950000,0.92770000,0.41160000,0.64310000,0.42950000,0.92770000,0.41160000,0.64310000,368502409.31999999,368502409.31999999
2021-01-31,0.29050000,0.48600000,0.27890000,0.42920000,0.29050000,0.48600000,0.27890000,0.42920000,331270534.36000001,331270534.36000001
2020-12-31,0.35330000,0.40400000,0.25230000,0.29090000,0.35330000,0.40400000,0.25230000,0.29090000,97090625.38999999,97090625.38999999
2020-11-30,0.31760000,0.45260000,0.26000000,0.35350000,0.31760000,0.45260000,0.26000000,0.35350000,131885707.56000003,131885707.56000003
2020-10-31,0.51290000,0.66570000,0.31000000,0.31780000,0.51290000,0.66570000,0.31000000,0.31780000,172674250.43000001,172674250.43000001
2020-09-30,0.60330000,0.63000000,0.29710000,0.51290000,0.60330000,0.63000000,0.29710000,0.51290000,145197840.38000003,145197840.38000003
