timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-06-08,0.00196500,0.00420000,0.00194100,0.00339700,0.00196500,0.00420000,0.00194100,0.00339700,8676537551.00000000,8676537551.00000000
2020-05-31,0.00110300,0.00230000,0.00089400,0.00196600,0.00110300,0.00230000,0.00089400,0.00196600,6129943035.00000000,6129943035.00000000
2020-04-30,0.00111500,0.00127700,0.00099300,0.00111200,0.00111500,0.00127700,0.00099300,0.00111200,1317984010.00000000,1317984010.00000000
2020-03-31,0.00116100,0.00145600,0.00049600,0.00112700,0.00116100,0.00145600,0.00049600,0.00112700,2954165632.00000000,2954165632.00000000
2020-02-29,0.00101300,0.00251400,0.00097500,0.00116100,0.00101300,0.00251400,0.00097500,0.00116100,3421953522.00000000,3421953522.00000000
2020-01-31,0.00103500,0.00122100,0.00096200,0.00101300,0.00103500,0.00122100,0.00096200,0.00101300,1004666336.00000000,1004666336.00000000
2019-12-31,0.00135700,0.00161300,0.00102600,0.00104000,0.00135700,0.00161300,0.00102600,0.00104000,1938938694.00000000,1938938694.00000000
2019-11-30,0.00132300,0.00189000,0.00121100,0.00135000,0.00132300,0.00189000,0.00121100,0.00135000,2374271425.00000000,2374271425.00000000
2019-10-31,0.00122000,0.00147100,0.00114500,0.00134900,0.00122000,0.00147100,0.00114500,0.00134900,671979575.00000000,671979575.00000000
2019-09-30,0.00156800,0.00230900,0.00103000,0.00122000,0.00156800,0.00230900,0.00103000,0.00122000,388338053.00000000,388338053.00000000
