timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.71750000,0.82770000,0.66830000,0.74530000,0.71750000,0.82770000,0.66830000,0.74530000,188776541.29999998,188776541.29999998
2023-04-30,0.93050000,1.01000000,0.67020000,0.71760000,0.93050000,1.01000000,0.67020000,0.71760000,536756128.69999999,536756128.69999999
2023-03-31,0.88700000,1.31150000,0.52130000,0.93070000,0.88700000,1.31150000,0.52130000,0.93070000,1864832092.60000014,1864832092.60000014
2023-02-28,0.27600000,0.97900000,0.26600000,0.88670000,0.27600000,0.97900000,0.26600000,0.88670000,1239944119.59999967,1239944119.59999967
2023-01-31,0.20900000,0.31200000,0.20700000,0.27600000,0.20900000,0.31200000,0.20700000,0.27600000,138796967.29999998,138796967.29999998
2022-12-31,0.25500000,0.38000000,0.20400000,0.20900000,0.25500000,0.38000000,0.20400000,0.20900000,183796768.59999999,183796768.59999999
2022-11-30,0.31800000,0.35900000,0.19900000,0.25500000,0.31800000,0.35900000,0.19900000,0.25500000,160007339.59999999,160007339.59999999
2022-10-31,0.32400000,0.34500000,0.28300000,0.31800000,0.32400000,0.34500000,0.28300000,0.31800000,55052899.00000000,55052899.00000000
2022-09-30,0.36400000,0.43900000,0.31400000,0.32400000,0.36400000,0.43900000,0.31400000,0.32400000,64671872.30000000,64671872.30000000
2022-08-31,0.44100000,0.54400000,0.35200000,0.36400000,0.44100000,0.54400000,0.35200000,0.36400000,101359712.70000000,101359712.70000000
2022-07-31,0.41000000,0.48300000,0.34600000,0.44100000,0.41000000,0.48300000,0.34600000,0.44100000,114333933.49999997,114333933.49999997
2022-06-30,0.56500000,0.58700000,0.30200000,0.41000000,0.56500000,0.58700000,0.30200000,0.41000000,169778808.89999995,169778808.89999995
2022-05-31,0.91800000,1.01700000,0.46000000,0.56400000,0.91800000,1.01700000,0.46000000,0.56400000,116923961.94000003,116923961.94000003
2022-04-30,1.43800000,1.57500000,0.91600000,0.91800000,1.43800000,1.57500000,0.91600000,0.91800000,78794040.30000001,78794040.30000001
2022-03-31,1.24800000,1.94000000,1.03400000,1.43900000,1.24800000,1.94000000,1.03400000,1.43900000,215099203.69999996,215099203.69999996
2022-02-28,1.49400000,1.78400000,0.97300000,1.24600000,1.49400000,1.78400000,0.97300000,1.24600000,72528814.30000001,72528814.30000001
2022-01-31,2.16700000,2.90000000,1.17800000,1.49400000,2.16700000,2.90000000,1.17800000,1.49400000,164284734.00000003,164284734.00000003
2021-12-31,2.77200000,3.25600000,1.75800000,2.16600000,2.77200000,3.25600000,1.75800000,2.16600000,159653223.10000002,159653223.10000002
2021-11-30,1.84300000,2.83000000,1.77700000,2.77300000,1.84300000,2.83000000,1.77700000,2.77300000,223008126.00000000,223008126.00000000
2021-10-31,1.20000000,2.81500000,1.17400000,1.84300000,1.20000000,2.81500000,1.17400000,1.84300000,367047413.74999988,367047413.74999988
2021-09-30,1.43200000,1.77500000,1.10400000,1.20000000,1.43200000,1.77500000,1.10400000,1.20000000,149755526.45000002,149755526.45000002
2021-08-31,1.26610000,1.59000000,1.19850000,1.43000000,1.26610000,1.59000000,1.19850000,1.43000000,137627826.92000002,137627826.92000002
2021-07-31,0.79130000,1.47090000,0.73080000,1.26610000,0.79130000,1.47090000,0.73080000,1.26610000,273043334.65999997,273043334.65999997
2021-06-30,0.99830000,1.08940000,0.50000000,0.78970000,0.99830000,1.08940000,0.50000000,0.78970000,180044532.53000000,180044532.53000000
2021-05-31,2.18260000,2.21950000,0.75000000,0.99830000,2.18260000,2.21950000,0.75000000,0.99830000,229456466.17000002,229456466.17000002
2021-04-30,1.21550000,2.84990000,1.10790000,2.18360000,1.21550000,2.84990000,1.10790000,2.18360000,433153216.94000000,433153216.94000000
2021-03-31,0.93160000,1.44980000,0.92220000,1.21470000,0.93160000,1.44980000,0.92220000,1.21470000,247521122.33999997,247521122.33999997
2021-02-28,0.42860000,1.19960000,0.41090000,0.93150000,0.42860000,1.19960000,0.41090000,0.93150000,478330096.58000004,478330096.58000004
2021-01-31,0.39600000,0.59800000,0.38670000,0.42760000,0.39600000,0.59800000,0.38670000,0.42760000,311624198.76000005,311624198.76000005
2020-12-31,0.24200000,0.45000000,0.22430000,0.39600000,0.24200000,0.45000000,0.22430000,0.39600000,262727663.49000001,262727663.49000001
2020-11-30,0.16030000,0.28980000,0.14010000,0.24200000,0.16030000,0.28980000,0.14010000,0.24200000,156516167.03000003,156516167.03000003
2020-10-31,0.16150000,0.18600000,0.13650000,0.16050000,0.16150000,0.18600000,0.13650000,0.16050000,51476130.58999999,51476130.58999999
2020-09-30,0.24990000,0.27210000,0.14300000,0.16140000,0.24990000,0.27210000,0.14300000,0.16140000,183558286.57000002,183558286.57000002
