timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.14890000,0.15460000,0.13320000,0.13340000,0.14890000,0.15460000,0.13320000,0.13340000,20410558.00000000,20410558.00000000
2023-04-30,0.16710000,0.18800000,0.14080000,0.14880000,0.16710000,0.18800000,0.14080000,0.14880000,150821780.00000000,150821780.00000000
2023-03-31,0.17520000,0.20130000,0.13180000,0.16700000,0.17520000,0.20130000,0.13180000,0.16700000,168010645.00000000,168010645.00000000
2023-02-28,0.16320000,0.23800000,0.15000000,0.17510000,0.16320000,0.23800000,0.15000000,0.17510000,404389779.00000000,404389779.00000000
2023-01-31,0.09870000,0.18100000,0.09690000,0.16320000,0.09870000,0.18100000,0.09690000,0.16320000,224080691.00000000,224080691.00000000
2022-12-31,0.12150000,0.13080000,0.09770000,0.09870000,0.12150000,0.13080000,0.09770000,0.09870000,150932997.00000000,150932997.00000000
2022-11-30,0.14770000,0.16500000,0.10090000,0.12130000,0.14770000,0.16500000,0.10090000,0.12130000,169650020.00000000,169650020.00000000
2022-10-31,0.17020000,0.17730000,0.13000000,0.14810000,0.17020000,0.17730000,0.13000000,0.14810000,185549984.00000000,185549984.00000000
2022-09-30,0.13470000,0.20500000,0.13150000,0.17030000,0.13470000,0.20500000,0.13150000,0.17030000,545901781.00000000,545901781.00000000
2022-08-31,0.17000000,0.19870000,0.13010000,0.13470000,0.17000000,0.19870000,0.13010000,0.13470000,203742522.00000000,203742522.00000000
2022-07-31,0.13700000,0.18870000,0.12740000,0.17010000,0.13700000,0.18870000,0.12740000,0.17010000,411869051.00000000,411869051.00000000
2022-06-30,0.20830000,0.26000000,0.11510000,0.13690000,0.20830000,0.26000000,0.11510000,0.13690000,496134137.00000000,496134137.00000000
2022-05-31,0.41080000,0.44590000,0.13560000,0.20830000,0.41080000,0.44590000,0.13560000,0.20830000,476295746.00000000,476295746.00000000
2022-04-30,0.64390000,0.69980000,0.40500000,0.41080000,0.64390000,0.69980000,0.40500000,0.41080000,331511747.00000000,331511747.00000000
2022-03-31,0.63390000,0.73430000,0.44390000,0.64310000,0.63390000,0.73430000,0.44390000,0.64310000,533600549.00000000,533600549.00000000
2022-02-28,0.77010000,0.92000000,0.39740000,0.63310000,0.77010000,0.92000000,0.39740000,0.63310000,464243327.00000000,464243327.00000000
2022-01-31,0.96450000,1.33000000,0.71200000,0.77010000,0.96450000,1.33000000,0.71200000,0.77010000,646728342.00000000,646728342.00000000
2021-12-31,0.76150000,1.03880000,0.45200000,0.96440000,0.76150000,1.03880000,0.45200000,0.96440000,714819668.00000000,714819668.00000000
2021-11-30,0.32100000,0.80660000,0.30950000,0.76140000,0.32100000,0.80660000,0.30950000,0.76140000,952225248.00000000,952225248.00000000
2021-10-31,0.28120000,0.75820000,0.25790000,0.32170000,0.28120000,0.75820000,0.25790000,0.32170000,1028744976.00000000,1028744976.00000000
