timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.98800000,1.01600000,0.94000000,0.95100000,0.98800000,1.01600000,0.94000000,0.95100000,16148961.70000000,16148961.70000000
2023-04-30,1.04300000,1.24300000,0.95100000,0.98800000,1.04300000,1.24300000,0.95100000,0.98800000,131255176.29999998,131255176.29999998
2023-03-31,1.12700000,1.20100000,0.85000000,1.04200000,1.12700000,1.20100000,0.85000000,1.04200000,144065444.70000002,144065444.70000002
2023-02-28,1.02600000,1.30200000,0.97100000,1.12700000,1.02600000,1.30200000,0.97100000,1.12700000,181156672.00000000,181156672.00000000
2023-01-31,0.72200000,1.19200000,0.71600000,1.02500000,0.72200000,1.19200000,0.71600000,1.02500000,205389130.10000005,205389130.10000005
2022-12-31,0.96100000,0.96400000,0.70600000,0.72300000,0.96100000,0.96400000,0.70600000,0.72300000,101137107.80000001,101137107.80000001
2022-11-30,1.16500000,1.33700000,0.80100000,0.96100000,1.16500000,1.33700000,0.80100000,0.96100000,217777063.19999999,217777063.19999999
2022-10-31,1.07300000,1.25000000,0.91100000,1.16500000,1.07300000,1.25000000,0.91100000,1.16500000,136910868.80000001,136910868.80000001
2022-09-30,1.15800000,1.22400000,1.00800000,1.07300000,1.15800000,1.22400000,1.00800000,1.07300000,184073784.49999994,184073784.49999994
2022-08-31,1.33800000,1.71500000,1.08100000,1.15800000,1.33800000,1.71500000,1.08100000,1.15800000,293725447.09999996,293725447.09999996
2022-07-31,1.19800000,1.50000000,1.05500000,1.33800000,1.19800000,1.50000000,1.05500000,1.33800000,237378387.80000001,237378387.80000001
2022-06-30,1.34200000,1.55000000,0.95600000,1.19800000,1.34200000,1.55000000,0.95600000,1.19800000,408745023.50000000,408745023.50000000
2022-05-31,2.20800000,2.64300000,1.02700000,1.34100000,2.20800000,2.64300000,1.02700000,1.34100000,474050288.89200002,474050288.89200002
2022-04-30,4.19800000,4.39000000,2.13000000,2.20900000,4.19800000,4.39000000,2.13000000,2.20900000,266644620.56900001,266644620.56900001
2022-03-31,3.36100000,4.38000000,2.59800000,4.19800000,3.36100000,4.38000000,2.59800000,4.19800000,315504663.49999994,315504663.49999994
2022-02-28,2.93800000,4.38800000,2.27100000,3.36000000,2.93800000,4.38800000,2.27100000,3.36000000,497830789.50000000,497830789.50000000
2022-01-31,4.70900000,5.24400000,2.27400000,2.93800000,4.70900000,5.24400000,2.27400000,2.93800000,536559351.67199999,536559351.67199999
2021-12-31,6.61500000,6.81900000,3.65400000,4.71000000,6.61500000,6.81900000,3.65400000,4.71000000,418189902.07500005,418189902.07500005
2021-11-30,7.22000000,8.49000000,5.83000000,6.61400000,7.22000000,8.49000000,5.83000000,6.61400000,402639507.40000004,402639507.40000004
2021-10-31,5.04800000,8.59000000,4.98600000,7.22000000,5.04800000,8.59000000,4.98600000,7.22000000,512482978.59700018,512482978.59700018
2021-09-30,6.66100000,9.74700000,4.65900000,5.04800000,6.66100000,9.74700000,4.65900000,5.04800000,592862695.48500001,592862695.48500001
2021-08-31,6.10000000,8.33500000,5.54800000,6.66100000,6.10000000,8.33500000,5.54800000,6.66100000,509355926.40100002,509355926.40100002
2021-07-31,6.91600000,6.91700000,3.49500000,6.10200000,6.91600000,6.91700000,3.49500000,6.10200000,581453771.66900015,581453771.66900015
2021-06-30,7.10400000,10.47700000,5.24000000,6.91700000,7.10400000,10.47700000,5.24000000,6.91700000,585901680.38000000,585901680.38000000
2021-05-31,11.18200000,13.20000000,3.85000000,7.10600000,11.18200000,13.20000000,3.85000000,7.10600000,678290360.84199989,678290360.84199989
2021-04-30,12.32791000,15.88000000,7.20000000,11.18400000,12.32791000,15.88000000,7.20000000,11.18400000,491105025.08600003,491105025.08600003
2021-03-31,3.13731000,14.96141000,3.08223000,12.32709000,3.13731000,14.96141000,3.08223000,12.32709000,789919127.20000005,789919127.20000005
2021-02-28,1.91001000,3.97000000,1.84426000,3.13475000,1.91001000,3.97000000,1.84426000,3.13475000,434556674.20000005,434556674.20000005
2021-01-31,1.86057000,2.51000000,1.46000000,1.91015000,1.86057000,2.51000000,1.46000000,1.91015000,639906361.89999986,639906361.89999986
2020-12-31,0.64274000,1.89000000,0.58400000,1.86224000,0.64274000,1.89000000,0.58400000,1.86224000,703280158.30000019,703280158.30000019
2020-11-30,0.61001000,0.75129000,0.55310000,0.64280000,0.61001000,0.75129000,0.55310000,0.64280000,354604486.40000015,354604486.40000015
2020-10-31,0.74860000,0.79436000,0.57277000,0.61054000,0.74860000,0.79436000,0.57277000,0.61054000,334045308.60000002,334045308.60000002
2020-09-30,0.47676000,0.79893000,0.37000000,0.74859000,0.47676000,0.79893000,0.37000000,0.74859000,476075484.80000013,476075484.80000013
