timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-11-28,0.24560000,0.29510000,0.18640000,0.20180000,0.24560000,0.29510000,0.18640000,0.20180000,71892785.00000000,71892785.00000000
2022-10-31,0.21770000,0.34570000,0.20440000,0.24570000,0.21770000,0.34570000,0.20440000,0.24570000,54301710.00000000,54301710.00000000
2022-09-30,0.25940000,0.29870000,0.19330000,0.21770000,0.25940000,0.29870000,0.19330000,0.21770000,88649241.00000000,88649241.00000000
2022-08-31,0.16210000,0.29850000,0.14380000,0.25950000,0.16210000,0.29850000,0.14380000,0.25950000,524285111.00000000,524285111.00000000
2022-07-31,0.15510000,0.23440000,0.14750000,0.16240000,0.15510000,0.23440000,0.14750000,0.16240000,264322871.00000000,264322871.00000000
2022-06-30,0.23820000,0.23980000,0.15220000,0.15510000,0.23820000,0.23980000,0.15220000,0.15510000,116236100.00000000,116236100.00000000
2022-05-31,0.40520000,0.41090000,0.23160000,0.23840000,0.40520000,0.41090000,0.23160000,0.23840000,113781231.00000000,113781231.00000000
2022-04-30,0.56120000,0.63000000,0.40000000,0.40510000,0.56120000,0.63000000,0.40000000,0.40510000,138524931.00000000,138524931.00000000
2022-03-31,0.58610000,0.68880000,0.52720000,0.56230000,0.58610000,0.68880000,0.52720000,0.56230000,83343427.00000000,83343427.00000000
2022-02-28,0.68040000,0.81850000,0.56430000,0.58560000,0.68040000,0.81850000,0.56430000,0.58560000,69187014.00000000,69187014.00000000
2022-01-31,1.00640000,1.27170000,0.65890000,0.68040000,1.00640000,1.27170000,0.65890000,0.68040000,94085468.00000000,94085468.00000000
2021-12-31,1.19850000,1.21960000,0.88450000,1.00550000,1.19850000,1.21960000,0.88450000,1.00550000,62158426.00000000,62158426.00000000
2021-11-30,0.89230000,1.52090000,0.88130000,1.19850000,0.89230000,1.52090000,0.88130000,1.19850000,201980526.00000000,201980526.00000000
2021-10-31,0.58680000,0.98000000,0.58080000,0.89210000,0.58680000,0.98000000,0.58080000,0.89210000,196542837.00000000,196542837.00000000
2021-09-30,0.78560000,0.90350000,0.57420000,0.58680000,0.78560000,0.90350000,0.57420000,0.58680000,347619342.00000000,347619342.00000000
