timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.06714000,0.07137000,0.06676000,0.06919000,0.06714000,0.07137000,0.06676000,0.06919000,2372865287.40000010,2372865287.40000010
2023-04-30,0.06553000,0.06823000,0.06211000,0.06713000,0.06553000,0.06823000,0.06211000,0.06713000,9867718405.10000038,9867718405.10000038
2023-03-31,0.06905000,0.07036000,0.05484000,0.06553000,0.06905000,0.07036000,0.05484000,0.06553000,17415778126.29999924,17415778126.29999924
2023-02-28,0.06218000,0.07307000,0.06142000,0.06905000,0.06218000,0.07307000,0.06142000,0.06905000,12584262344.69999695,12584262344.69999695
2023-01-31,0.05450000,0.06576000,0.04976000,0.06218000,0.05450000,0.06576000,0.04976000,0.06218000,14716943295.30000114,14716943295.30000114
2022-12-31,0.05460000,0.05765000,0.05189000,0.05450000,0.05460000,0.05765000,0.05189000,0.05450000,10884228865.60000038,10884228865.60000038
2022-11-30,0.06325000,0.06550000,0.04526000,0.05461000,0.06325000,0.06550000,0.04526000,0.05461000,23355649437.39999771,23355649437.39999771
2022-10-31,0.06101000,0.06550000,0.05933000,0.06325000,0.06101000,0.06550000,0.05933000,0.06325000,13534386550.00000191,13534386550.00000191
2022-09-30,0.06339000,0.06499000,0.05835000,0.06101000,0.06339000,0.06499000,0.05835000,0.06101000,12616047133.29999733,12616047133.29999733
2022-08-31,0.06886000,0.07241000,0.06095000,0.06339000,0.06886000,0.07241000,0.06095000,0.06339000,13373194790.59999847,13373194790.59999847
2022-07-31,0.06481000,0.07200000,0.06250000,0.06886000,0.06481000,0.07200000,0.06250000,0.06886000,19740422505.09999466,19740422505.09999466
2022-06-30,0.08441000,0.09222000,0.04664000,0.06481000,0.08441000,0.09222000,0.04664000,0.06481000,53838017430.49999237,53838017430.49999237
2022-05-31,0.06262000,0.09279000,0.06163000,0.08441000,0.06262000,0.09279000,0.06163000,0.08441000,91122103749.89999390,91122103749.89999390
2022-04-30,0.07388000,0.07644000,0.05774000,0.06262000,0.07388000,0.07644000,0.05774000,0.06262000,43270719699.39999390,43270719699.39999390
2022-03-31,0.06176000,0.07956000,0.05750000,0.07388000,0.06176000,0.07956000,0.05750000,0.07388000,44043065393.90000153,44043065393.90000153
2022-02-28,0.05909000,0.07165000,0.05540000,0.06176000,0.05909000,0.07165000,0.05540000,0.06176000,44476547629.59999847,44476547629.59999847
2022-01-31,0.07536000,0.07834000,0.05101000,0.05906000,0.07536000,0.07834000,0.05101000,0.05906000,55207705750.79998779,55207705750.79998779
2021-12-31,0.09653000,0.10195000,0.07305000,0.07539000,0.09653000,0.10195000,0.07305000,0.07539000,61181466711.19999695,61181466711.19999695
2021-11-30,0.10152000,0.12933000,0.08937000,0.09652000,0.10152000,0.12933000,0.08937000,0.09652000,118035204502.59997559,118035204502.59997559
2021-10-31,0.08941000,0.10616000,0.08846000,0.10152000,0.08941000,0.10616000,0.08846000,0.10152000,62703957663.59999847,62703957663.59999847
2021-09-30,0.08876000,0.12300000,0.07716000,0.08943000,0.08876000,0.12300000,0.07716000,0.08943000,50809250250.70000458,50809250250.70000458
2021-08-31,0.06396000,0.09665000,0.06215000,0.08875000,0.06396000,0.09665000,0.06215000,0.08875000,31929029795.40000153,31929029795.40000153
2021-07-31,0.06828000,0.06832000,0.04911000,0.06396000,0.06828000,0.06832000,0.04911000,0.06396000,22805681628.09999466,22805681628.09999466
2021-06-30,0.07679000,0.08290000,0.04637000,0.06828000,0.07679000,0.08290000,0.04637000,0.06828000,39919402104.29998779,39919402104.29998779
2021-05-31,0.13228000,0.17000000,0.05563000,0.07679000,0.13228000,0.17000000,0.05563000,0.07679000,91421403454.30001831,91421403454.30001831
2021-04-30,0.09301000,0.18000000,0.08220000,0.13223000,0.09301000,0.18000000,0.08220000,0.13223000,125665149073.39999390,125665149073.39999390
2021-03-31,0.04560000,0.09766000,0.04494000,0.09296000,0.04560000,0.09766000,0.04494000,0.09296000,69572912540.19998169,69572912540.19998169
2021-02-28,0.03154000,0.06449000,0.03117000,0.04562000,0.03154000,0.06449000,0.03117000,0.04562000,90431685709.80000305,90431685709.80000305
2021-01-31,0.02677000,0.04439000,0.02636000,0.03154000,0.02677000,0.04439000,0.02636000,0.03154000,91267500661.10002136,91267500661.10002136
2020-12-31,0.03236000,0.03425000,0.02371000,0.02677000,0.03236000,0.03425000,0.02371000,0.02677000,37222595088.89999390,37222595088.89999390
2020-11-30,0.02576000,0.03915000,0.02304000,0.03236000,0.02576000,0.03915000,0.02304000,0.03236000,47252010684.99998474,47252010684.99998474
2020-10-31,0.02622000,0.02915000,0.02395000,0.02576000,0.02622000,0.02915000,0.02395000,0.02576000,29870946925.50000000,29870946925.50000000
2020-09-30,0.02916000,0.04990000,0.02447000,0.02621000,0.02916000,0.04990000,0.02447000,0.02621000,87736177381.09999084,87736177381.09999084
