timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.00830000,1.20820000,0.99810000,0.99880000,1.00830000,1.20820000,0.99810000,0.99880000,1938146857.00000000,1938146857.00000000
2023-04-30,0.99980000,1.01160000,0.99820000,1.00830000,0.99980000,1.01160000,0.99820000,1.00830000,3744506675.00000000,3744506675.00000000
2023-03-31,1.00000000,1.19000000,0.96120000,0.99990000,1.00000000,1.19000000,0.96120000,0.99990000,1214799450.00000000,1214799450.00000000
2022-09-26,1.00010000,1.00030000,0.99950000,0.99990000,1.00010000,1.00030000,0.99950000,0.99990000,240428639.00000000,240428639.00000000
2022-08-31,0.99960000,1.00020000,0.99940000,1.00010000,0.99960000,1.00020000,0.99940000,1.00010000,382023602.00000000,382023602.00000000
2022-07-31,1.00130000,1.00140000,0.99950000,0.99970000,1.00130000,1.00140000,0.99950000,0.99970000,321704107.00000000,321704107.00000000
2022-06-30,1.00090000,1.00400000,1.00050000,1.00140000,1.00090000,1.00400000,1.00050000,1.00140000,637095442.00000000,637095442.00000000
2022-05-31,0.99990000,1.08800000,0.99850000,1.00090000,0.99990000,1.08800000,0.99850000,1.00090000,1011394863.58999991,1011394863.58999991
2022-04-30,0.99980000,1.00020000,0.99950000,0.99990000,0.99980000,1.00020000,0.99950000,0.99990000,582258231.00000000,582258231.00000000
2022-03-31,0.99970000,1.00010000,0.99920000,0.99970000,0.99970000,1.00010000,0.99920000,0.99970000,726110371.00000000,726110371.00000000
2022-02-28,0.99970000,0.99980000,0.99930000,0.99970000,0.99970000,0.99980000,0.99930000,0.99970000,586412225.00000000,586412225.00000000
2022-01-31,1.00000000,1.00030000,0.99950000,0.99980000,1.00000000,1.00030000,0.99950000,0.99980000,875000743.00000000,875000743.00000000
2021-12-31,0.99910000,1.00000000,0.99100000,0.99990000,0.99910000,1.00000000,0.99100000,0.99990000,1484355788.00000000,1484355788.00000000
2021-11-30,0.99940000,1.00000000,0.99870000,0.99910000,0.99940000,1.00000000,0.99870000,0.99910000,1415747382.00000000,1415747382.00000000
2021-10-31,1.00000000,1.00060000,0.99870000,0.99940000,1.00000000,1.00060000,0.99870000,0.99940000,290291886.00000000,290291886.00000000
2021-09-30,0.99960000,1.00090000,0.99900000,1.00000000,0.99960000,1.00090000,0.99900000,1.00000000,333951772.00000000,333951772.00000000
2021-08-31,0.99940000,1.00030000,0.99920000,0.99970000,0.99940000,1.00030000,0.99920000,0.99970000,270578559.42999995,270578559.42999995
2021-07-31,0.99970000,1.00240000,0.99920000,0.99950000,0.99970000,1.00240000,0.99920000,0.99950000,171789579.56000000,171789579.56000000
2021-06-30,0.99960000,1.00180000,0.99670000,0.99980000,0.99960000,1.00180000,0.99670000,0.99980000,312700853.30000001,312700853.30000001
2021-05-31,0.99910000,3.00000000,0.98600000,0.99970000,0.99910000,3.00000000,0.98600000,0.99970000,900550251.01999998,900550251.01999998
2021-04-30,0.99970000,1.00800000,0.98300000,0.99910000,0.99970000,1.00800000,0.98300000,0.99910000,560812511.73000002,560812511.73000002
2021-03-31,0.99840000,1.01990000,0.99010000,0.99960000,0.99840000,1.01990000,0.99010000,0.99960000,382099011.40999997,382099011.40999997
2021-02-28,0.99920000,1.02060000,0.95460000,0.99830000,0.99920000,1.02060000,0.95460000,0.99830000,462113154.81999999,462113154.81999999
2021-01-31,0.99860000,1.00890000,0.46540000,0.99920000,0.99860000,1.00890000,0.46540000,0.99920000,427804509.16999996,427804509.16999996
2020-12-31,0.99960000,1.00350000,0.99580000,0.99860000,0.99960000,1.00350000,0.99580000,0.99860000,225297423.95999998,225297423.95999998
2020-11-30,0.99920000,1.00500000,0.99780000,0.99960000,0.99920000,1.00500000,0.99780000,0.99960000,262906436.62000003,262906436.62000003
2020-10-31,1.00000000,1.00100000,0.99570000,0.99920000,1.00000000,1.00100000,0.99570000,0.99920000,142925586.69999999,142925586.69999999
2020-09-30,0.99960000,1.00200000,0.99600000,1.00000000,0.99960000,1.00200000,0.99600000,1.00000000,194939813.69000003,194939813.69000003
2020-08-31,0.99850000,1.00190000,0.99000000,0.99960000,0.99850000,1.00190000,0.99000000,0.99960000,265218920.78999999,265218920.78999999
2020-07-31,1.00050000,1.00180000,0.98220000,0.99850000,1.00050000,1.00180000,0.98220000,0.99850000,167167713.73000008,167167713.73000008
2020-06-30,1.00070000,1.00310000,0.99580000,1.00030000,1.00070000,1.00310000,0.99580000,1.00030000,121952943.30999999,121952943.30999999
2020-05-31,0.99940000,1.00260000,0.99650000,1.00070000,0.99940000,1.00260000,0.99650000,1.00070000,148468381.36000001,148468381.36000001
2020-04-30,0.99750000,1.00110000,0.99570000,0.99920000,0.99750000,1.00110000,0.99570000,0.99920000,153091585.50000000,153091585.50000000
2020-03-31,1.00040000,1.07410000,0.95000000,0.99750000,1.00040000,1.07410000,0.95000000,0.99750000,248406292.00999993,248406292.00999993
